Fecha,departamento,causa,total,Total_Hombres,Total_Mujeres,Total_Indeterminado,Menor 1 hora_Hombres,Menor 1 hora_Mujeres,Menor 1 hora_Indeterminado,De 1 a 23 horas_Hombres,De 1 a 23 horas_Mujeres,De 1 a 23 horas_Indeterminado,De 1 a 6 días_Hombres,De 1 a 6 días_Mujeres,De 1 a 6 días_Indeterminado,De 7 a 27 días_Hombres,De 7 a 27 días_Mujeres,De 7 a 27 días_Indeterminado,De 28 a 29 días_Hombres,De 28 a 29 días_Mujeres,De 28 a 29 días_Indeterminado,De 1 a 5 meses_Hombres,De 1 a 5 meses_Mujeres,De 1 a 5 meses_Indeterminado,De 6 a 11 meses_Hombres,De 6 a 11 meses_Mujeres,De 6 a 11 meses_Indeterminado,De 1 año_Hombres,De 1 año_Mujeres,De 1 año_Indeterminado,De 2 a 4 años_Hombres,De 2 a 4 años_Mujeres,De 2 a 4 años_Indeterminado,De 5 a 9 años_Hombres,De 5 a 9 años_Mujeres,De 5 a 9 años_Indeterminado,De 10 a 14 años_Hombres,De 10 a 14 años_Mujeres,De 10 a 14 años_Indeterminado,De 15 a 19 años_Hombres,De 15 a 19 años_Mujeres,De 15 a 19 años_Indeterminado,De 20 a 24 años_Hombres,De 20 a 24 años_Mujeres,De 20 a 24 años_Indeterminado,De 25 a 29 años_Hombres,De 25 a 29 años_Mujeres,De 25 a 29 años_Indeterminado,De 30 a 34 años_Hombres,De 30 a 34 años_Mujeres,De 30 a 34 años_Indeterminado,De 35 a 39 años_Hombres,De 35 a 39 años_Mujeres,De 35 a 39 años_Indeterminado,De 40 a 44 años_Hombres,De 40 a 44 años_Mujeres,De 40 a 44 años_Indeterminado,De 45 a 49 años_Hombres,De 45 a 49 años_Mujeres,De 45 a 49 años_Indeterminado,De 50 a 54 años_Hombres,De 50 a 54 años_Mujeres,De 50 a 54 años_Indeterminado,De 55 a 59 años_Hombres,De 55 a 59 años_Mujeres,De 55 a 59 años_Indeterminado,De 60 a 64 años_Hombres,De 60 a 64 años_Mujeres,De 60 a 64 años_Indeterminado,De 65 a 69 años_Hombres,De 65 a 69 años_Mujeres,De 65 a 69 años_Indeterminado,De 70 a 74 años_Hombres,De 70 a 74 años_Mujeres,De 70 a 74 años_Indeterminado,De 75 a 79 años_Hombres,De 75 a 79 años_Mujeres,De 75 a 79 años_Indeterminado,De 80 a 84 años_Hombres,De 80 a 84 años_Mujeres,De 80 a 84 años_Indeterminado,De 85 a 89 años_Hombres,De 85 a 89 años_Mujeres,De 85 a 89 años_Indeterminado,De 90 a 94 años_Hombres,De 90 a 94 años_Mujeres,De 90 a 94 años_Indeterminado,De 95 a 99 años_Hombres,De 95 a 99 años_Mujeres,De 95 a 99 años_Indeterminado,De 100 años y más_Hombres,De 100 años y más_Mujeres,De 100 años y más_Indeterminado,Edad desconocida_Hombres,Edad desconocida_Mujeres,Edad desconocida_Indeterminado
2019,TOTAL NACIONAL,"011 Tumores malignos del labio, de la cavidad bucal y de la faringe",803,486,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,3,2,0,3,4,0,5,1,0,9,10,0,12,12,0,23,9,0,39,20,0,47,27,0,72,21,0,46,36,0,58,28,0,69,47,0,43,36,0,38,34,0,10,21,0,5,6,0,0,2,0,0,0,0
2019,TOTAL NACIONAL,012 Tumor maligno del esófago,731,511,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,4,1,0,8,2,0,13,4,0,18,7,0,49,17,0,61,25,0,59,21,0,64,22,0,77,34,0,69,37,0,57,24,0,23,15,0,8,6,0,0,2,0,0,0,0
2019,TOTAL NACIONAL,013 Tumor maligno del estómago,5434,3258,2176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,5,6,0,21,23,0,43,36,0,61,65,0,104,91,0,152,118,0,238,120,0,302,191,0,403,217,0,450,214,0,466,241,0,400,234,0,325,273,0,183,209,0,85,98,0,18,32,0,0,5,0,0,0,0
2019,TOTAL NACIONAL,"014 Tumor maligno del colon, de la unión rectosigmoidea, recto y ano",4283,2003,2280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,17,9,0,11,20,0,28,28,0,39,45,0,45,69,0,69,85,0,125,151,0,179,183,0,253,233,0,261,276,0,291,280,0,255,293,0,213,267,0,138,204,0,63,103,0,13,28,0,1,5,0,0,0,0
2019,TOTAL NACIONAL,015 Tumor maligno del hígado,1955,1003,952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1,0,0,0,0,1,2,0,5,4,0,5,3,0,12,10,0,13,13,0,22,20,0,48,34,0,73,67,0,116,91,0,162,119,0,139,137,0,185,156,0,124,130,0,50,106,0,35,49,0,7,6,0,2,4,0,0,0,0
2019,TOTAL NACIONAL,016 Tumor maligno de la vesícula biliar y de las vías biliares,1127,397,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,1,0,4,6,0,12,7,0,5,32,0,24,47,0,38,69,0,48,95,0,61,94,0,46,105,0,60,98,0,54,78,0,27,65,0,14,22,0,2,8,0,0,0,0,0,0,0
2019,TOTAL NACIONAL,017 Tumor maligno del páncreas,1995,928,1067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,2,0,0,3,1,0,6,1,0,10,6,0,19,18,0,37,24,0,56,54,0,98,84,0,114,112,0,151,160,0,126,156,0,129,155,0,83,143,0,65,95,0,25,40,0,1,13,0,1,3,0,0,0,0
2019,TOTAL NACIONAL,018 Todos los demás tumores malignos de los órganos digestivos y del peritoneo,541,268,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,3,0,5,3,0,3,5,0,3,2,0,10,12,0,9,11,0,17,18,0,30,26,0,36,34,0,27,37,0,37,26,0,33,33,0,30,27,0,17,22,0,5,8,0,3,4,0,0,0,0,0,0,0
2019,TOTAL NACIONAL,019 Tumor maligno de la laringe,399,333,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,1,0,2,2,0,6,5,0,10,5,0,19,2,0,42,6,0,58,9,0,57,2,0,56,8,0,40,9,0,26,8,0,12,7,0,2,0,0,0,0,0,0,0,0
2019,TOTAL NACIONAL,"020 Tumor maligno de la tráquea, los bronquios y el pulmón",4525,2613,1912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,5,6,0,5,5,0,10,6,0,12,17,0,34,24,0,41,47,0,99,102,0,185,134,0,323,222,0,433,238,0,478,284,0,408,319,0,310,266,0,181,156,0,69,67,0,14,17,0,3,1,0,0,0,0
