year,departamento,municipio,total,hombres,mujeres,indeterminado
2019,05 Antioquia,05819 Toledo,49,31,18,0
2019,05 Antioquia,05837 Turbo,2881,1471,1409,1
2019,05 Antioquia,05842 Uramita,65,34,31,0
2019,05 Antioquia,05847 Urrao,472,235,236,1
2019,05 Antioquia,05854 Valdivia,172,93,79,0
2019,05 Antioquia,05856 Valparaíso,38,20,18,0
2019,05 Antioquia,05858 Vegachí,169,86,83,0
2019,05 Antioquia,05861 Venecia,101,49,52,0
2019,05 Antioquia,05873 Vigía del Fuerte,103,56,47,0
2019,05 Antioquia,05885 Yalí,55,26,29,0
2019,05 Antioquia,05887 Yarumal,490,241,249,0
2019,05 Antioquia,05890 Yolombó,220,111,109,0
2019,05 Antioquia,05893 Yondó,214,108,106,0
2019,05 Antioquia,05895 Zaragoza,389,208,181,0
2019,08 Atlántico,08001 Barranquilla,23426,11974,11452,0
2019,08 Atlántico,08078 Baranoa,985,479,506,0
2019,08 Atlántico,08137 Campo de La Cruz,407,212,195,0
2019,08 Atlántico,08141 Candelaria,267,142,125,0
2019,08 Atlántico,08296 Galapa,828,456,371,1
2019,08 Atlántico,08372 Juan de Acosta,290,147,143,0
2019,08 Atlántico,08421 Luruaco,480,223,257,0
2019,08 Atlántico,08433 Malambo,1918,974,944,0
2019,08 Atlántico,08436 Manatí,344,173,171,0
2019,08 Atlántico,08520 Palmar de Varela,364,197,167,0
2019,08 Atlántico,08549 Piojó,59,27,32,0
2019,08 Atlántico,08558 Polonuevo,240,107,133,0
2019,08 Atlántico,08560 Ponedera,423,204,219,0
2019,08 Atlántico,08573 Puerto Colombia,620,314,306,0
2019,08 Atlántico,08606 Repelón,368,194,174,0
2019,08 Atlántico,08634 Sabanagrande,417,215,202,0
2019,08 Atlántico,08638 Sabanalarga,1765,857,908,0
2019,08 Atlántico,08675 Santa Lucía,221,111,110,0
2019,08 Atlántico,08685 Santo Tomás,417,203,214,0
2019,08 Atlántico,08758 Soledad,8833,4644,4189,0
2019,08 Atlántico,08770 Suan,188,98,90,0
2019,08 Atlántico,08832 Tubará,142,67,75,0
2019,08 Atlántico,08849 Usiacurí,119,63,56,0
2019,11 Bogotá,"11001 Bogotá, D.C.",85075,43499,41571,5
2019,13 Bolívar,13001 Cartagena,17508,8872,8635,1
2019,13 Bolívar,13006 Achí,313,163,150,0
2019,13 Bolívar,13030 Altos del Rosario,186,100,86,0
2019,13 Bolívar,13042 Arenal,213,118,94,1
2019,13 Bolívar,13052 Arjona,1003,497,506,0
2019,13 Bolívar,13062 Arroyohondo,107,46,61,0
2019,13 Bolívar,13074 Barranco de Loba,294,149,145,0
2019,13 Bolívar,13140 Calamar,328,163,165,0
2019,13 Bolívar,13160 Cantagallo,94,52,42,0
2019,13 Bolívar,13188 Cicuco,194,106,88,0
2019,13 Bolívar,13212 Córdoba,170,88,81,1
2019,13 Bolívar,13222 Clemencia,223,100,123,0
2019,13 Bolívar,13244 El Carmen de Bolívar,1216,638,578,0
2019,13 Bolívar,13248 El Guamo,57,29,28,0
2019,13 Bolívar,13268 El Peñón,106,51,55,0
2019,13 Bolívar,13300 Hatillo de Loba,219,102,117,0
2019,13 Bolívar,13430 Magangué,2431,1230,1200,1
2019,13 Bolívar,13433 Mahates,340,194,146,0
2019,13 Bolívar,13440 Margarita,119,64,55,0
2019,13 Bolívar,13442 María La Baja,816,435,381,0
2019,13 Bolívar,13458 Montecristo,107,44,63,0
2019,13 Bolívar,13468 Mompós,874,464,410,0
2019,13 Bolívar,13473 Morales,215,109,106,0
2019,13 Bolívar,13490 Norosí,114,57,57,0
2019,13 Bolívar,13549 Pinillos,328,174,154,0
2019,13 Bolívar,13580 Regidor,91,51,40,0
2019,13 Bolívar,13600 Río Viejo,161,91,70,0
2019,13 Bolívar,13620 San Cristóbal,87,48,39,0
2019,13 Bolívar,13647 San Estanislao,126,58,68,0
2019,13 Bolívar,13650 San Fernando,167,88,79,0
2019,13 Bolívar,13654 San Jacinto,303,164,139,0
2019,13 Bolívar,13655 San Jacinto del Cauca,69,38,31,0
2019,13 Bolívar,13657 San Juan Nepomuceno,442,242,200,0
2019,13 Bolívar,13667 San Martín de Loba,294,151,143,0
2019,13 Bolívar,13670 San Pablo,544,286,258,0
2019,13 Bolívar,13673 Santa Catalina,165,101,64,0
2019,13 Bolívar,13683 Santa Rosa,600,301,299,0
2019,13 Bolívar,13688 Santa Rosa del Sur,579,287,292,0
2019,13 Bolívar,13744 Simití,311,160,151,0
2019,13 Bolívar,13760 Soplaviento,83,43,40,0
2019,13 Bolívar,13780 Talaigua Nuevo,196,112,84,0
2019,13 Bolívar,13810 Tiquisio,367,186,181,0
2019,13 Bolívar,13836 Turbaco,1067,539,528,0
2019,13 Bolívar,13838 Turbaná,199,103,96,0
2019,13 Bolívar,13873 Villanueva,282,132,150,0
2019,13 Bolívar,13894 Zambrano,157,81,76,0
2019,15 Boyacá,15001 Tunja,2177,1093,1084,0
2019,15 Boyacá,15022 Almeida,17,6,11,0
2019,15 Boyacá,15047 Aquitania,200,105,95,0
2019,15 Boyacá,15051 Arcabuco,69,45,24,0
