year,departamento,total,hombres,mujeres,indeterminado
2022,94 Guainía,1244,618,626,0
2022,95 Guaviare,1256,615,641,0
2022,97 Vaupés,862,444,418,0
2022,99 Vichada,2035,1035,1000,0
2023,05 Antioquia,59017,30151,28862,4
2023,08 Atlántico,31727,16333,15394,0
2023,11 Bogotá,60912,31376,29533,3
2023,13 Bolívar,29953,15292,14661,0
2023,15 Boyacá,11327,5754,5570,3
2023,17 Caldas,6704,3463,3240,1
2023,18 Caquetá,5137,2619,2518,0
2023,19 Cauca,14115,7320,6792,3
2023,20 Cesar,18144,9355,8787,2
2023,23 Córdoba,21080,10888,10191,1
2023,25 Cundinamarca,29061,14939,14117,5
2023,27 Chocó,6642,3348,3294,0
2023,41 Huila,15148,7753,7392,3
2023,44 La Guajira,20333,10452,9880,1
2023,47 Magdalena,19865,10285,9580,0
2023,50 Meta,12989,6665,6324,0
2023,52 Nariño,12610,6436,6170,4
2023,54 Norte de Santander,18974,9725,9247,2
2023,63 Quindío,4224,2251,1973,0
2023,66 Risaralda,8196,4211,3985,0
2023,68 Santander,21890,11247,10643,0
2023,70 Sucre,11986,6101,5885,0
2023,73 Tolima,13073,6657,6416,0
2023,76 Valle del Cauca,36514,18646,17865,3
2023,81 Arauca,3482,1774,1708,0
2023,85 Casanare,5429,2782,2646,1
2023,86 Putumayo,3997,2034,1963,0
2023,88 Archipiélago de San Andrés y Providencia,608,313,295,0
2023,91 Amazonas,903,461,442,0
2023,94 Guainía,738,379,359,0
2023,95 Guaviare,1131,603,528,0
2023,97 Vaupés,690,355,335,0
2023,99 Vichada,1700,872,827,1
2024,05 Antioquia,52171,26916,25252,3
2024,08 Atlántico,26237,13510,12727,0
2024,11 Bogotá,56541,29135,27404,2
2024,13 Bolívar,24559,12625,11931,3
2024,15 Boyacá,10265,5113,5149,3
2024,17 Caldas,5889,2987,2900,2
2024,18 Caquetá,4819,2463,2356,0
2024,19 Cauca,12600,6425,6175,0
2024,20 Cesar,14802,7491,7309,2
2024,23 Córdoba,17625,9160,8465,0
2024,25 Cundinamarca,27060,13802,13255,3
2024,27 Chocó,5864,2941,2923,0
2024,41 Huila,12983,6676,6307,0
2024,44 La Guajira,17339,8960,8379,0
2024,47 Magdalena,15857,8194,7663,0
2024,50 Meta,11670,5995,5675,0
2024,52 Nariño,11387,5854,5532,1
2024,54 Norte de Santander,15765,8065,7700,0
2024,63 Quindío,3728,1901,1827,0
2024,66 Risaralda,7517,3879,3638,0
2024,68 Santander,18659,9629,9030,0
2024,70 Sucre,9537,4983,4554,0
2024,73 Tolima,11094,5583,5511,0
2024,76 Valle del Cauca,33055,16900,16154,1
2024,81 Arauca,3002,1517,1485,0
2024,85 Casanare,4642,2314,2328,0
2024,86 Putumayo,3485,1806,1678,1
2024,88 Archipiélago de San Andrés y Providencia,601,314,287,0
2024,91 Amazonas,773,397,376,0
2024,94 Guainía,714,353,361,0
2024,95 Guaviare,992,524,468,0
2024,97 Vaupés,545,278,267,0
2024,99 Vichada,1371,697,673,1
2025,05 Antioquia,51254,26141,25110,3
2025,08 Atlántico,25725,13238,12487,0
2025,11 Bogotá,55794,28437,27354,3
2025,13 Bolívar,23910,12186,11724,0
2025,15 Boyacá,9636,4824,4812,0
2025,17 Caldas,5463,2848,2615,0
2025,18 Caquetá,4648,2431,2217,0
2025,19 Cauca,11693,6021,5672,0
2025,20 Cesar,14459,7444,7015,0
2025,23 Córdoba,16613,8503,8109,1
2025,25 Cundinamarca,26529,13594,12932,3
2025,27 Chocó,5838,2946,2892,0
2025,41 Huila,12502,6401,6101,0
2025,44 La Guajira,17475,8921,8553,1
2025,47 Magdalena,15166,7872,7294,0
2025,50 Meta,11246,5751,5495,0
2025,52 Nariño,11307,5739,5567,1
2025,54 Norte de Santander,14852,7639,7211,2
2025,63 Quindío,3776,1973,1803,0
2025,66 Risaralda,6952,3586,3366,0
2025,68 Santander,18365,9561,8804,0
2025,70 Sucre,9027,4602,4425,0
2025,73 Tolima,11215,5774,5440,1
2025,76 Valle del Cauca,32303,16525,15777,1
2025,81 Arauca,2959,1575,1384,0
2025,85 Casanare,4601,2357,2244,0
2025,86 Putumayo,3334,1736,1598,0
2025,88 Archipiélago de San Andrés y Providencia,546,281,265,0
2025,91 Amazonas,748,386,360,2
2025,94 Guainía,737,390,347,0
2025,95 Guaviare,963,507,456,0
2025,97 Vaupés,529,267,262,0
2025,99 Vichada,1278,663,615,0
