Fecha,Perspectiva,Concepto,Periodo,Valor
2007,Total Nacional,Población ocupada,Ene - Mar,16018.596
2007,Total Nacional,Población ocupada,Feb - Abr,16450.284333333333
2007,Total Nacional,Población ocupada,Mar - May,16499.964666666667
2007,Total Nacional,Población ocupada,Abr - Jun,16635.714000000004
2007,Total Nacional,Población ocupada,May - Jul,16534.479666666666
2007,Total Nacional,Población ocupada,Jun - Ago,16577.402000000002
2007,Total Nacional,Población ocupada,Jul - Sep,16655.76066666667
2007,Total Nacional,Población ocupada,Ago - Oct,17006.263333333332
2007,Total Nacional,Población ocupada,Sep - Nov,17273.933333333334
2007,Total Nacional,Población ocupada,Oct - Dic,17309.180666666667
2007,Total Nacional,Población ocupada,Nov - Ene,16861.178666666667
2007,Total Nacional,Población ocupada,Dic - Feb,16692.173333333336
2008,Total Nacional,Población ocupada,Ene - Mar,16767.124666666667
2008,Total Nacional,Población ocupada,Feb - Abr,17116.04133333333
2008,Total Nacional,Población ocupada,Mar - May,17225.733333333334
2008,Total Nacional,Población ocupada,Abr - Jun,17045.081000000002
2008,Total Nacional,Población ocupada,May - Jul,16908.967666666664
2008,Total Nacional,Población ocupada,Jun - Ago,16803.73933333333
2008,Total Nacional,Población ocupada,Jul - Sep,16985.42466666667
2008,Total Nacional,Población ocupada,Ago - Oct,17093.583000000002
2008,Total Nacional,Población ocupada,Sep - Nov,17067.809666666664
2008,Total Nacional,Población ocupada,Oct - Dic,17113.171
2008,Total Nacional,Población ocupada,Nov - Ene,16895.019
2008,Total Nacional,Población ocupada,Dic - Feb,17038.757999999998
2009,Total Nacional,Población ocupada,Ene - Mar,17150.304666666667
2009,Total Nacional,Población ocupada,Feb - Abr,17611.57533333333
2009,Total Nacional,Población ocupada,Mar - May,17879.524
2009,Total Nacional,Población ocupada,Abr - Jun,18012.746
2009,Total Nacional,Población ocupada,May - Jul,18002.51833333333
2009,Total Nacional,Población ocupada,Jun - Ago,17876.894
2009,Total Nacional,Población ocupada,Jul - Sep,17797.66866666667
2009,Total Nacional,Población ocupada,Ago - Oct,18052.642
2009,Total Nacional,Población ocupada,Sep - Nov,18348.568666666666
2009,Total Nacional,Población ocupada,Oct - Dic,18593.927333333333
2009,Total Nacional,Población ocupada,Nov - Ene,18261.097666666665
2009,Total Nacional,Población ocupada,Dic - Feb,18153.834
2010,Total Nacional,Población ocupada,Ene - Mar,18037.736333333334
2010,Total Nacional,Población ocupada,Feb - Abr,18328.923333333332
2010,Total Nacional,Población ocupada,Mar - May,18363.006
2010,Total Nacional,Población ocupada,Abr - Jun,18493.213333333333
2010,Total Nacional,Población ocupada,May - Jul,18425.319333333337
2010,Total Nacional,Población ocupada,Jun - Ago,18510.243
2010,Total Nacional,Población ocupada,Jul - Sep,18669.065666666665
2010,Total Nacional,Población ocupada,Ago - Oct,18972.714
2010,Total Nacional,Población ocupada,Sep - Nov,19148.67066666667
2010,Total Nacional,Población ocupada,Oct - Dic,19099.088666666667
2010,Total Nacional,Población ocupada,Nov - Ene,18795.455333333335
2010,Total Nacional,Población ocupada,Dic - Feb,18550.136333333332
2011,Total Nacional,Población ocupada,Ene - Mar,18566.183666666668
2011,Total Nacional,Población ocupada,Feb - Abr,18742.054
2011,Total Nacional,Población ocupada,Mar - May,18961.563333333335
2011,Total Nacional,Población ocupada,Abr - Jun,19001.145666666667
2011,Total Nacional,Población ocupada,May - Jul,19039.869333333332
2011,Total Nacional,Población ocupada,Jun - Ago,19037.982
2011,Total Nacional,Población ocupada,Jul - Sep,19210.12
2011,Total Nacional,Población ocupada,Ago - Oct,19672.941666666666
2011,Total Nacional,Población ocupada,Sep - Nov,20015.607666666667
2011,Total Nacional,Población ocupada,Oct - Dic,20061.336666666666
2011,Total Nacional,Población ocupada,Nov - Ene,19627.544666666665
2011,Total Nacional,Población ocupada,Dic - Feb,19397.046333333332
2012,Total Nacional,Población ocupada,Ene - Mar,19416.193666666666
2012,Total Nacional,Población ocupada,Feb - Abr,19605.401
2012,Total Nacional,Población ocupada,Mar - May,19741.136
2012,Total Nacional,Población ocupada,Abr - Jun,19856.060999999998
2012,Total Nacional,Población ocupada,May - Jul,19811.19633333333
