Fecha,Período de servicio,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062
2001-06-30,Amortizaciones,2748174.736280588,6197975.097804063,2441504.251783286,3732266.9121997417,2871763.284064728,3347844.1626535174,3242427.196211461,2647607.097981491,482446.984316473,607638.0294873787,3793025.2664,0.0,2135938.33072134,0.0,505948.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-30,Intereses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-30,Total,2748174.736280588,6197975.097804063,2441504.251783286,3732266.9121997417,2871763.284064728,3347844.1626535174,3242427.196211461,2647607.097981491,482446.984316473,607638.0294873787,3793025.2664,0.0,2135938.33072134,0.0,505948.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2001-07-31,Amortizaciones,1606380.0480400666,6467161.600030832,2696488.3350875275,3734956.570343341,3173791.0923862252,3974972.0137606976,3248342.980771535,2679548.61475277,483177.07066117215,608287.8346198502,3828867.45,0.0,2135938.33072134,0.0,521579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2001-07-31,Intereses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2001-07-31,Total,1606380.0480400666,6467161.600030832,2696488.3350875275,3734956.570343341,3173791.0923862252,3974972.0137606976,3248342.980771535,2679548.61475277,483177.07066117215,608287.8346198502,3828867.45,0.0,2135938.33072134,0.0,521579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-31,Amortizaciones,1030630.0304838868,6993654.220913806,3119578.094869065,4147883.4304340137,2874847.100120766,4148184.5524377697,3250281.3282825854,3273243.480715535,483417.2220189691,608637.5713496469,3864785.7306,0.0,2135938.33072134,0.0,521579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-31,Intereses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-31,Total,1030630.0304838868,6993654.220913806,3119578.094869065,4147883.4304340137,2874847.100120766,4148184.5524377697,3250281.3282825854,3273243.480715535,483417.2220189691,608637.5713496469,3864785.7306,0.0,2135938.33072134,0.0,521579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-30,Amortizaciones,903847.4469401184,7083714.81455072,3196314.28251601,4213524.870588641,2876648.920830669,4461086.89012777,3254986.6214355836,3300764.387088806,483988.2732516498,609478.3858822521,3900988.1668000002,0.0,2135938.33072134,0.0,521579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-30,Intereses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-30,Total,903847.4469401184,7083714.81455072,3196314.28251601,4213524.870588641,2876648.920830669,4461086.89012777,3254986.6214355836,3300764.387088806,483988.2732516498,609478.3858822521,3900988.1668000002,0.0,2135938.33072134,0.0,521579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-31,Amortizaciones,688988.9136243031,7358041.8313574055,3330870.854652063,4332175.072108827,2881842.036438919,4585694.536155385,3265507.002222184,3396392.322168939,736294.268038471,611386.9538633206,4534049.2724,0.0,2135938.33072134,0.0,521579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-31,Intereses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-31,Total,688988.9136243031,7358041.8313574055,3330870.854652063,4332175.072108827,2881842.036438919,4585694.536155385,3265507.002222184,3396392.322168939,736294.268038471,611386.9538633206,4534049.2724,0.0,2135938.33072134,0.0,521579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
