Concepto,2005-I,2005-II,2005-III,2005-IV,2006-I,2006-II,2006-III,2006-IV,2007-I,2007-II,2007-III,2007-IV,2008-I,2008-II,2008-III,2008-IV,2009-I,2009-II,2009-III,2009-IV,2010-I,2010-II,2010-III,2010-IV,2011-I,2011-II,2011-III,2011-IV,2012-I,2012-II,2012-III,2012-IV,2013-I,2013-II,2013-III,2013-IV,2014-I,2014-II,2014-III,2014-IV,2015-I,2015-II,2015-III,2015-IV,2016-I,2016-II,2016-III,2016-IV,2017-I,2017-II,2017-III,2017-IV,2018-I,2018-II,2018-III,2018-IV,2019-I,2019-II,2019-III,2019-IV,2020-I,2020-II,2020-III,2020-IV,2021-I,2021-II,2021-III,2021-IV,2022-I,2022-II,2022-III,2022-IV,2023-I,2023-II,2023-III,2023-IV,2024p-I,2024p-II,2024p-III,2024p-IV,2025pr-I,2025pr-II,2025pr-III,2025pr-IV,2026pr-I,2026pr-II
Bienes durables,2563,2810,2957,3508,2984,3181,3477,4100,3640,3751,4240,4901,3942,3969,4369,4974,3846,3748,4172,5013,4311,4520,4961,6118,5051,5379,5587,6604,5666,5866,5969,7022,5465,5607,5791,6812,5669,6164,6668,8297,6428,6784,6932,8030,6078,6161,6272,7969,5898,5755,6301,7387,6402,6558,7119,8202,7059,7061,7638,8587,6790,4843,6988,8890,7743,7231,8982,10814,9410,9867,10294,10795,9321,8891,9130,10065,8690,8492,9258,11001,9766,9854,11149,12455,11083,11418
Bienes no durables,28083,28271,29196,31211,29192,29596,30656,33012,30819,30680,31875,34446,32269,31760,32817,35661,33079,32771,33670,36318,33883,33693,34690,37347,34272,35121,35798,38616,36586,36543,37602,40419,38459,38728,39284,42123,39400,39422,40211,43843,40953,40806,42034,44990,41698,40837,41645,45017,41997,42144,43611,46272,43390,43260,44256,46637,43806,44313,45846,49476,49073,44644,47156,53089,49259,48303,51927,56784,53016,53830,55536,59098,54485,54338,55349,57744,54235,53718,54871,58496,55480,55986,57186,60289,56590,56857
Bienes semidurables,4807,5738,5842,8920,5148,6028,6347,9650,5798,6332,6620,10004,6013,6504,6806,10220,5875,6410,6439,10162,6119,6861,7508,11682,6827,8236,8553,13348,7958,8853,9014,13530,8152,8954,9087,14116,8344,9511,9359,15102,8785,9522,9864,15374,9117,9728,10026,15996,8983,9838,10250,16162,9477,10367,10529,16593,9499,10431,10971,17671,9165,4917,8643,17551,9422,9384,12416,21220,12629,14409,14546,21755,12105,12577,12599,18961,10904,11745,12170,20045,11602,12819,13223,21124,12247,13488
Servicios,45940,47459,47834,50018,49074,50814,51251,52427,51686,53928,54918,55780,54426,55974,57254,58346,55884,57803,58314,59206,57932,59773,60934,61990,60711,62575,63746,65093,64260,65945,67150,68276,67353,69750,70755,72569,70967,72321,73934,75419,72902,74868,77004,78089,75940,77082,79147,79947,77536,79610,80998,82670,79645,82032,83503,85119,82487,85274,87300,89359,84928,68532,76595,86952,86407,87795,93007,101127,96521,101748,105160,108718,100944,105166,106873,112585,103654,109251,111726,116437,108703,111798,114231,117423,110555,114016
Gasto de consumo final de los hogares en el territorio económico,80856,83881,85498,93875,85908,89232,91498,99628,91665,94376,97546,105801,96445,97951,101104,109668,98534,100470,102428,110959,102142,104710,108017,117360,106793,111265,113649,123824,114456,117166,119706,129378,119437,123026,124907,135618,124367,127425,130174,142676,129081,132006,135861,146417,132832,133807,137089,148931,134522,137412,141225,152378,139034,142289,145460,156268,143002,147183,151813,164644,150438,123857,139775,166118,153102,152960,166257,189014,171417,179296,184978,199183,176993,180744,183766,197964,177760,182910,187559,203994,185470,189994,195015,208637,190093,194850
