Concepto,2005-I,2005-II,2005-III,2005-IV,2006-I,2006-II,2006-III,2006-IV,2007-I,2007-II,2007-III,2007-IV,2008-I,2008-II,2008-III,2008-IV,2009-I,2009-II,2009-III,2009-IV,2010-I,2010-II,2010-III,2010-IV,2011-I,2011-II,2011-III,2011-IV,2012-I,2012-II,2012-III,2012-IV,2013-I,2013-II,2013-III,2013-IV,2014-I,2014-II,2014-III,2014-IV,2015-I,2015-II,2015-III,2015-IV,2016-I,2016-II,2016-III,2016-IV,2017-I,2017-II,2017-III,2017-IV,2018-I,2018-II,2018-III,2018-IV,2019-I,2019-II,2019-III,2019-IV,2020-I,2020-II,2020-III,2020-IV,2021-I,2021-II,2021-III,2021-IV,2022-I,2022-II,2022-III,2022-IV,2023-I,2023-II,2023-III,2023-IV,2024p-I,2024p-II,2024p-III,2024p-IV,2025pr-I,2025pr-II,2025pr-III,2025pr-IV,2026pr-I,2026pr-II
Alimentos y bebidas no alcohólicas,15499,16007,16418,17185,16075,16744,17008,17931,16794,17123,17762,18615,17412,17586,18057,19222,18075,18181,18672,19655,18629,18960,19419,20456,18886,19649,19988,21096,20330,20656,21176,22067,21104,21643,21928,22814,21685,21894,22415,23750,22547,22655,23310,24213,23072,23014,23290,24318,23261,23558,24308,25151,24048,24393,24901,25397,24523,25146,25878,27187,27876,27045,27428,29235,28024,27765,28973,30362,29306,29900,30438,31501,29918,29865,30342,31180,30149,30376,31008,32012,31132,31408,31927,32561,31375,31134
"Bebidas alcohólicas, tabaco y estupefacientes",2880,2975,3011,3787,2981,3092,3146,3942,3060,3276,3289,4152,3235,3259,3290,4230,3255,3429,3421,4261,3266,3314,3355,4105,3147,3381,3415,4299,3342,3513,3516,4497,3562,3720,3699,4722,3594,3896,3834,4904,3660,3852,3825,4949,4055,4110,4212,5359,4549,4695,4745,5819,4465,4514,4606,5745,4567,4639,4790,5905,4938,4348,4683,6342,4913,4970,5650,7522,5668,6034,6586,8139,6182,6416,6548,7637,6140,5911,6081,7563,5952,6223,6433,7968,6214,6602
Prendas de vestir y calzado,4269,5101,5170,7919,4445,5336,5584,8653,5046,5624,5796,9025,5250,5749,5908,9083,5147,5715,5644,9011,5306,6015,6453,10143,5816,7077,7243,11472,6697,7584,7678,11614,6943,7773,7836,12335,7198,8138,7948,12875,7305,7948,8128,13011,7675,8300,8463,13758,7569,8380,8606,13969,7868,8672,8762,14176,7857,8825,9082,15023,7504,3424,6650,14533,7551,7979,10271,17917,10045,11610,11709,18278,9561,10301,10347,16214,8936,9950,10220,16933,9505,10560,10684,17363,9858,10974
"Alojamiento, agua, electricidad, gas y otros combustibles",14318,14527,14638,14837,14906,15177,15341,15504,15554,15705,15802,15978,15805,16099,16273,16483,16424,16832,17056,17289,17270,17555,17685,17837,17795,18129,18312,18520,18670,19048,19213,19529,19494,19957,20170,20366,20324,20727,20925,21018,20990,21362,21626,21819,21676,21923,22150,22321,22148,22471,22743,22975,22867,23273,23713,23855,23784,24049,24357,24383,24307,24260,24734,24954,25019,25222,25573,25762,25668,25844,26030,26082,26119,26455,26725,26821,26969,26952,27096,27163,27197,27397,27687,27835,27776,28214
"Muebles, artículos para el hogar y para la conservación ordinaria del hogar",3343,3575,3841,4248,3635,3863,4177,4649,4010,4067,4440,4890,4277,4304,4617,4968,4200,4190,4501,5047,4406,4481,4848,5422,4567,4803,5185,5765,5073,5065,5504,5987,5147,5159,5462,5961,5324,5426,5842,6623,5687,5764,6201,6691,5647,5511,5871,6472,5487,5552,6043,6509,5712,5741,6204,6683,5872,5981,6561,7149,6318,4992,6433,7856,6444,6137,7175,8152,7233,7426,7398,8111,7294,7228,7496,7921,7279,7065,7389,8223,7754,7615,8105,8802,8135,8144
Salud,7628,7779,7785,7921,7782,8029,8173,8411,8246,8448,8528,8792,8886,8980,8976,8873,8647,8827,8657,8486,8545,8491,8572,8481,8709,8811,8768,8649,8871,8924,8979,8954,9215,9556,9416,9211,9302,9312,9561,9951,10110,10652,10961,10973,10560,10551,10673,10730,10676,10786,11041,11256,11226,11536,11688,11850,11832,12155,12333,12283,12124,10661,11964,12962,13480,13997,14557,14767,14602,14934,15115,15086,15455,15860,16180,16207,16511,17045,17223,17301,17249,17276,17844,17665,17912,17842
Transporte,6111,6692,6815,7057,6655,7050,7463,7690,7372,8270,8539,8805,7792,8401,8788,9142,8130,8535,8995,9362,8684,9353,9867,10494,9699,10368,10601,10980,10348,11009,10955,11367,10235,11088,11251,11828,10601,11581,12362,12915,11314,12174,12625,13096,11470,12197,12658,13535,11649,12193,12953,13058,12393,12929,13529,13830,12738,13343,14052,14646,12958,5346,8378,11579,11440,10490,14058,16172,15858,16900,18251,17857,16574,16506,17318,17307,15928,15701,16738,17964,16583,16559,18106,18232,17205,17162
Comunicaciones,1946,2112,2037,2730,2661,2930,2755,3051,3046,3188,3587,3553,3473,3593,3905,3852,3621,3640,3543,3877,3779,3996,4107,4311,4114,4295,4464,4666,4470,4516,4683,4954,4742,4815,4953,5285,5165,5187,5208,5469,5099,5031,5168,5305,4956,4897,5108,5287,4941,5011,5067,5623,5189,5504,5585,5957,5161,5208,5228,5819,5363,5668,5990,6297,6000,6135,6424,7483,7073,7286,7283,7717,7243,7172,7186,7885,7016,7146,7347,8064,7228,7537,7840,8364,7643,7757
Recreación y cultura,4240,3970,4100,4676,4731,4454,4543,4906,5098,4654,4902,5379,5552,5112,5387,5788,5588,5118,5174,5793,5758,5344,5566,6259,6250,6047,6291,6858,6664,6236,6651,7214,7168,6821,7093,7822,7523,7046,7176,8129,7709,7385,7673,8445,7953,7523,7733,8557,7935,7549,7735,8579,7728,7806,7981,9241,8824,9112,9350,10645,9286,7137,9225,10710,11171,11698,12947,15527,15094,15448,16636,19436,17109,17096,17754,19849,17411,18335,19351,20714,20039,19779,20638,22309,21015,21664
Educación,4175,4689,4548,4523,4148,4643,4535,4553,4288,4850,4751,4774,4468,5028,4824,4849,4615,5178,4937,4936,4625,5173,4748,4877,4741,5137,4867,5090,4913,5358,5211,5357,5048,5648,5496,5654,5246,5799,5740,5828,5418,5941,6049,5910,5532,6091,6069,6128,5460,6239,6064,6185,5609,6225,6013,6170,5678,6319,6138,6358,5691,6107,5674,6238,5522,6053,5881,6326,5670,6417,6268,6700,5918,6742,6511,6768,5812,6564,6255,6708,5862,6527,6473,6905,5877,6624
