Concepto,2005-I,2005-II,2005-III,2005-IV,2006-I,2006-II,2006-III,2006-IV,2007-I,2007-II,2007-III,2007-IV,2008-I,2008-II,2008-III,2008-IV,2009-I,2009-II,2009-III,2009-IV,2010-I,2010-II,2010-III,2010-IV,2011-I,2011-II,2011-III,2011-IV,2012-I,2012-II,2012-III,2012-IV,2013-I,2013-II,2013-III,2013-IV,2014-I,2014-II,2014-III,2014-IV,2015-I,2015-II,2015-III,2015-IV,2016-I,2016-II,2016-III,2016-IV,2017-I,2017-II,2017-III,2017-IV,2018-I,2018-II,2018-III,2018-IV,2019-I,2019-II,2019-III,2019-IV,2020-I,2020-II,2020-III,2020-IV,2021-I,2021-II,2021-III,2021-IV,2022-I,2022-II,2022-III,2022-IV,2023-I,2023-II,2023-III,2023-IV,2024p-I,2024p-II,2024p-III,2024p-IV,2025pr-I,2025pr-II,2025pr-III,2025pr-IV,2026pr-I,2026pr-II
Exportaciones,19831,22334,22883,23077,22337,23616,24649,25911,22749,23879,26699,29188,25887,26784,26682,25251,24406,24028,24750,25974,24198,25177,25211,26618,27426,28064,28190,29927,29770,28695,30038,30187,28895,31198,30327,33821,30502,30299,31231,31850,30585,32191,30319,32841,30068,30730,30634,34241,31009,31689,31797,34407,30290,31637,32293,35510,32384,33754,33131,34462,30088,23187,23824,26596,27045,26415,30084,35326,31625,32972,34297,34789,32784,33600,34396,37065,32659,33655,34085,37984,32689,33325,35581,39361,33245,32980
E.Bienes,17372,19334,19767,19649,18929,20283,21144,21983,19473,20618,23251,25757,22487,23461,23368,21964,21133,20832,21386,22323,21174,22195,21924,23166,24137,24777,24741,26533,26204,25333,26481,26653,25593,27881,26866,29473,26974,26822,27343,26596,26422,28073,25872,26688,25785,26803,26546,28533,26729,27382,27147,27787,25222,27090,27495,28736,27150,28921,27952,27939,25791,21855,22279,23586,24526,23854,26573,28422,27024,28057,28648,27668,27857,28524,28280,28701,27323,28334,27414,28244,26836,27679,28889,28466,27159,27607
E.Servicios,2357,2948,3075,3464,3469,3322,3500,3991,3283,3215,3338,3210,3308,3194,3186,3193,3214,3130,3315,3632,2936,2864,3216,3374,3157,3134,3329,3208,3431,3201,3405,3363,3115,3029,3261,4291,3346,3289,3763,5415,4105,4020,4434,6322,4283,3926,4088,5709,4303,4341,4637,6375,4987,4525,4763,6608,5157,4752,5100,6445,4280,1496,1698,3066,2650,2661,3460,6072,4378,4669,5339,6663,4606,4747,5811,8093,5115,5119,6275,8953,5580,5429,6332,9816,5792,5218
Importaciones,17192,19339,20415,21762,19843,22700,24811,25271,22972,25139,27951,29399,26870,27925,30611,33250,26942,25673,26739,29041,26873,29019,30984,33258,32036,35553,37144,39703,36719,38997,40954,41308,39193,42789,44415,45046,42509,45821,46418,49999,43154,44378,48338,46880,42232,43640,44203,46204,43271,44759,44860,45185,42666,46806,47121,51820,47737,51081,52288,51144,45678,33918,38905,43112,43283,49489,54303,57735,60124,62223,67256,64368,59000,57091,54910,57496,51720,57054,59475,62908,57946,62781,65631,64564,60057,67461
I.Bienes,14182,16327,16931,17787,16398,18927,20709,21067,19240,21205,23540,24922,22625,23799,26096,28384,22660,21400,22086,23678,22336,23978,25778,27264,26689,29519,30961,32335,30554,32458,34014,34242,32310,35368,37231,37319,35516,37822,38863,42126,36081,36667,41271,39901,36046,36583,38008,39675,36972,36950,37966,37551,35626,38859,39957,44060,40684,43045,45080,44118,40091,31312,36287,39507,39783,43953,49649,51404,54781,56147,62598,59458,54378,50820,48162,50809,45985,50286,52848,56636,52644,56146,58823,57433,54254,60430
I.Servicios,3141,3021,3607,4202,3586,3871,4202,4314,3788,3927,4422,4413,4258,3991,4362,4678,4261,4317,4770,5594,4616,5154,5292,6165,5395,6124,6233,7703,6238,6614,7044,7193,7062,7585,7183,7872,7048,8180,7592,7842,7123,7845,6961,6900,6186,7057,6195,6529,6308,7656,6858,7511,6944,7812,7138,7746,7058,7973,7284,7104,5825,3105,3268,4179,4143,5772,5375,6648,6090,6660,5948,5989,5575,6531,6734,6812,5939,6811,6849,6812,5986,7016,7258,7399,6393,7480
