Concepto,2005-I,2005-II,2005-III,2005-IV,2006-I,2006-II,2006-III,2006-IV,2007-I,2007-II,2007-III,2007-IV,2008-I,2008-II,2008-III,2008-IV,2009-I,2009-II,2009-III,2009-IV,2010-I,2010-II,2010-III,2010-IV,2011-I,2011-II,2011-III,2011-IV,2012-I,2012-II,2012-III,2012-IV,2013-I,2013-II,2013-III,2013-IV,2014-I,2014-II,2014-III,2014-IV,2015-I,2015-II,2015-III,2015-IV,2016-I,2016-II,2016-III,2016-IV,2017-I,2017-II,2017-III,2017-IV,2018-I,2018-II,2018-III,2018-IV,2019-I,2019-II,2019-III,2019-IV,2020-I,2020-II,2020-III,2020-IV,2021-I,2021-II,2021-III,2021-IV,2022-I,2022-II,2022-III,2022-IV,2023-I,2023-II,2023-III,2023-IV,2024p-I,2024p-II,2024p-III,2024p-IV,2025pr-I,2025pr-II,2025pr-III,2025pr-IV,2026pr-I
Demanda interna1,113.935,124.088,123.344,140.030,123.814,133.233,137.783,148.808,135.409,144.786,148.601,160.093,143.788,151.867,156.125,168.378,145.532,153.256,154.796,168.149,151.171,162.609,164.871,180.667,163.101,176.878,180.400,194.568,174.814,188.010,186.029,201.115,182.395,198.567,200.271,212.904,195.441,209.081,209.499,227.660,201.367,212.550,219.437,228.152,208.069,213.948,220.372,229.706,210.288,216.678,223.348,231.584,213.667,224.259,231.147,243.368,223.420,232.656,242.123,250.936,224.615,190.731,218.544,243.670,228.857,236.538,254.915,274.605,258.726,269.178,280.976,288.033,262.429,263.468,265.870,278.713,255.277,266.913,275.113,290.420,267.320,277.241,288.571,296.377,273.429
Gasto de consumo final,96.829,100.411,102.605,119.232,102.454,106.041,109.475,126.974,108.441,111.782,116.909,135.459,114.405,116.982,120.927,140.192,117.217,120.061,123.354,142.784,121.818,125.688,130.090,151.407,127.452,133.773,137.247,160.521,136.265,140.712,144.491,168.227,142.839,149.052,151.939,177.437,149.690,154.959,158.192,185.293,155.725,161.715,166.721,186.041,158.567,164.099,166.934,191.500,160.474,168.622,171.927,195.950,166.274,175.727,178.795,203.852,171.813,183.083,186.939,213.921,178.494,156.965,172.968,215.482,184.377,191.518,205.146,242.522,206.015,221.016,222.962,247.834,210.280,222.090,223.422,248.130,210.472,225.347,224.986,256.363,218.609,234.214,237.932,266.279,226.102
Gasto de consumo final individual de los hogares; gasto de consumo final de las ISFLH2,82.040,84.950,86.758,94.993,86.996,90.324,92.812,100.821,92.919,95.729,99.219,107.394,97.992,99.427,102.761,111.347,100.029,101.873,104.011,112.643,103.802,106.511,109.965,119.426,108.559,113.239,115.726,126.367,116.522,119.290,122.168,132.046,121.790,125.701,127.423,137.785,126.814,130.403,132.766,144.500,131.349,134.570,137.906,147.188,134.714,136.279,138.975,149.771,135.917,139.854,142.787,152.678,140.488,144.738,147.348,157.149,144.587,149.987,153.727,165.427,151.601,124.339,140.330,166.727,154.410,155.981,168.165,190.282,173.361,181.890,186.530,199.224,178.410,183.220,185.663,197.513,179.379,185.454,189.268,202.921,186.611,192.458,196.879,207.678,191.688
Gasto de consumo final del gobierno general,14.795,15.481,15.874,24.225,15.467,15.749,16.696,26.132,15.579,16.129,17.750,27.969,16.501,17.631,18.252,28.680,17.190,18.205,19.363,30.167,18.049,19.218,20.171,31.925,18.937,20.584,21.569,34.061,19.737,21.432,22.341,36.214,21.043,23.359,24.529,39.666,22.884,24.577,25.455,40.758,24.375,27.145,28.814,38.853,23.854,27.821,27.959,41.729,24.437,28.730,29.096,43.520,25.738,30.991,31.447,46.853,27.197,33.111,33.220,48.624,26.867,32.678,32.667,48.860,30.023,35.584,37.034,52.280,32.404,39.061,36.216,48.771,31.243,38.786,37.526,51.324,30.609,39.850,35.379,53.973,31.692,41.702,40.948,58.949,34.176
Formación bruta de capital,18.551,23.914,21.770,22.484,22.239,27.234,28.214,23.718,27.085,32.620,31.425,26.293,29.446,34.605,34.765,29.274,28.673,33.082,31.664,26.607,29.708,36.649,34.768,30.379,35.503,42.885,42.623,34.841,38.418,47.145,41.461,33.327,39.586,49.536,48.138,35.609,45.619,54.365,51.207,42.342,45.628,50.835,52.725,42.117,49.504,49.848,53.436,38.205,49.858,48.064,51.451,35.455,47.431,48.543,52.419,39.214,51.676,49.561,55.245,36.666,46.070,33.673,45.533,27.928,44.241,44.799,49.497,32.386,52.385,47.998,57.639,40.322,51.878,41.333,42.388,30.807,44.721,41.528,50.018,34.121,48.594,42.989,50.535,30.234,47.142
Formación bruta de capital fijo,18.507,19.918,20.553,26.959,20.660,22.856,25.926,32.628,26.638,29.354,30.867,35.514,24.056,30.171,30.064,34.759,25.752,30.822,32.017,35.762,25.623,33.919,33.380,40.266,30.263,36.864,38.556,43.772,31.660,39.744,39.330,43.702,34.741,42.393,40.953,49.447,38.897,45.794,46.746,51.520,40.789,48.656,48.479,50.171,38.483,47.212,45.284,51.679,40.402,46.581,47.630,51.433,39.326,48.457,48.182,52.011,44.525,48.941,48.914,49.799,39.643,27.747,36.407,42.987,41.630,39.403,41.645,48.612,47.207,43.649,47.319,52.811,44.804,38.072,39.826,43.805,40.346,38.117,40.787,48.373,40.646,38.927,43.051,47.426,42.143
Exportaciones,19.831,22.334,22.883,23.077,22.337,23.616,24.649,25.911,22.749,23.879,26.699,29.188,25.887,26.784,26.682,25.251,24.406,24.028,24.750,25.974,24.198,25.177,25.211,26.618,27.426,28.064,28.190,29.927,29.770,28.695,30.038,30.187,28.895,31.198,30.327,33.821,30.502,30.299,31.231,31.850,30.585,32.191,30.319,32.841,30.068,30.730,30.634,34.241,31.009,31.689,31.797,34.407,30.290,31.637,32.293,35.510,32.384,33.754,33.131,34.462,30.088,23.187,23.824,26.596,27.045,26.415,30.084,35.326,31.625,32.971,34.297,34.789,32.784,33.600,34.396,37.065,32.658,33.653,34.085,37.986,32.705,33.313,35.555,39.384,33.863
Importaciones,17.192,19.339,20.415,21.762,19.843,22.700,24.811,25.271,22.972,25.139,27.951,29.399,26.870,27.925,30.611,33.250,26.942,25.673,26.739,29.041,26.873,29.019,30.984,33.258,32.036,35.553,37.144,39.703,36.719,38.997,40.954,41.308,39.193,42.789,44.415,45.046,42.509,45.821,46.418,49.999,43.154,44.378,48.338,46.880,42.232,43.640,44.203,46.204,43.271,44.759,44.860,45.185,42.666,46.806,47.121,51.820,47.737,51.081,52.288,51.144,45.678,33.918,38.905,43.112,43.283,49.489,54.303,57.735,60.124,62.222,67.256,64.369,59.003,57.095,54.910,57.490,51.707,57.043,59.478,62.929,57.811,62.756,65.580,64.775,59.810
Producto Interno Bruto,121.114,125.558,129.221,138.960,128.834,132.241,139.113,149.246,137.483,141.315,148.649,159.010,144.598,148.077,153.583,159.455,144.807,149.107,154.401,164.300,150.426,156.002,160.650,173.072,160.656,166.584,173.371,184.018,170.512,174.656,177.268,188.979,174.574,184.041,188.344,200.980,186.095,190.345,196.606,208.543,191.358,196.859,203.635,212.839,195.902,201.037,206.805,217.745,197.999,203.590,210.300,220.768,201.266,209.187,216.359,227.196,208.261,215.621,223.120,234.222,208.978,179.585,202.864,226.473,212.121,212.660,229.900,251.562,229.300,238.998,246.890,257.467,235.768,240.007,245.811,259.257,236.298,243.588,249.655,265.950,242.271,248.121,259.055,271.626,247.672
