Concepto,2005-I,2005-II,2005-III,2005-IV,2006-I,2006-II,2006-III,2006-IV,2007-I,2007-II,2007-III,2007-IV,2008-I,2008-II,2008-III,2008-IV,2009-I,2009-II,2009-III,2009-IV,2010-I,2010-II,2010-III,2010-IV,2011-I,2011-II,2011-III,2011-IV,2012-I,2012-II,2012-III,2012-IV,2013-I,2013-II,2013-III,2013-IV,2014-I,2014-II,2014-III,2014-IV,2015-I,2015-II,2015-III,2015-IV,2016-I,2016-II,2016-III,2016-IV,2017-I,2017-II,2017-III,2017-IV,2018-I,2018-II,2018-III,2018-IV,2019-I,2019-II,2019-III,2019-IV,2020-I,2020-II,2020-III,2020-IV,2021-I,2021-II,2021-III,2021-IV,2022-I,2022-II,2022-III,2022-IV,2023-I,2023-II,2023-III,2023-IV,2024p-I,2024p-II,2024p-III,2024p-IV,2025pr-I,2025pr-II,2025pr-III,2025pr-IV,2026pr-I,2026pr-II
Vivienda,6986,6970,5728,7043,7508,7041,6828,9344,9769,11497,8668,8318,6985,7643,6761,8122,7761,9492,8053,8753,7363,9301,7579,8504,8025,8372,7790,9346,7185,8910,8417,8770,8735,10486,6936,9268,8387,10411,9351,10947,9888,11783,10676,10458,9304,11907,9537,11956,10483,11844,9165,10403,9573,11666,9720,10783,9078,10534,8890,9538,6849,5390,6022,7347,8639,8436,8220,10514,8862,8581,8873,10218,9474,8142,8106,9267,8399,7616,7600,10031,7791,6963,7261,9428,7668,6811
Otros edificios y estructuras,7846,6994,8980,11906,7862,8031,10308,12636,9499,10926,12296,13652,7917,10752,11752,11769,8808,12791,13333,14297,9433,13827,13707,14767,9389,13128,13491,15243,9724,15312,14520,13967,11763,15782,15532,17009,13610,17499,17422,17340,14938,19346,20112,18212,14688,19336,19522,19047,15146,19771,21320,19716,14259,19256,20172,19626,16927,18591,19940,18650,15028,9122,12429,14708,14262,11387,11558,14565,13370,10903,11857,13421,12763,10074,10344,13678,12134,10911,10941,14666,11019,10690,11480,14331,10875,11566
Maquinaria y equipo,4530,5985,5727,7887,5787,7382,8196,10525,8077,8488,9585,11990,8086,10473,10061,12925,8172,8368,9581,11502,7742,10094,10669,14988,11055,13445,14821,16935,12410,13560,14184,18358,11712,13644,15615,20353,14106,15090,17346,20429,13013,14469,14594,18672,11652,13162,13385,17773,11765,12128,14406,18456,12524,14758,15548,18828,15725,17145,17378,18967,15104,10649,15640,18638,16076,17147,19546,21276,22814,22023,24561,27233,20156,17125,18700,18402,17127,16960,19749,21045,19023,18744,22374,21373,21504,21210
Recursos biológicos cultivados,751,684,609,607,810,709,700,582,775,738,695,568,845,727,699,552,853,774,754,660,808,866,806,646,911,891,921,753,874,884,827,693,912,957,889,737,822,938,865,826,828,938,922,841,853,1070,1065,1007,1038,1042,957,967,929,968,994,990,987,1054,1140,1006,1018,1068,1051,974,1080,1079,1007,905,906,906,887,866,917,965,950,911,940,1006,1056,1036,1045,1049,1078,1058,1008,1040
Productos de propiedad intelectual,1039,1022,1027,1070,981,923,950,1054,1052,1128,1214,1359,1216,1215,1262,1380,1313,1322,1364,1440,1362,1291,1327,1429,1462,1451,1532,1672,1586,1548,1643,1830,1850,1893,1998,2158,2088,1969,2027,2215,2123,2002,2077,2204,1987,1737,1775,1896,1924,1764,1840,1955,1981,1809,1853,1955,1974,1770,1825,1978,1909,1583,1625,1802,1836,1657,1774,1886,1968,1828,1902,1981,1975,1914,1999,2025,2019,1830,1844,1973,2004,1751,1893,1931,1953,1759
