Fecha,Grupo,Categoria,Nacional,Cabeceras,Centros poblados y rural disperso,13 ciudades y A.M.,Otras cabeceras
2025,Número de niños menores de 12 años,No tiene niños,16.5,14.4,25.7,11.7,18.6
2025,Número de niños menores de 12 años,Un niño,31.8,28.9,40.9,24.9,33.9
2025,Número de niños menores de 12 años,Dos niños,47.9,45.8,53.3,42.6,49.1
2025,Número de niños menores de 12 años,Tres o más niños,73.3,71.1,76.4,70.3,71.9
2025,Número de ocupados en el hogar,Ningún ocupado,43.8,38.5,60.6,30.8,46.8
2025,Número de ocupados en el hogar,Un ocupado,35.2,32.5,42.7,29.4,36.2
2025,Número de ocupados en el hogar,Dos o más ocupados,17.7,14.9,29.4,12.2,19.2
2025,Tamaño del hogar,Una persona,10.4,9.1,14.7,8.4,10.2
2025,Tamaño del hogar,Dos personas,15.2,13.1,24.2,10.2,17.3
2025,Tamaño del hogar,Tres personas,22.7,20.0,33.3,16.4,25.2
2025,Tamaño del hogar,Cuatro personas o más,37.9,34.0,49.3,29.4,39.7
2025,Total,,28.0,24.6,39.5,20.6,30.1
2024,Número de niños menores de 12 años,No tiene niños,19.7,17.6,29.1,14.3,22.7
2024,Número de niños menores de 12 años,Un niño,35.1,33.0,41.7,29.3,37.6
2024,Número de niños menores de 12 años,Dos niños,52.5,50.8,56.7,47.4,54.5
2024,Número de niños menores de 12 años,Tres o más niños,76.3,74.2,79.3,70.7,77.0
2024,Número de ocupados en el hogar,Ningún ocupado,48.9,43.6,65.4,35.1,52.5
2024,Número de ocupados en el hogar,Un ocupado,38.8,36.9,44.2,33.4,41.0
2024,Número de ocupados en el hogar,Dos o más ocupados,21.0,17.9,33.3,14.9,22.8
2024,Tamaño del hogar,Una persona,13.1,11.8,18.1,10.4,13.7
2024,Tamaño del hogar,Dos personas,18.3,15.6,29.3,11.7,21.5
2024,Tamaño del hogar,Tres personas,25.9,23.3,36.0,19.3,29.0
2024,Tamaño del hogar,Cuatro personas o más,41.8,38.5,51.4,33.6,44.6
2024,Total,,31.8,28.6,42.5,24.0,34.8
