Fecha,Nacional,Cabeceras,Centros poblados y rural disperso,13 ciudades y A.M.,Otras cabeceras,Armenia,Barranquilla,Bogotá,Bucaramanga,Cali,Cartagena,Cúcuta,Florencia,Ibagué,Manizales,Medellín,Montería,Neiva,Pasto,Pereira,Popayán,Quibdó,Riohacha,Santa Marta,Sincelejo,Tunja,Valledupar,Villavicencio,Barranquilla A.M.,Bucaramanga A.M.,Cali A.M.,Cúcuta A.M.,Manizales A.M.,Medellín A.M.,Pereira A.M.
2012,17938,11643,6294,5826,5818,118,,1713,,,348,,74,185,,,138,127,148,,121,70,43,159,94,55,144,131,614,272,715,282,104,980,196
2013,17086,11096,5990,5448,5648,107,,1511,,,321,,72,177,,,128,126,127,,113,69,41,149,96,60,141,128,593,274,682,276,96,919,216
2014,16465,10533,5932,5194,5339,97,,1490,,,308,,68,171,,,80,123,123,,115,70,40,154,88,60,129,113,555,253,636,297,95,882,190
2015,16526,10500,6027,5145,5355,103,,1527,,,308,,66,179,,,105,129,116,,111,73,39,141,88,59,145,112,510,264,585,297,85,877,181
2016,16712,10909,5803,5353,5556,103,,1547,,,346,,71,200,,,117,140,105,,112,74,45,161,94,59,167,127,516,337,563,310,91,916,179
2017,16500,10868,5632,5425,5443,98,,1708,,,321,,70,201,,,104,140,100,,105,74,46,150,87,61,161,118,501,364,569,305,82,896,158
2018,16644,10922,5723,5435,5487,93,,1559,,,327,,69,208,,,106,140,115,,103,75,48,153,88,64,170,115,525,405,569,344,73,922,166
2019,17461,11496,5966,5741,5755,91,,1618,,,331,,70,220,,,115,139,101,,103,72,57,174,106,63,178,117,565,442,585,404,74,996,173
2020,21059,15509,5550,8533,6976,122,,2625,,,458,,82,288,,,157,192,129,,119,78,72,226,143,86,242,181,889,634,929,495,130,1360,258
2021,19634,14060,5575,7411,6649,114,,2392,,,394,,78,224,,,150,165,114,,112,76,76,225,126,72,239,140,776,494,751,463,127,1159,226
2022,18332,13023,5309,6630,6392,102,455.0,2210,206.0,529.0,408,332.0,72,207,88.0,680.0,158,148,105,117.0,105,71,75,220,131,62,235,139,714,417,559,427,101,991,195
2023,17505,12389,5116,6105,6283,101,395.0,1917,193.0,548.0,404,289.0,72,187,82.0,661.0,145,153,98,109.0,112,71,75,207,124,55,252,156,629,399,577,375,93,941,185
2024,16238,11268,4970,5439,5829,87,399.0,1565,187.0,535.0,390,274.0,70,159,74.0,586.0,130,128,94,103.0,106,68,77,190,124,51,236,134,618,379,565,351,85,800,170
2025,14447,9798,4649,4704,5094,79,317.0,1439,177.0,452.0,331,249.0,60,131,59.0,452.0,124,111,90,90.0,101,71,73,144,117,48,202,122,528,334,475,318,66,606,138
