Fecha,Nacional,Cabeceras,Centros poblados y rural disperso,13 ciudades y A.M.,Otras cabeceras,Armenia,Barranquilla,Bogotá,Bucaramanga,Cali,Cartagena,Cúcuta,Florencia,Ibagué,Manizales,Medellín,Montería,Neiva,Pasto,Pereira,Popayán,Quibdó,Riohacha,Santa Marta,Sincelejo,Tunja,Valledupar,Villavicencio,Barranquilla A.M.,Bucaramanga A.M.,Cali A.M.,Cúcuta A.M.,Manizales A.M.,Medellín A.M.,Pereira A.M.
2012,41.0,35.3,58.9,29.7,43.4,42.7,,23.9,,,42.0,,51.3,39.2,,,38.2,40.5,48.8,,48.5,68.4,40.2,38.8,40.8,36.8,38.2,29.7,37.0,26.6,32.4,34.1,24.1,29.5,33.3
2013,38.7,33.2,55.7,27.5,41.6,38.8,,21.0,,,38.4,,49.6,37.3,,,34.9,39.9,41.8,,44.9,66.0,37.2,36.0,40.9,39.8,36.8,28.5,35.4,26.4,30.9,33.1,22.0,27.3,36.5
2014,37.0,31.2,54.9,26.1,38.7,34.8,,20.6,,,36.6,,46.3,35.8,,,21.7,38.5,40.5,,44.9,65.5,36.0,36.6,37.3,38.8,33.0,24.6,32.8,24.0,28.7,35.5,21.6,25.8,31.9
2015,36.8,30.8,55.4,25.6,38.3,36.8,,21.1,,,36.4,,45.2,37.1,,,28.0,39.8,38.1,,43.1,67.8,34.4,32.8,36.7,37.7,36.5,24.1,29.8,24.7,26.3,35.2,19.1,25.3,30.1
2016,36.8,31.6,52.9,26.4,39.1,36.4,,21.3,,,40.5,,48.2,41.2,,,30.8,42.6,34.2,,43.1,67.0,38.5,37.1,39.0,37.4,40.9,26.7,29.8,31.0,25.2,36.3,20.2,26.0,29.5
2017,35.9,31.1,50.9,26.5,37.6,34.4,,23.4,,,37.2,,47.6,41.1,,,27.1,42.2,32.5,,39.8,66.3,38.0,33.7,35.3,37.5,38.5,24.3,28.5,32.9,25.4,35.1,18.0,25.0,25.8
2018,35.5,30.7,51.0,26.1,37.0,32.4,,21.1,,,37.2,,46.3,42.2,,,27.3,41.7,37.2,,38.5,66.8,38.3,33.5,35.3,39.0,39.3,23.5,29.0,35.8,25.1,38.4,15.8,25.2,26.9
2019,36.5,31.4,52.6,27.0,37.7,31.0,,21.4,,,36.9,,46.8,44.1,,,29.3,40.9,32.9,,38.7,64.1,41.5,37.0,41.8,37.7,39.4,23.6,30.1,37.9,25.6,43.0,15.7,26.5,27.5
2020,43.1,41.5,48.6,39.3,44.5,41.2,,34.0,,,50.1,,53.6,57.4,,,39.8,56.4,42.3,,44.3,69.4,48.7,46.8,55.3,50.0,51.8,36.1,45.9,53.0,40.4,50.7,27.1,35.3,40.3
2021,39.7,37.0,48.5,33.7,41.5,38.0,,30.7,,,42.5,,50.6,44.5,,,37.8,48.2,37.3,,41.7,67.4,50.3,45.8,47.9,41.7,50.1,27.7,39.4,40.8,32.5,46.7,26.2,29.5,34.9
2022,36.6,33.8,45.9,29.9,39.3,33.5,34.7,28.1,33.9,23.7,43.6,43.5,45.8,40.9,20.5,26.5,39.5,42.9,34.2,28.6,38.8,62.3,48.8,44.4,49.5,35.6,48.5,27.2,35.7,34.2,24.0,42.8,20.6,24.8,29.8
2023,34.6,31.8,44.0,27.2,38.0,32.6,29.8,24.1,31.5,24.3,42.8,37.7,45.4,36.9,18.9,25.3,36.2,43.8,32.1,26.4,41.1,62.0,47.9,41.5,46.4,31.5,51.4,30.4,31.1,32.4,24.6,37.4,18.7,23.2,28.0
2024,31.8,28.6,42.5,24.0,34.8,27.8,29.7,19.6,30.3,23.6,41.1,35.5,43.5,31.3,16.7,22.1,32.1,36.7,30.6,24.5,38.8,59.6,48.8,37.9,46.0,28.7,47.5,25.8,30.3,30.5,23.9,34.8,16.9,19.4,25.4
2025,28.0,24.6,39.5,20.6,30.1,25.1,23.4,17.8,28.4,19.7,34.6,32.2,37.1,25.6,13.2,16.7,30.7,31.5,29.3,21.2,36.7,61.7,45.4,28.6,43.3,26.9,40.2,23.4,25.6,26.7,19.9,31.5,13.0,14.4,20.4
