Fecha,Departamentos,Sexo,Concepto,Periodo,Valor
2007,Antioquia,Hombres,% población en edad de trabajar,Anual,70.680064318
2008,Antioquia,Hombres,% población en edad de trabajar,Anual,71.345451561
2009,Antioquia,Hombres,% población en edad de trabajar,Anual,72.019709354
2010,Antioquia,Hombres,% población en edad de trabajar,Anual,72.695893388
2011,Antioquia,Hombres,% población en edad de trabajar,Anual,73.365956873
2012,Antioquia,Hombres,% población en edad de trabajar,Anual,74.014860119
2013,Antioquia,Hombres,% población en edad de trabajar,Anual,74.630703212
2014,Antioquia,Hombres,% población en edad de trabajar,Anual,75.206890843
2015,Antioquia,Hombres,% población en edad de trabajar,Anual,75.735866672
2016,Antioquia,Hombres,% población en edad de trabajar,Anual,76.211918065
2017,Antioquia,Hombres,% población en edad de trabajar,Anual,76.629799434
2018,Antioquia,Hombres,% población en edad de trabajar,Anual,76.969317847
2019,Antioquia,Hombres,% población en edad de trabajar,Anual,77.303837318
2020,Antioquia,Hombres,% población en edad de trabajar,Anual,77.625428511
2021,Antioquia,Hombres,% población en edad de trabajar,Anual,77.96716241
2022,Antioquia,Hombres,% población en edad de trabajar,Anual,78.284214198
2023,Antioquia,Hombres,% población en edad de trabajar,Anual,78.576574959
2024,Antioquia,Hombres,% población en edad de trabajar,Anual,78.926245102
2025,Antioquia,Hombres,% población en edad de trabajar,Anual,79.225248877
2007,Antioquia,Hombres,Tasa Global de Participación (TGP),Anual,77.672943859
2008,Antioquia,Hombres,Tasa Global de Participación (TGP),Anual,77.878528089
2009,Antioquia,Hombres,Tasa Global de Participación (TGP),Anual,80.182132696
2010,Antioquia,Hombres,Tasa Global de Participación (TGP),Anual,79.100916599
2011,Antioquia,Hombres,Tasa Global de Participación (TGP),Anual,79.415826937
2012,Antioquia,Hombres,Tasa Global de Participación (TGP),Anual,79.623323312
2013,Antioquia,Hombres,Tasa Global de Participación (TGP),Anual,79.553091696
2014,Antioquia,Hombres,Tasa Global de Participación (TGP),Anual,79.161508876
2015,Antioquia,Hombres,Tasa Global de Participación (TGP),Anual,77.558702876
2016,Antioquia,Hombres,Tasa Global de Participación (TGP),Anual,77.015302082
2017,Antioquia,Hombres,Tasa Global de Participación (TGP),Anual,77.43486134
2018,Antioquia,Hombres,Tasa Global de Participación (TGP),Anual,76.314504323
2019,Antioquia,Hombres,Tasa Global de Participación (TGP),Anual,76.303445559
2020,Antioquia,Hombres,Tasa Global de Participación (TGP),Anual,73.7804322
2021,Antioquia,Hombres,Tasa Global de Participación (TGP),Anual,75.012981961
2022,Antioquia,Hombres,Tasa Global de Participación (TGP),Anual,77.124467549
2023,Antioquia,Hombres,Tasa Global de Participación (TGP),Anual,77.201249796
2024,Antioquia,Hombres,Tasa Global de Participación (TGP),Anual,76.932420269
2025,Antioquia,Hombres,Tasa Global de Participación (TGP),Anual,77.778076975
2007,Antioquia,Hombres,Tasa de Ocupación (TO),Anual,70.60945491
2008,Antioquia,Hombres,Tasa de Ocupación (TO),Anual,70.258586264
2009,Antioquia,Hombres,Tasa de Ocupación (TO),Anual,71.828960339
2010,Antioquia,Hombres,Tasa de Ocupación (TO),Anual,71.791421256
2011,Antioquia,Hombres,Tasa de Ocupación (TO),Anual,72.762201141
2012,Antioquia,Hombres,Tasa de Ocupación (TO),Anual,73.087357447
2013,Antioquia,Hombres,Tasa de Ocupación (TO),Anual,73.299437764
2014,Antioquia,Hombres,Tasa de Ocupación (TO),Anual,72.790643016
2015,Antioquia,Hombres,Tasa de Ocupación (TO),Anual,71.256012265
2016,Antioquia,Hombres,Tasa de Ocupación (TO),Anual,71.144871499
2017,Antioquia,Hombres,Tasa de Ocupación (TO),Anual,70.950263146
2018,Antioquia,Hombres,Tasa de Ocupación (TO),Anual,69.526719381
2019,Antioquia,Hombres,Tasa de Ocupación (TO),Anual,69.364892937
2020,Antioquia,Hombres,Tasa de Ocupación (TO),Anual,63.579293342
2021,Antioquia,Hombres,Tasa de Ocupación (TO),Anual,66.433591374
2022,Antioquia,Hombres,Tasa de Ocupación (TO),Anual,71.016665227
2023,Antioquia,Hombres,Tasa de Ocupación (TO),Anual,71.778970429
2024,Antioquia,Hombres,Tasa de Ocupación (TO),Anual,71.15350681
2025,Antioquia,Hombres,Tasa de Ocupación (TO),Anual,73.13898312
2007,Antioquia,Hombres,Tasa de Desocupación (TD),Anual,9.093885977
2008,Antioquia,Hombres,Tasa de Desocupación (TD),Anual,9.784393736
2009,Antioquia,Hombres,Tasa de Desocupación (TD),Anual,10.417747789
2010,Antioquia,Hombres,Tasa de Desocupación (TD),Anual,9.240721419
2011,Antioquia,Hombres,Tasa de Desocupación (TD),Anual,8.378211313
2012,Antioquia,Hombres,Tasa de Desocupación (TD),Anual,8.208607218
2013,Antioquia,Hombres,Tasa de Desocupación (TD),Anual,7.860981639
2014,Antioquia,Hombres,Tasa de Desocupación (TD),Anual,8.047933838
2015,Antioquia,Hombres,Tasa de Desocupación (TD),Anual,8.126348659
2016,Antioquia,Hombres,Tasa de Desocupación (TD),Anual,7.622421032
2017,Antioquia,Hombres,Tasa de Desocupación (TD),Anual,8.374262033
2018,Antioquia,Hombres,Tasa de Desocupación (TD),Anual,8.894488672
2019,Antioquia,Hombres,Tasa de Desocupación (TD),Anual,9.093367373
2020,Antioquia,Hombres,Tasa de Desocupación (TD),Anual,13.826347385
2021,Antioquia,Hombres,Tasa de Desocupación (TD),Anual,11.437207751
2022,Antioquia,Hombres,Tasa de Desocupación (TD),Anual,7.919409386
2023,Antioquia,Hombres,Tasa de Desocupación (TD),Anual,7.023564232
2024,Antioquia,Hombres,Tasa de Desocupación (TD),Anual,7.511675101
2025,Antioquia,Hombres,Tasa de Desocupación (TD),Anual,5.964526299
2007,Antioquia,Hombres,Tasa de Subocupación (TS),Anual,8.496139465
2008,Antioquia,Hombres,Tasa de Subocupación (TS),Anual,9.482370859
2009,Antioquia,Hombres,Tasa de Subocupación (TS),Anual,11.991323022
2010,Antioquia,Hombres,Tasa de Subocupación (TS),Anual,12.264435071
2011,Antioquia,Hombres,Tasa de Subocupación (TS),Anual,9.558111163
2012,Antioquia,Hombres,Tasa de Subocupación (TS),Anual,11.881649887
2013,Antioquia,Hombres,Tasa de Subocupación (TS),Anual,10.383316828
2014,Antioquia,Hombres,Tasa de Subocupación (TS),Anual,8.26586201
2015,Antioquia,Hombres,Tasa de Subocupación (TS),Anual,7.567509766
2016,Antioquia,Hombres,Tasa de Subocupación (TS),Anual,8.120528483
2017,Antioquia,Hombres,Tasa de Subocupación (TS),Anual,8.190260432
2018,Antioquia,Hombres,Tasa de Subocupación (TS),Anual,8.967760708
2019,Antioquia,Hombres,Tasa de Subocupación (TS),Anual,9.625862239
2020,Antioquia,Hombres,Tasa de Subocupación (TS),Anual,0.0
2021,Antioquia,Hombres,Tasa de Subocupación (TS),Anual,5.31506533
2022,Antioquia,Hombres,Tasa de Subocupación (TS),Anual,5.100189534
2023,Antioquia,Hombres,Tasa de Subocupación (TS),Anual,5.541501706
2024,Antioquia,Hombres,Tasa de Subocupación (TS),Anual,5.185446758
2025,Antioquia,Hombres,Tasa de Subocupación (TS),Anual,5.445556083
2007,Antioquia,Hombres,Población total,Anual,2695.995
2008,Antioquia,Hombres,Población total,Anual,2729.277
2009,Antioquia,Hombres,Población total,Anual,2762.952
2010,Antioquia,Hombres,Población total,Anual,2797.44
2011,Antioquia,Hombres,Población total,Anual,2831.902
2012,Antioquia,Hombres,Población total,Anual,2865.253
2013,Antioquia,Hombres,Población total,Anual,2897.534
2014,Antioquia,Hombres,Población total,Anual,2929.685
2015,Antioquia,Hombres,Población total,Anual,2962.731
2016,Antioquia,Hombres,Población total,Anual,2999.027
2017,Antioquia,Hombres,Población total,Anual,3040.098
2018,Antioquia,Hombres,Población total,Anual,3091.667
2019,Antioquia,Hombres,Población total,Anual,3162.235
2020,Antioquia,Hombres,Población total,Anual,3225.702
2021,Antioquia,Hombres,Población total,Anual,3278.867
2022,Antioquia,Hombres,Población total,Anual,3329.583
2023,Antioquia,Hombres,Población total,Anual,3382.4
2024,Antioquia,Hombres,Población total,Anual,3432.911
2025,Antioquia,Hombres,Población total,Anual,3481.823
2007,Antioquia,Hombres,Población en edad de trabajar (PET),Anual,1905.531
2008,Antioquia,Hombres,Población en edad de trabajar (PET),Anual,1947.215
2009,Antioquia,Hombres,Población en edad de trabajar (PET),Anual,1989.87
2010,Antioquia,Hombres,Población en edad de trabajar (PET),Anual,2033.624
2011,Antioquia,Hombres,Población en edad de trabajar (PET),Anual,2077.652
