Fecha,Departamentos,Concepto,Valor
2015,Antioquia,Total ocupados,2675.987948
2016,Antioquia,Total ocupados,2683.018441
2017,Antioquia,Total ocupados,2732.493821
2018,Antioquia,Total ocupados,2719.139223
2019,Antioquia,Total ocupados,2750.955359
2020,Antioquia,Total ocupados,2546.75862
2021,Antioquia,Total ocupados,2730.17
2022,Antioquia,Total ocupados,3102.387
2023,Antioquia,Total ocupados,3245.308
2024,Antioquia,Total ocupados,3283.966
2025,Antioquia,Total ocupados,3440.567
2015,Antioquia,No informa,0.08454900000000001
2016,Antioquia,No informa,0.316867
2017,Antioquia,No informa,1.8945809999999998
2018,Antioquia,No informa,0.0
2019,Antioquia,No informa,0.0
2020,Antioquia,No informa,2.1865390000000002
2021,Antioquia,No informa,7.589
2022,Antioquia,No informa,0.161
2023,Antioquia,No informa,0.266
2024,Antioquia,No informa,0.0
2025,Antioquia,No informa,0.113
2015,Antioquia,"Agricultura, ganadería, caza, silvicultura y pesca",355.70444
2016,Antioquia,"Agricultura, ganadería, caza, silvicultura y pesca",358.368545
2017,Antioquia,"Agricultura, ganadería, caza, silvicultura y pesca",385.25575699999996
2018,Antioquia,"Agricultura, ganadería, caza, silvicultura y pesca",366.793221
2019,Antioquia,"Agricultura, ganadería, caza, silvicultura y pesca",352.558978
2020,Antioquia,"Agricultura, ganadería, caza, silvicultura y pesca",338.871797
2021,Antioquia,"Agricultura, ganadería, caza, silvicultura y pesca",305.41
2022,Antioquia,"Agricultura, ganadería, caza, silvicultura y pesca",349.647
2023,Antioquia,"Agricultura, ganadería, caza, silvicultura y pesca",326.462
2024,Antioquia,"Agricultura, ganadería, caza, silvicultura y pesca",330.701
2025,Antioquia,"Agricultura, ganadería, caza, silvicultura y pesca",345.369
2015,Antioquia,Explotación de minas y canteras,40.951755
2016,Antioquia,Explotación de minas y canteras,36.851065999999996
2017,Antioquia,Explotación de minas y canteras,37.895505
2018,Antioquia,Explotación de minas y canteras,50.847091
2019,Antioquia,Explotación de minas y canteras,46.73703
2020,Antioquia,Explotación de minas y canteras,38.989236
2021,Antioquia,Explotación de minas y canteras,51.35
2022,Antioquia,Explotación de minas y canteras,65.102
2023,Antioquia,Explotación de minas y canteras,66.248
2024,Antioquia,Explotación de minas y canteras,71.595
2025,Antioquia,Explotación de minas y canteras,85.71
2015,Antioquia,Industrias manufactureras,417.002925
2016,Antioquia,Industrias manufactureras,408.698272
2017,Antioquia,Industrias manufactureras,395.010978
2018,Antioquia,Industrias manufactureras,383.376031
2019,Antioquia,Industrias manufactureras,381.33205200000003
2020,Antioquia,Industrias manufactureras,357.493912
2021,Antioquia,Industrias manufactureras,347.922
2022,Antioquia,Industrias manufactureras,446.395
2023,Antioquia,Industrias manufactureras,453.168
2024,Antioquia,Industrias manufactureras,459.806
2025,Antioquia,Industrias manufactureras,491.088
2015,Antioquia,"Suministro de electricidad, gas, agua y gestión de desechos",30.881711
2016,Antioquia,"Suministro de electricidad, gas, agua y gestión de desechos",26.38702
2017,Antioquia,"Suministro de electricidad, gas, agua y gestión de desechos",26.379956999999997
2018,Antioquia,"Suministro de electricidad, gas, agua y gestión de desechos",31.80801
2019,Antioquia,"Suministro de electricidad, gas, agua y gestión de desechos",29.024649
2020,Antioquia,"Suministro de electricidad, gas, agua y gestión de desechos",34.744934
2021,Antioquia,"Suministro de electricidad, gas, agua y gestión de desechos",41.786
2022,Antioquia,"Suministro de electricidad, gas, agua y gestión de desechos",45.248
2023,Antioquia,"Suministro de electricidad, gas, agua y gestión de desechos",46.946
2024,Antioquia,"Suministro de electricidad, gas, agua y gestión de desechos",53.02
2025,Antioquia,"Suministro de electricidad, gas, agua y gestión de desechos",51.593
2015,Antioquia,Construcción,198.961612
2016,Antioquia,Construcción,214.132155
2017,Antioquia,Construcción,198.388217
2018,Antioquia,Construcción,210.650275
2019,Antioquia,Construcción,215.951951
2020,Antioquia,Construcción,196.087075
2021,Antioquia,Construcción,243.651
2022,Antioquia,Construcción,259.267
2023,Antioquia,Construcción,251.148
2024,Antioquia,Construcción,249.747
2025,Antioquia,Construcción,245.257
2015,Antioquia,Comercio y reparación de vehículos,498.327854
2016,Antioquia,Comercio y reparación de vehículos,492.485629
