Fecha,Nacional,Cabeceras,Centros poblados y rural disperso,13 ciudades y A.M.,Otras cabeceras,Armenia,Barranquilla,Bogotá,Bucaramanga,Cali,Cartagena,Cúcuta,Florencia,Ibagué,Manizales,Medellín,Montería,Neiva,Pasto,Pereira,Popayán,Quibdó,Riohacha,Santa Marta,Sincelejo,Tunja,Valledupar,Villavicencio,Barranquilla A.M.,Bucaramanga A.M.,Cali A.M.,Cúcuta A.M.,Manizales A.M.,Medellín A.M.,Pereira A.M.
2012,2.8,1.7,6.2,1.1,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,2.5,1.6,5.2,1.2,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2.4,1.5,5.1,1.1,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2.4,1.5,5.2,1.2,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2.6,1.7,5.5,1.3,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2.2,1.6,4.4,1.3,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2.4,1.6,4.9,1.3,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2.7,1.8,5.8,1.5,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,5.3,5.3,5.6,5.9,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,3.1,2.7,4.5,2.6,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,3.1,2.4,5.1,2.1,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,2.9,2.3,4.8,1.9,2.8,1.7,1.3,1.8,2.2,1.8,3.5,1.7,4.8,6.8,1.1,2.0,1.5,3.8,1.4,1.5,2.7,6.6,4.9,2.3,1.6,1.5,4.3,2.1,1.3,2.1,1.8,1.7,1.0,1.9,1.6
2024,2.6,2.0,4.7,1.6,2.6,1.3,1.6,1.4,2.1,2.2,3.1,1.7,3.3,4.2,1.2,1.4,1.1,1.7,1.3,1.6,2.3,6.4,6.6,2.9,1.5,1.3,2.7,1.8,1.5,2.0,2.2,1.6,1.2,1.2,1.5
2025,2.1,1.5,4.5,1.1,1.9,1.0,1.1,0.9,1.7,1.8,1.9,1.2,3.5,1.9,0.7,0.9,1.1,1.2,1.5,1.1,2.2,7.8,5.6,1.2,1.4,1.1,1.8,1.5,1.2,1.3,1.8,1.1,0.7,0.8,1.1
