Fecha,TES,Bonos Fogafin,Bonos Ley 546/99 ,Títulos de reducción de deuda,Bonos agrarios,Bonos de paz,Bono de seguridad,Depositós pásivos del Tesoro,Otros
2001-06-30,81.41156077001301,0.0,6.339494379992844,1.753554817325113,3.473940187583395,2.1399537897682226,1.1580700180105281,,3.723426037306882
2001-07-31,81.42561639729986,0.0,6.234018982569621,1.836030669749873,3.434841158008481,2.199019335628043,1.1455085055975134,,3.724964951146606
2001-08-31,82.00696822058583,0.0,5.97651745857371,1.8695249694253118,3.3156653756061334,2.129748682632275,1.105852304628377,,3.595722988548368
2001-09-30,82.24680745705629,0.0,5.839897918699449,1.9352965291695137,3.259491124358812,2.0965861184608228,1.0871168720181825,,3.5348039802369335
2001-10-31,82.70402236044353,0.0,5.66676497556437,1.9701368599055673,3.152738450935042,2.035683411508753,1.0516194973616722,,3.41903444428107
2001-11-30,82.33968565864012,0.0,5.417449542400371,2.003422866440331,3.0538282565699046,2.8543492363843614,1.0194946373364138,,3.311769802228495
2001-12-31,75.70564172815274,9.08768719761267,4.9236011852918065,1.919323434346692,2.7936499905317813,2.7605274052533186,0.9327742297989409,,1.8767948290120475
2002-01-31,75.95362436068301,9.01006482697468,4.842044230881451,1.9876519452794834,2.763465284445199,2.7388649222524464,0.9226980681732154,,1.7815863613105078
2002-02-28,77.09617307445801,8.551663578209066,4.582140833288635,1.9755710903127985,2.6228696326228524,2.6047908299697466,0.8758456139045017,,1.6909453472343923
2002-03-31,76.9703760823374,8.558046149001719,4.6350346456200056,2.0777016914232087,2.6248272226235594,2.6110317939415504,0.8766097534250012,,1.6463726616275431
2002-04-30,77.35662358993369,8.479765656396324,4.5586174206409185,2.15764397284311,2.6008179143756727,2.5907959082838152,0.8687997527938234,,1.3869357847326564
2002-05-31,78.67093417624706,8.03396477874696,4.530019688929204,2.1377395362363276,2.4640869060181143,2.457556763666089,0.4072416103748531,,1.298456539781398
2002-06-30,79.11430098807215,7.911176270138065,4.470607675775647,2.1980306011294264,2.426426601970844,2.4232912384003393,0.39660872174642464,,1.0595579027671234
2002-07-31,79.27801087650185,7.895782361500155,4.445138976126782,2.2838492586715557,2.421705156239907,2.4202663487919587,0.21781834287277063,,1.0374286792950134
2002-08-31,78.99540707895069,7.895096370833067,4.434518327119933,2.3615089413835366,2.414383504856084,2.4151173524974734,0.09598733204635981,,1.3879810923128522
2002-09-30,79.17378530848782,7.608232288460074,4.4785757864487445,2.444851875517042,2.417743273088319,2.421539669823239,0.08173015434380906,,1.3735416438309385
2002-10-31,79.24921206581914,7.590211954123535,4.468971028548489,2.522515207647371,2.412016773098689,2.418261898107075,0.06853018643978977,,1.270280886215894
2002-11-30,79.2882916384288,7.542553357626317,4.486408051290114,2.595652700224267,2.396871829211953,2.4084671778542117,0.06049240247146589,,1.2212628428928816
2002-12-31,80.0630792274604,7.282301171816502,4.239546412350506,2.5989500479518415,2.314168916407543,2.3293337708166026,0.05179254751234228,,1.1208279056842605
2003-01-31,80.17634040891303,7.18715901642087,4.244598717483286,2.6547893680233603,2.283934652064193,2.302947523621604,0.046295229168178686,,1.1039350843054532
2003-02-28,80.05512495454916,7.2977804075724695,4.296850730327888,2.7874702516460865,2.0614114723128356,2.3406417494612466,0.0395584200972382,,1.121162014033075
2003-03-31,80.84934170990383,6.990041140546715,4.103330474532798,2.7734590979092615,1.9744840477948575,2.2447489595815293,0.03235781358689185,,1.0322367561441135
2003-04-30,81.02830517087021,6.889123729001067,4.05054234471039,2.833872777033269,1.945977803663361,2.216435977533405,0.029273769902730003,,1.0064684272855335
2003-05-31,81.19592575501781,6.8372541234885285,3.984841282275664,2.89357679696088,1.9168390335437353,2.1863216692114085,0.02627960698502942,,0.9589617325169386
2003-06-30,81.19322262536677,6.773935652753494,4.008298686773921,2.9812941989712733,1.9137402070625458,2.1846209786250257,0.024953318281516874,,0.9199343321654465
