Fecha,TES,Bonos externos,BID                            ,BIRF                          ,CAF,Créditos comerciales       ,Bonos Ley 546,Bonos Fogafin,Bonos Agrarios,Títulos de reducción de deuda,Bonos de Paz,Titulos de Tesorería,Otros - deuda interna,Otros - deuda externa
2001-06-30,,,,,,,,,,,,,,
2001-07-31,,,,,,,,,,,,,,
2001-08-31,,,,,,,,,,,,,,
2001-09-30,,,,,,,,,,,,,,
2001-10-31,,,,,,,,,,,,,,
2001-11-30,,,,,,,,,,,,,,
2001-12-31,38.95063347610414,30.138447708524644,8.472275568318087,3.3545490054264575,2.2555641707294427,,2.5331980652043873,4.675624763221093,1.437335902025123,0.9874939556259619,1.4202942965448457,1.4455262796465298,4.32905680862926,
2002-01-31,39.64684669363569,29.65608224061776,8.327482821679375,3.2701892858467896,2.2365239578224605,,2.5274869148345354,4.692405695669859,1.4424945359830486,1.0375296142275785,1.4296534526352715,1.4740609580384731,4.259243829009134,
2002-02-28,40.922121742074054,29.12721498802451,8.200622848553866,3.2091436902480015,2.2019643247115597,,2.431566577416944,4.538040207542682,1.3918564198801104,1.048359884449051,1.3822626919938685,1.3620974942773938,4.1847491308279885,
2002-03-31,41.43525772388772,28.513770958243917,8.159805810817799,3.1467095063215864,2.210203299040774,,2.4951658660855203,4.607030208836193,1.4130162536004705,1.1184836223924004,1.4055897971902913,1.3581902462963553,4.1367767072870105,
2002-04-30,41.62111222607099,28.47357334052295,8.19762643382935,3.132736079131135,2.2444207634553925,,2.45272761988681,4.562470046606083,1.3993492640996297,1.1609030716445947,1.393957003929502,1.2136804529811909,4.147443697842349,
2002-05-31,43.438580904928486,26.86816060900849,8.228580936330196,3.16917153742181,2.4087047515471225,,2.5012748204772537,4.435997013167714,1.3605588842258858,1.180364422652339,1.3569532308820007,0.9418104424201706,4.109842446938542,
2002-06-30,43.45904558337399,27.46235806699718,7.951654667420264,3.393010484566175,2.576648326309614,,2.455792951974737,4.345765125244202,1.3328839790376283,1.2074215520470393,1.3311616620022857,0.7999015551120228,3.6843560459148765,
2002-07-31,41.42792244744714,28.66789861484582,8.162317266352991,3.5156192408620757,2.856603253687419,,2.3228745365215535,4.126060375602893,1.26549862053901,1.193459938308681,1.2647467499671907,0.6559482977917332,4.541050658073482,
