Fecha,Bonos,BID                            ,BIRF                          ,CAF                ,Otros
2001-06-30,,,,,
2001-07-31,,,,,
2001-08-31,,,,,
2001-09-30,,,,,
2001-10-31,,,,,
2001-11-30,,,,,
2001-12-31,,,,,
2002-01-31,62.107600065164426,17.439929132986375,6.8486324880965554,4.683866681430627,8.919971632322007
2002-02-28,62.0735749794866,17.476507021954866,6.839068601596715,4.6926490455175465,8.918200351444257
2002-03-31,61.76187860951926,17.674440069782218,6.8158887448965935,4.7873817902801274,8.960410785521804
2002-04-30,61.63671404435508,17.745393256465295,6.781430471567693,4.858495248835966,8.97796697877599
2002-05-31,59.99438296292195,18.373741437665554,7.076498226213804,5.37843871829753,9.176938654901173
2002-06-30,60.935344932544936,17.643671339571736,7.528642068258798,5.717242275790804,8.175099383833746
2002-07-31,60.04567155646564,17.09618930566795,7.363557444181739,5.983231036306927,9.51135065737775
2002-08-31,60.06613688561613,17.17128430037964,7.182200567902644,6.024320248022264,9.556057998079329
2002-09-30,59.79178640758461,16.925386941077512,7.947319103855717,6.012976655322619,9.32253089215953
2002-10-31,60.21186200320183,17.171742023214634,8.972560914167344,6.074957926144873,7.568877133271316
2002-11-30,59.961332071461506,17.160723322803946,8.965663793067273,6.013670307495126,7.898610505172177
2002-12-31,61.862195872763216,16.15396778016299,9.008884295061762,5.899093650356224,7.075858401655817
2003-01-31,61.712647200832336,17.435306887445837,8.639493791102652,5.528364191923998,6.684187928695179
2003-02-28,61.22438500845687,17.52880579828611,9.014237121018706,5.55546689139194,6.677105180846351
2003-03-31,59.85567687693282,17.363415856781188,10.55250756281868,5.590149363407036,6.63825034006027
2003-04-30,58.06285184586538,20.321171674830776,10.003131187824854,5.332436891332385,6.280408400146599
2003-05-31,57.59520347497431,20.486916335055724,10.222307411940717,5.428889163872008,6.266683614157248
2003-06-30,57.54871038658539,19.77727081447743,11.291205283194214,5.488300038364621,5.89451347737835
2003-07-31,56.91388921903342,19.83757089162617,11.390706021194525,6.024872183705232,5.832961684440644
2003-08-31,57.35117815558019,19.572291206196557,11.25064095227203,6.006223827455825,5.819665858495406
2003-09-30,56.30653536162209,19.12642762079586,12.031245345098155,5.627225200108931,6.9085664723749804
2003-10-31,55.70336729934968,20.318955484899398,11.993733839913213,5.625446661655207,6.358496714182503
