Fecha,Perspectiva,Sexo,Concepto,Periodo,Valor
2022,Total nacional,Total,Población de 5 a 17 años que trabaja,IV,369.383
2023,Total nacional,Total,Población de 5 a 17 años que trabaja,IV,310.379
2024,Total nacional,Total,Población de 5 a 17 años que trabaja,IV,310.579
2025,Total nacional,Total,Población de 5 a 17 años que trabaja,IV,301.52
2022,Total nacional,Total,Sin remuneración o ganancia,IV,157.384
2023,Total nacional,Total,Sin remuneración o ganancia,IV,104.034
2024,Total nacional,Total,Sin remuneración o ganancia,IV,97.708
2025,Total nacional,Total,Sin remuneración o ganancia,IV,72.146
2022,Total nacional,Total,Hasta 1/4 SMMLV,IV,72.702
2023,Total nacional,Total,Hasta 1/4 SMMLV,IV,82.62
2024,Total nacional,Total,Hasta 1/4 SMMLV,IV,81.807
2025,Total nacional,Total,Hasta 1/4 SMMLV,IV,81.458
2022,Total nacional,Total,Entre 1/4 y 1/2 SMMLV,IV,68.642
2023,Total nacional,Total,Entre 1/4 y 1/2 SMMLV,IV,47.973
2024,Total nacional,Total,Entre 1/4 y 1/2 SMMLV,IV,70.857
2025,Total nacional,Total,Entre 1/4 y 1/2 SMMLV,IV,66.099
2022,Total nacional,Total,Más de 1/2 SMMLV,IV,69.906
2023,Total nacional,Total,Más de 1/2 SMMLV,IV,75.101
2024,Total nacional,Total,Más de 1/2 SMMLV,IV,57.274
2025,Total nacional,Total,Más de 1/2 SMMLV,IV,81.332
2022,Total nacional,Total,No informa,IV,0.748
2023,Total nacional,Total,No informa,IV,0.651
2024,Total nacional,Total,No informa,IV,2.934
2025,Total nacional,Total,No informa,IV,0.486
2022,Total cabeceras,Total,Población de 5 a 17 años que trabaja,IV,163.844
2023,Total cabeceras,Total,Población de 5 a 17 años que trabaja,IV,132.527
2024,Total cabeceras,Total,Población de 5 a 17 años que trabaja,IV,136.75
2025,Total cabeceras,Total,Población de 5 a 17 años que trabaja,IV,145.863
2022,Total cabeceras,Total,Sin remuneración o ganancia,IV,50.275
2023,Total cabeceras,Total,Sin remuneración o ganancia,IV,28.827
2024,Total cabeceras,Total,Sin remuneración o ganancia,IV,33.279
2025,Total cabeceras,Total,Sin remuneración o ganancia,IV,29.359
2022,Total cabeceras,Total,Hasta 1/4 SMMLV,IV,33.807
2023,Total cabeceras,Total,Hasta 1/4 SMMLV,IV,41.194
2024,Total cabeceras,Total,Hasta 1/4 SMMLV,IV,42.323
2025,Total cabeceras,Total,Hasta 1/4 SMMLV,IV,39.71
2022,Total cabeceras,Total,Entre 1/4 y 1/2 SMMLV,IV,39.429
2023,Total cabeceras,Total,Entre 1/4 y 1/2 SMMLV,IV,25.566
2024,Total cabeceras,Total,Entre 1/4 y 1/2 SMMLV,IV,32.684
2025,Total cabeceras,Total,Entre 1/4 y 1/2 SMMLV,IV,29.921
2022,Total cabeceras,Total,Más de 1/2 SMMLV,IV,39.585
2023,Total cabeceras,Total,Más de 1/2 SMMLV,IV,36.472
2024,Total cabeceras,Total,Más de 1/2 SMMLV,IV,26.241
2025,Total cabeceras,Total,Más de 1/2 SMMLV,IV,46.387
2022,Total cabeceras,Total,No informa,IV,0.748
2023,Total cabeceras,Total,No informa,IV,0.468
2024,Total cabeceras,Total,No informa,IV,2.223
2025,Total cabeceras,Total,No informa,IV,0.486
2022,Total centros poblados y rural disperso,Total,Población de 5 a 17 años que trabaja,IV,205.538
2023,Total centros poblados y rural disperso,Total,Población de 5 a 17 años que trabaja,IV,177.852
2024,Total centros poblados y rural disperso,Total,Población de 5 a 17 años que trabaja,IV,173.829
2025,Total centros poblados y rural disperso,Total,Población de 5 a 17 años que trabaja,IV,155.657
2022,Total centros poblados y rural disperso,Total,Sin remuneración o ganancia,IV,107.109
2023,Total centros poblados y rural disperso,Total,Sin remuneración o ganancia,IV,75.207
2024,Total centros poblados y rural disperso,Total,Sin remuneración o ganancia,IV,64.429
2025,Total centros poblados y rural disperso,Total,Sin remuneración o ganancia,IV,42.787
2022,Total centros poblados y rural disperso,Total,Hasta 1/4 SMMLV,IV,38.895
2023,Total centros poblados y rural disperso,Total,Hasta 1/4 SMMLV,IV,41.426
2024,Total centros poblados y rural disperso,Total,Hasta 1/4 SMMLV,IV,39.484
2025,Total centros poblados y rural disperso,Total,Hasta 1/4 SMMLV,IV,41.748
2022,Total centros poblados y rural disperso,Total,Entre 1/4 y 1/2 SMMLV,IV,29.213
2023,Total centros poblados y rural disperso,Total,Entre 1/4 y 1/2 SMMLV,IV,22.406
2024,Total centros poblados y rural disperso,Total,Entre 1/4 y 1/2 SMMLV,IV,38.173
2025,Total centros poblados y rural disperso,Total,Entre 1/4 y 1/2 SMMLV,IV,36.178
2022,Total centros poblados y rural disperso,Total,Más de 1/2 SMMLV,IV,30.321
2023,Total centros poblados y rural disperso,Total,Más de 1/2 SMMLV,IV,38.629
2024,Total centros poblados y rural disperso,Total,Más de 1/2 SMMLV,IV,31.033
2025,Total centros poblados y rural disperso,Total,Más de 1/2 SMMLV,IV,34.945
2022,Total centros poblados y rural disperso,Total,No informa,IV,0.0
2023,Total centros poblados y rural disperso,Total,No informa,IV,0.183
2024,Total centros poblados y rural disperso,Total,No informa,IV,0.71
2025,Total centros poblados y rural disperso,Total,No informa,IV,0.0
