Fecha,Perspectiva,Concepto,Valor
2022,Total centros poblados y rural disperso,% población de 5 a 17 años,25.070659397
2023,Total centros poblados y rural disperso,% población de 5 a 17 años,24.137037636
2024,Total centros poblados y rural disperso,% población de 5 a 17 años,24.519733011
2025,Total centros poblados y rural disperso,% población de 5 a 17 años,25.20275846
2022,Total centros poblados y rural disperso,Tasa de Trabajo Infantil (TTI),7.0757916689
2023,Total centros poblados y rural disperso,Tasa de Trabajo Infantil (TTI),6.3224065277
2024,Total centros poblados y rural disperso,Tasa de Trabajo Infantil (TTI),6.0456391213
2025,Total centros poblados y rural disperso,Tasa de Trabajo Infantil (TTI),5.2327055095
2022,Total centros poblados y rural disperso,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),16.064588184
2023,Total centros poblados y rural disperso,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),15.695058369
2024,Total centros poblados y rural disperso,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),15.437299613
2025,Total centros poblados y rural disperso,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),14.689082429
2022,Total centros poblados y rural disperso,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),17.984822315
2023,Total centros poblados y rural disperso,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),17.910298805
2024,Total centros poblados y rural disperso,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),16.952090979
2025,Total centros poblados y rural disperso,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),16.539426503
2022,Total centros poblados y rural disperso,Población total,11586.487
2023,Total centros poblados y rural disperso,Población total,11654.468
2024,Total centros poblados y rural disperso,Población total,11726.403
2025,Total centros poblados y rural disperso,Población total,11803.077
2022,Total centros poblados y rural disperso,Población de 5 a 17 años,2904.809
2023,Total centros poblados y rural disperso,Población de 5 a 17 años,2813.043
2024,Total centros poblados y rural disperso,Población de 5 a 17 años,2875.283
2025,Total centros poblados y rural disperso,Población de 5 a 17 años,2974.701
2022,Total centros poblados y rural disperso,Población de 5 a 17 años que trabaja,205.538
2023,Total centros poblados y rural disperso,Población de 5 a 17 años que trabaja,177.852
2024,Total centros poblados y rural disperso,Población de 5 a 17 años que trabaja,173.829
2025,Total centros poblados y rural disperso,Población de 5 a 17 años que trabaja,155.657
2022,Total centros poblados y rural disperso,Población de 5 a 17 años que no trabaja y realiza trabajo doméstico no remunerado en su hogar por 15 horas o más,261.107
2023,Total centros poblados y rural disperso,Población de 5 a 17 años que no trabaja y realiza trabajo doméstico no remunerado en su hogar por 15 horas o más,263.657
2024,Total centros poblados y rural disperso,Población de 5 a 17 años que no trabaja y realiza trabajo doméstico no remunerado en su hogar por 15 horas o más,270.037
2025,Total centros poblados y rural disperso,Población de 5 a 17 años que no trabaja y realiza trabajo doméstico no remunerado en su hogar por 15 horas o más,281.299
2022,Total centros poblados y rural disperso,Población de 5 a 17 años que no trabaja y realiza trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,316.886
2023,Total centros poblados y rural disperso,Población de 5 a 17 años que no trabaja y realiza trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,325.972
2024,Total centros poblados y rural disperso,Población de 5 a 17 años que no trabaja y realiza trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,313.591
2025,Total centros poblados y rural disperso,Población de 5 a 17 años que no trabaja y realiza trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,336.341
