Fecha,Perspectiva,Sexo,Concepto,Periodo,Valor
2022,Total nacional,Total,Población de 5 a 17 años que trabaja,IV,369.383
2023,Total nacional,Total,Población de 5 a 17 años que trabaja,IV,310.379
2024,Total nacional,Total,Población de 5 a 17 años que trabaja,IV,310.579
2025,Total nacional,Total,Población de 5 a 17 años que trabaja,IV,301.52
2022,Total nacional,Total,"Agricultura, ganadería, caza, silvicultura y pesca",IV,133.245
2023,Total nacional,Total,"Agricultura, ganadería, caza, silvicultura y pesca",IV,123.833
2024,Total nacional,Total,"Agricultura, ganadería, caza, silvicultura y pesca",IV,117.834
2025,Total nacional,Total,"Agricultura, ganadería, caza, silvicultura y pesca",IV,117.35
2022,Total nacional,Total,Industrias manufactureras,IV,49.226
2023,Total nacional,Total,Industrias manufactureras,IV,35.693
2024,Total nacional,Total,Industrias manufactureras,IV,45.403
2025,Total nacional,Total,Industrias manufactureras,IV,27.513
2022,Total nacional,Total,Construcción,IV,14.347
2023,Total nacional,Total,Construcción,IV,5.219
2024,Total nacional,Total,Construcción,IV,14.484
2025,Total nacional,Total,Construcción,IV,12.207
2022,Total nacional,Total,Comercio y reparación de vehículos,IV,78.455
2023,Total nacional,Total,Comercio y reparación de vehículos,IV,65.058
2024,Total nacional,Total,Comercio y reparación de vehículos,IV,56.128
2025,Total nacional,Total,Comercio y reparación de vehículos,IV,51.019
2022,Total nacional,Total,Alojamiento y servicios de comida,IV,44.682
2023,Total nacional,Total,Alojamiento y servicios de comida,IV,31.938
2024,Total nacional,Total,Alojamiento y servicios de comida,IV,34.338
2025,Total nacional,Total,Alojamiento y servicios de comida,IV,42.806
2022,Total nacional,Total,Transporte y almacenamiento,IV,13.147
2023,Total nacional,Total,Transporte y almacenamiento,IV,10.314
2024,Total nacional,Total,Transporte y almacenamiento,IV,10.9
2025,Total nacional,Total,Transporte y almacenamiento,IV,15.181
2022,Total nacional,Total,Otras ramas*,IV,36.28
2023,Total nacional,Total,Otras ramas*,IV,38.326
2024,Total nacional,Total,Otras ramas*,IV,31.491
2025,Total nacional,Total,Otras ramas*,IV,35.444
2022,Total nacional,Total,No informa,IV,0.0
2023,Total nacional,Total,No informa,IV,0.0
2024,Total nacional,Total,No informa,IV,0.0
2025,Total nacional,Total,No informa,IV,0.0
2022,Total cabeceras,Total,Población de 5 a 17 años que trabaja,IV,163.844
2023,Total cabeceras,Total,Población de 5 a 17 años que trabaja,IV,132.527
2024,Total cabeceras,Total,Población de 5 a 17 años que trabaja,IV,136.75
2025,Total cabeceras,Total,Población de 5 a 17 años que trabaja,IV,145.863
2022,Total cabeceras,Total,"Agricultura, ganadería, caza, silvicultura y pesca",IV,10.696
2023,Total cabeceras,Total,"Agricultura, ganadería, caza, silvicultura y pesca",IV,10.506
2024,Total cabeceras,Total,"Agricultura, ganadería, caza, silvicultura y pesca",IV,14.119
2025,Total cabeceras,Total,"Agricultura, ganadería, caza, silvicultura y pesca",IV,9.651
2022,Total cabeceras,Total,Industrias manufactureras,IV,20.096
2023,Total cabeceras,Total,Industrias manufactureras,IV,21.98
2024,Total cabeceras,Total,Industrias manufactureras,IV,21.479
2025,Total cabeceras,Total,Industrias manufactureras,IV,17.001
2022,Total cabeceras,Total,Construcción,IV,9.222
2023,Total cabeceras,Total,Construcción,IV,3.239
2024,Total cabeceras,Total,Construcción,IV,10.504
2025,Total cabeceras,Total,Construcción,IV,9.377
2022,Total cabeceras,Total,Comercio y reparación de vehículos,IV,54.661
2023,Total cabeceras,Total,Comercio y reparación de vehículos,IV,39.72
2024,Total cabeceras,Total,Comercio y reparación de vehículos,IV,39.345
2025,Total cabeceras,Total,Comercio y reparación de vehículos,IV,38.313
2022,Total cabeceras,Total,Alojamiento y servicios de comida,IV,36.701
2023,Total cabeceras,Total,Alojamiento y servicios de comida,IV,30.862
2024,Total cabeceras,Total,Alojamiento y servicios de comida,IV,26.434
2025,Total cabeceras,Total,Alojamiento y servicios de comida,IV,33.164
2022,Total cabeceras,Total,Transporte y almacenamiento,IV,9.238
2023,Total cabeceras,Total,Transporte y almacenamiento,IV,5.538
2024,Total cabeceras,Total,Transporte y almacenamiento,IV,6.719
2025,Total cabeceras,Total,Transporte y almacenamiento,IV,10.013
2022,Total cabeceras,Total,Otras ramas*,IV,23.23
2023,Total cabeceras,Total,Otras ramas*,IV,20.681
2024,Total cabeceras,Total,Otras ramas*,IV,18.15
2025,Total cabeceras,Total,Otras ramas*,IV,28.342
2022,Total cabeceras,Total,No informa,IV,0.0
2023,Total cabeceras,Total,No informa,IV,0.0
2024,Total cabeceras,Total,No informa,IV,0.0
2025,Total cabeceras,Total,No informa,IV,0.0
2022,Total centros poblados y rural disperso,Total,Población de 5 a 17 años que trabaja,IV,205.538
2023,Total centros poblados y rural disperso,Total,Población de 5 a 17 años que trabaja,IV,177.852
2024,Total centros poblados y rural disperso,Total,Población de 5 a 17 años que trabaja,IV,173.829
2025,Total centros poblados y rural disperso,Total,Población de 5 a 17 años que trabaja,IV,155.657
2022,Total centros poblados y rural disperso,Total,"Agricultura, ganadería, caza, silvicultura y pesca",IV,122.548
2023,Total centros poblados y rural disperso,Total,"Agricultura, ganadería, caza, silvicultura y pesca",IV,113.326
2024,Total centros poblados y rural disperso,Total,"Agricultura, ganadería, caza, silvicultura y pesca",IV,103.715
2025,Total centros poblados y rural disperso,Total,"Agricultura, ganadería, caza, silvicultura y pesca",IV,107.699
2022,Total centros poblados y rural disperso,Total,Industrias manufactureras,IV,29.131
2023,Total centros poblados y rural disperso,Total,Industrias manufactureras,IV,13.712
2024,Total centros poblados y rural disperso,Total,Industrias manufactureras,IV,23.924
2025,Total centros poblados y rural disperso,Total,Industrias manufactureras,IV,10.512
2022,Total centros poblados y rural disperso,Total,Construcción,IV,5.125
2023,Total centros poblados y rural disperso,Total,Construcción,IV,1.98
2024,Total centros poblados y rural disperso,Total,Construcción,IV,3.98
2025,Total centros poblados y rural disperso,Total,Construcción,IV,2.829
2022,Total centros poblados y rural disperso,Total,Comercio y reparación de vehículos,IV,23.794
2023,Total centros poblados y rural disperso,Total,Comercio y reparación de vehículos,IV,25.338
2024,Total centros poblados y rural disperso,Total,Comercio y reparación de vehículos,IV,16.783
2025,Total centros poblados y rural disperso,Total,Comercio y reparación de vehículos,IV,12.705
2022,Total centros poblados y rural disperso,Total,Alojamiento y servicios de comida,IV,7.981
2023,Total centros poblados y rural disperso,Total,Alojamiento y servicios de comida,IV,1.075
2024,Total centros poblados y rural disperso,Total,Alojamiento y servicios de comida,IV,7.904
2025,Total centros poblados y rural disperso,Total,Alojamiento y servicios de comida,IV,9.642
2022,Total centros poblados y rural disperso,Total,Transporte y almacenamiento,IV,3.908
2023,Total centros poblados y rural disperso,Total,Transporte y almacenamiento,IV,4.776
2024,Total centros poblados y rural disperso,Total,Transporte y almacenamiento,IV,4.181
2025,Total centros poblados y rural disperso,Total,Transporte y almacenamiento,IV,5.168
2022,Total centros poblados y rural disperso,Total,Otras ramas*,IV,13.051
2023,Total centros poblados y rural disperso,Total,Otras ramas*,IV,17.645
2024,Total centros poblados y rural disperso,Total,Otras ramas*,IV,13.341
2025,Total centros poblados y rural disperso,Total,Otras ramas*,IV,7.102
2022,Total centros poblados y rural disperso,Total,No informa,IV,0.0
2023,Total centros poblados y rural disperso,Total,No informa,IV,0.0
2024,Total centros poblados y rural disperso,Total,No informa,IV,0.0
2025,Total centros poblados y rural disperso,Total,No informa,IV,0.0
