Fecha,Perspectiva,Sexo,Concepto,Periodo,Valor
2024,Total cabeceras,Total,Tasa de Trabajo Infantil (TTI),IV,0.51919671031
2025,Total cabeceras,Total,Tasa de Trabajo Infantil (TTI),IV,0.31725239769
2022,Total cabeceras,Total,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),IV,4.701919104
2023,Total cabeceras,Total,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),IV,3.5337565015
2024,Total cabeceras,Total,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),IV,3.5717917546
2025,Total cabeceras,Total,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),IV,3.3338625665
2022,Total cabeceras,Total,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),IV,5.9463208824
2023,Total cabeceras,Total,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),IV,4.6943138538
2024,Total cabeceras,Total,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),IV,4.5885791271
2025,Total cabeceras,Total,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),IV,4.1741862697
2022,Total cabeceras,Total,Tasa de Trabajo Infantil (TTI),IV,6.9506307365
2023,Total cabeceras,Total,Tasa de Trabajo Infantil (TTI),IV,6.1370196318
2024,Total cabeceras,Total,Tasa de Trabajo Infantil (TTI),IV,5.5848959406
2025,Total cabeceras,Total,Tasa de Trabajo Infantil (TTI),IV,7.0156684616
2022,Total cabeceras,Total,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),IV,23.720555161
2023,Total cabeceras,Total,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),IV,22.563989331
2024,Total cabeceras,Total,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),IV,18.543048178
2025,Total cabeceras,Total,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),IV,21.308655292
2022,Total cabeceras,Total,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),IV,26.156347259
2023,Total cabeceras,Total,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),IV,24.836497377
2024,Total cabeceras,Total,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),IV,20.947277924
2025,Total cabeceras,Total,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),IV,23.984996453
2022,Total cabeceras,Total,Población de 5 a 14 años,IV,6007.036
2023,Total cabeceras,Total,Población de 5 a 14 años,IV,6019.292
2024,Total cabeceras,Total,Población de 5 a 14 años,IV,6071.091
2025,Total cabeceras,Total,Población de 5 a 14 años,IV,6136.734
2022,Total cabeceras,Total,Población de 5 a 14 años que trabaja,IV,37.47
2023,Total cabeceras,Total,Población de 5 a 14 años que trabaja,IV,20.233
2024,Total cabeceras,Total,Población de 5 a 14 años que trabaja,IV,31.521
2025,Total cabeceras,Total,Población de 5 a 14 años que trabaja,IV,19.469
2022,Total cabeceras,Total,Población de 5 a 14 años que no trabaja y realiza trabajo doméstico no remunerado en su hogar por 15 horas o más,IV,244.976
2023,Total cabeceras,Total,Población de 5 a 14 años que no trabaja y realiza trabajo doméstico no remunerado en su hogar por 15 horas o más,IV,192.474
2024,Total cabeceras,Total,Población de 5 a 14 años que no trabaja y realiza trabajo doméstico no remunerado en su hogar por 15 horas o más,IV,185.326
2025,Total cabeceras,Total,Población de 5 a 14 años que no trabaja y realiza trabajo doméstico no remunerado en su hogar por 15 horas o más,IV,185.121
2022,Total cabeceras,Total,Población de 5 a 14 años que no trabaja y realiza trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,IV,319.727
2023,Total cabeceras,Total,Población de 5 a 14 años que no trabaja y realiza trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,IV,262.331
2024,Total cabeceras,Total,Población de 5 a 14 años que no trabaja y realiza trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,IV,247.056
2025,Total cabeceras,Total,Población de 5 a 14 años que no trabaja y realiza trabajo doméstico y de cuidado no remunerado en su hogar por 15 horas o más,IV,236.69
2022,Total cabeceras,Total,Población de 15 a 17 años,IV,1818.165
2023,Total cabeceras,Total,Población de 15 a 17 años,IV,1829.784
2024,Total cabeceras,Total,Población de 15 a 17 años,IV,1884.165
2025,Total cabeceras,Total,Población de 15 a 17 años,IV,1801.597
2022,Total cabeceras,Total,Población de 15 a 17 años que trabaja,IV,126.374
2023,Total cabeceras,Total,Población de 15 a 17 años que trabaja,IV,112.294
2024,Total cabeceras,Total,Población de 15 a 17 años que trabaja,IV,105.229
2025,Total cabeceras,Total,Población de 15 a 17 años que trabaja,IV,126.394
