Concepto,Grupo,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1. INGRESOS TOTALES  (SIN CAUSADOS),,9.9816233510442,9.958071191013126,10.198480977965625,10.706743709656505,10.224410657459511,10.690723304265099,11.297133273915744,12.548441527334015,12.729424065504066,12.798554597100106,13.165106627434561,13.53818952475291,14.750130842619742,15.091314839030193,15.746773795086469,15.379336353462177,13.774256109050489,15.22245100593266,16.063747417506487,16.768735157472403,16.503219607897705,16.07087786012468,14.861051242513248,15.650950810361852,15.113746389872196,16.212284997211864,15.280183967450023,16.1037168619241,16.196470493079,18.703295654391315,16.42780577585307,16.330853340341438
INGRESOS CORRIENTES DE LA NACION,1. INGRESOS TOTALES  (SIN CAUSADOS),8.893683000289295,8.778029944556001,9.041354429200853,9.649326604965863,9.25578356453355,9.280629097992096,10.02505801558199,11.493097205414921,11.533850411094656,11.776737078616813,12.210033439865136,12.580816424513023,13.504001551285375,13.593515611274567,13.63913507680557,13.090590814139896,12.389854735708733,13.630767152829709,14.453559227434965,14.250702906380392,14.282039042672265,14.550143752921379,13.658717114439636,14.384866045379201,13.769476476797138,14.140129088863752,13.262373911664248,13.724196633972621,14.499743931497392,16.68519305799981,14.4127077933479,14.708970116716408
INGRESOS TRIBUTARIOS,1. INGRESOS TOTALES  (SIN CAUSADOS) > INGRESOS CORRIENTES DE LA NACION,8.725015523849097,8.490466993990726,8.680133617034599,9.29976830748442,9.062035832779785,9.075249286357497,9.784591109884916,11.321978472966677,11.404665221711577,11.700002900689482,12.143374781332849,12.512922935182491,13.43755272835008,13.50413680869416,13.502896432020927,12.998278577444813,12.274632183253305,13.538733320074222,14.27430679647775,14.112999163893209,14.201344469555893,14.465553461687094,13.583123624577958,13.79270915830157,13.685807298756803,14.000802323614622,13.096318634223659,13.602505764197437,14.411093615786088,16.60963333100404,14.302678694670897,14.667199811905668
DIAN,1. INGRESOS TOTALES  (SIN CAUSADOS) > INGRESOS CORRIENTES DE LA NACION,8.69559120117351,8.471899186051573,8.658406583334074,9.233989579238482,9.049008203976658,9.059435193608612,9.745098088195382,11.280417896589094,11.367688828042505,11.68252461173569,12.127942257425843,12.498572612168687,13.420700700658546,13.483997661655845,13.484339860946088,12.974210051524809,12.25136224690217,13.515507947701627,14.248073763666394,14.084926427010203,14.167169572254926,14.426001602110636,13.541693828688024,13.748875876350697,13.639121358626957,13.95044216767604,13.071726932486202,13.566969102384254,14.357483092773968,16.548115963912725,14.237649693390514,14.5985282384599
Renta,1. INGRESOS TOTALES  (SIN CAUSADOS) > INGRESOS CORRIENTES DE LA NACION > DIAN,3.6463152112109585,3.5203108509925944,3.2905882949722716,3.5938957913209952,3.7342356570106356,3.471458953103659,3.5382761890014067,4.383378752943937,4.25890322158742,4.374343679314043,5.01850035985185,5.133365050790638,5.519347186278713,5.603283058305601,5.1302414912130585,5.605666226442633,4.819110304831548,5.404168751592541,6.551780851513936,6.274185094595099,4.931409808993331,4.813109502153549,4.655803395311879,5.732830833036455,6.470114105207789,6.357817076674512,6.174499557687381,6.117469810318029,6.484286302494975,8.804179766082669,6.797890394440313,6.839297746163865
Cuotas,1. INGRESOS TOTALES  (SIN CAUSADOS) > INGRESOS CORRIENTES DE LA NACION > DIAN > Renta,0.0,0.0,0.0,1.2625385202005286,0.0,0.9293531004843641,0.6517832159885438,1.9688754730186657,1.484652667784567,1.468564621895297,2.073136498818004,2.3887221237008776,2.4517669493723884,2.64839242616136,1.9921327198630174,2.3338512613840594,1.5699208991096933,1.9656583842468625,3.1792708853770466,2.906034961568081,1.5419265604732189,1.2602992809333269,1.199211506218351,1.5474047033911986,1.7190563699328119,1.6879232444111147,1.5416101000747962,1.3853947918960927,1.5432845534664583,3.1174395219870368,1.6437305327814016,1.7481583601728499
Retención,1. INGRESOS TOTALES  (SIN CAUSADOS) > INGRESOS CORRIENTES DE LA NACION > DIAN > Renta,0.0,0.0,0.0,2.331357271120467,0.0,2.542105852619294,2.886492973012863,2.414503279925271,2.7742505538028523,2.9057790574187456,2.945363861033846,2.7446429270897603,3.0675802369063243,2.95489063214424,3.138108771350042,3.2718149650585735,3.249189405721854,3.4385103673456783,3.3725099661368887,3.368150133027014,3.3894832485201123,3.5528102212202226,3.4565918890935285,4.185426129645256,4.751057735274976,4.669893832263396,4.632889457612585,4.732075018421936,4.941001749028517,5.686740244095632,5.154159861658912,5.091139385991015
IVA interno,1. INGRESOS TOTALES  (SIN CAUSADOS) > INGRESOS CORRIENTES DE LA NACION > DIAN,2.187789126726575,2.136957605332565,2.701813227966499,2.708739737241551,2.468220066539388,2.674150480707234,2.9439505725368336,3.1641439385772268,3.1004429557044424,3.314613015014788,3.329983740548185,3.3766637561853887,3.4821241615716847,3.476535378111391,3.703776078172499,3.5107610723114044,3.601124160948161,3.7521636382614423,3.644978522356103,3.2844889311104173,3.460064879811457,3.4413273141511667,3.28840431441709,3.8240727391768656,3.8988192392699177,3.939026746122805,3.6033574460329363,3.6594284648859587,3.606382086709776,3.8647126602397526,3.7786436435118564,3.8409314689139276
IVA externo,1. INGRESOS TOTALES  (SIN CAUSADOS) > INGRESOS CORRIENTES DE LA NACION > DIAN,1.4012427612505272,1.4185180806275237,1.3433911168480377,1.4194766636211893,1.4477562996106972,1.093017359415596,1.2629029523026476,1.4057257237535232,1.3746115948186088,1.56016960683471,1.6137660098581732,1.78017458223892,2.168487595055609,1.9791223844870314,1.9753482505005109,1.655070621567675,1.6945567513794317,1.9169425939874651,1.8076372791283508,1.5668150887382044,1.619200656436672,1.735771005727289,1.5599122542050707,1.6752693417704614,1.7581577932407457,1.898979707856849,1.776411059078418,2.172644223428908,2.587649105075142,2.0982520356150167,1.8597162743054643,2.4209959166439186
Gravámen arancelario,1. INGRESOS TOTALES  (SIN CAUSADOS) > INGRESOS CORRIENTES DE LA NACION > DIAN,0.9341618408336847,0.9129347195984232,0.7788696894384926,0.8776862782836882,1.0065137578006982,0.7753244858664841,0.8687374998090478,0.981486091326311,0.8772267733705263,0.805140629435807,0.7381914368179346,0.8351690100175182,0.9152843063762442,0.9941019280080087,0.9006068843180001,0.7976574309858909,0.8550525455933036,0.6592187228369387,0.5263979223023912,0.5457529528017946,0.522572847096149,0.5705202410411664,0.4761834111511183,0.41510529898617354,0.36021641277368666,0.361580001340676,0.2938260988110971,0.35338502866847354,0.4254391195726934,0.3449766418958657,0.30575863351942034,0.34183744201066585
