Concepto,Grupo,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1. INGRESOS TOTALES  (SIN CAUSADOS),,7700.529,9599.920189999999,11950.972801200003,15137.52533,16726.978304,18926.670650347056,22680.385020597354,27489.039132546666,30233.09306098337,34318.568590326664,39826.3763926999,45753.39455406438,56287.08930067058,64667.18956413474,75041.88039143634,77138.75252151433,74940.21778690013,94230.47289045448,107066.001,119744.36394804945,125903.55748523984,129321.06847019437,128367.08564360581,144062.4634336458,149292.2266019823,171861.24532424373,152568.20566163777,192058.40255903936,238262.87612908214,296365.3158380959,281460.2248066148,302765.08381477674
INGRESOS CORRIENTES DE LA NACION,1. INGRESOS TOTALES  (SIN CAUSADOS),6861.215,8462.32019,10595.007345,13642.51633,15142.319303999999,16430.264385913644,20126.53742628769,25177.166275638334,27393.538862064608,31578.62523744119,36937.1400707205,42517.87557195566,51531.810079767,58249.03000524821,64997.84377391999,65658.999970114,67408.24367509696,84377.58375246101,96333.984,101763.27190525897,108958.10431771798,117083.84276825801,117981.539865449,132408.52033656236,136013.64938491906,149894.98362973606,132420.95741953302,163679.43528361258,213302.68799798336,264387.22895837406,246935.22865667654,272696.25642989087
INGRESOS TRIBUTARIOS,1. INGRESOS TOTALES  (SIN CAUSADOS) > INGRESOS CORRIENTES DE LA NACION,6731.093,8185.0997,10171.714885,13148.3,14825.351,16066.663538486644,19643.77052660758,24802.307810359183,27086.716822621085,31372.867069326006,36735.487862374,42288.42409328399,51278.238713492996,57866.036473463006,64348.59306265299,65195.985792033,66781.36385620796,83807.87315992301,95139.254,100779.93911941997,108342.48299857599,116403.15146191901,117328.576906852,126957.88791651,135187.17277446264,148418.02517589493,130762.94363031919,162228.108595778,211998.57182031663,263189.93823648547,245050.08250438765,271921.85783764144
DIAN,1. INGRESOS TOTALES  (SIN CAUSADOS) > INGRESOS CORRIENTES DE LA NACION,6708.393,8167.1997,10146.2543101,13055.3,14804.038,16038.66654365536,19564.483426435578,24711.263810359185,26998.895822621085,31326.000069326008,36688.802216507,42239.92602863299,51213.930701740996,57779.73902005501,64260.16098093299,65075.26432383501,66654.76144049597,83664.102763101,94964.409,100579.47367043,108081.76168181999,116084.88081205601,116970.713787318,126554.415267804,134726.01325959465,147884.17327803993,130517.4026200642,161804.286284529,211209.91867461364,262215.15741365944,243935.93022081064,270648.72444670956
Renta,1. INGRESOS TOTALES  (SIN CAUSADOS) > INGRESOS CORRIENTES DE LA NACION > DIAN,2813.025,3393.6997,3856.0381,5081.161,6109.152,6145.810569746861,7103.524790758551,9602.3773,10115.133,11729.544337,15181.698858546,17348.617858351,21062.049636727,24010.404101823002,24448.37103603547,28116.56431861735,26218.85152446653,33453.047531170676,43668.078,44803.51656754699,37621.87337510439,38730.7071150694,40215.99168409286,52769.04529715898,63911.20482097299,67397.1843283619,61650.58747863671,72959.02489758813,95388.97408154767,139507.68705609598,116469.343790409,126796.837384875
Cuotas,1. INGRESOS TOTALES  (SIN CAUSADOS) > INGRESOS CORRIENTES DE LA NACION > DIAN > Renta,0.0,0.0,0.0,1785.016,0.0,1645.310569746861,1308.535,4313.085,3526.133,3937.8693369999996,6271.5416480799995,8072.877514817001,9356.040749483,11348.520449647,9493.588161816,11705.991125774475,8541.311643696201,12167.877499916449,21190.063,20751.792238110364,11763.403987647001,10141.527489727998,10358.573132643,14243.411547351998,16980.684107123,17893.134178564,15392.529782317803,16522.689322382,22702.934972877676,49397.76206355,28162.298215028997,32409.899311983507
Retención,1. INGRESOS TOTALES  (SIN CAUSADOS) > INGRESOS CORRIENTES DE LA NACION > DIAN > Renta,0.0,0.0,0.0,3296.145,0.0,4500.5,5794.989790758551,5289.2923,6589.0,7791.675,8910.157210466,9275.740343534,11706.008887244,12661.883652176,14954.782874219472,16410.573192842876,17677.539880770328,21285.170031254227,22478.015,24051.7243294366,25858.469387457393,28589.179625341407,29857.418551449868,38525.63374980698,46930.52071384999,49504.05014979789,46258.05769631891,56436.33557520612,72686.03910867,90109.92499254599,88307.04557538,94386.9380728915
IVA interno,1. INGRESOS TOTALES  (SIN CAUSADOS) > INGRESOS CORRIENTES DE LA NACION > DIAN,1687.815,2060.1,3166.0888,3829.7,4037.97,4734.269513609144,5910.342991253392,6931.480404087993,7363.725171518273,8887.939121809002,10073.688697384001,11411.705297129,13287.925085524,14897.16268733,17650.493051574165,17609.06474083519,19592.276110054572,23226.755918475115,24294.037,23454.30554283432,26396.938770028002,27692.08559078928,28404.64455515823,35199.48058302868,38512.18555177667,41756.36204708906,35978.47912497949,43643.58807790789,53052.72952937802,61238.76825454146,64740.1061272716,71208.76747082619
IVA externo,1. INGRESOS TOTALES  (SIN CAUSADOS) > INGRESOS CORRIENTES DE LA NACION > DIAN,1081.0176000000001,1367.4998,1574.2374510000002,2006.9,2368.507,1935.0589280070303,2535.433061412848,3079.4301703295105,3264.7793061965294,4183.502696221,4881.878615735999,6016.242414643,8275.035402235999,8480.658164870001,9413.601101690201,8301.403919421844,9219.405461554941,11866.31555357902,12048.029,11188.516871623311,12352.930383975065,13967.610421407024,13474.241267617646,15420.368462887978,17366.924447430676,20130.476209483924,17736.94926569085,25911.693707649047,38066.362572728794,33248.10443751763,37101.428071749,44883.939396311
Gravamen arancelario,1. INGRESOS TOTALES  (SIN CAUSADOS) > INGRESOS CORRIENTES DE LA NACION > DIAN,720.6784,880.1002,912.7095,1240.9,1646.641,1372.6209886369652,1744.097418324152,2150.076526535109,2083.4625776014705,2158.93706641,2233.1372502,2822.520482875,3492.7615245039997,4259.786407629998,4291.8781314928,4000.84228289317,4651.99887955493,4080.7155146669006,3508.479,3897.18363325092,3986.723927681934,4590.930738038978,4113.1865925093525,3820.9238966310204,3558.1853059013233,3832.993888612074,2933.768387060147,4214.590002809951,6258.545544878424,5466.3687791423745,0.0,6337.479103172465
