año,producción (%),servicios laborales mujeres (pp),servicios laborales hombres (pp),servicios laborales total (pp)
2005,5.266710463048241,0.8454270964362388,0.9830103012821177,1.8284373977183566
2006,6.538878085128862,-0.16230339717827155,-0.08279232037256051,-0.24509571755083207
2007,6.108052561914324,1.2521591607121858,1.8668947928646058,3.119053953576792
2008,3.536170098948586,0.4526352756016556,0.6477417630322236,1.1003770386338791
2009,0.2090175902593837,0.33446430272378286,-0.13935858128010944,0.1951057214436734
2010,3.896883927467329,0.7807699257807178,1.2641354630026598,2.0449053887833775
2011,6.400132043518472,0.6544385254816568,0.9527702800654148,1.6072088055470717
2012,3.294319422660301,0.164179669856078,0.4892354917890541,0.6534151616451321
2013,4.763238623685755,0.4864043800917798,0.52557609398877,1.0119804740805498
2014,3.738562582352405,0.6677408863059093,0.9126439504855172,1.5803848367914264
2015,3.178792758244401,0.31459759254921216,-0.06503050199430421,0.24956709055490794
2016,1.467999858889725,0.385197200915197,0.5274164837443726,0.9126136846595696
2017,0.4200472577350662,0.02316433879467999,-0.19683212247972198,-0.173667783685042
2018,2.24346944203088,0.15249203030785563,0.3947557324133221,0.5472477627211778
2019,2.49828693451361,0.30724751894491054,0.451933978901007,0.7591814978459175
2020,-8.554652568163663,-1.2996359016305323,-2.068667526328966,-3.3683034279594986
2021,10.57476198098776,1.638333578385448,2.1639782897625923,3.80231186814804
2022,8.048415621681285,1.0590541173845638,1.1398517694993766,2.1989058868839404
2023,0.6911439906250468,0.3297619168027042,0.40117792735423047,0.7309398441569347
2024,0.8444873596331464,-0.07331951835445556,-0.040941987680355445,-0.114261506034811
