Fecha,Concepto,Rama,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2006,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",1.8533902602994203,1.8935737539236754,4.5607217746138815,-3.2077525384717234,4.066767129393625,-2.5681471767501165,5.468840049119336,2.3720492694483113,3.144467383927889,4.930925828235331,4.943431971425412,-0.8331157065741053
2007,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",-1.525655646527042,3.3160690345616928,1.5578575388680775,3.788371314031025,0.054746366356937415,3.70755832786962,0.43641278008210804,2.4088029723778277,5.295059469561309,1.3885904919984,5.537717249952493,5.850199723102861
2008,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",12.472351189187506,4.548135263968845,2.32335763249489,7.1406040847132175,4.940377733715451,3.0193038404482593,5.484377220142591,6.668820377374971,1.353110611282787,5.2632506426648575,-4.76579358627265,0.8678495411510596
2009,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",-3.4569539722682947,3.6520524693772956,9.497460326564195,4.58946300508569,5.976345391016906,3.9820793315479506,8.817927461611447,1.980764113745991,6.546142808509899,4.689691334482021,13.715691027347532,14.211005617127853
2010,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",8.586903626900266,4.647755262456357,9.383663364912124,6.709271132234562,10.884517810130362,10.05644950247759,1.7369585161328018,6.149182016200669,3.5613747012859704,6.359781693944527,1.7166445711433482,2.247672088151205
2011,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",10.245274204561355,8.738306515088183,7.747613626357634,7.236219297237341,7.128166682052296,10.497071687565395,9.537179826770355,13.157673588385776,7.353092561977562,9.568570372018442,12.874963543902211,5.767763085964205
2012,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",9.763699384785099,7.55658318179384,7.733484780439653,6.950019078984184,5.468652614528423,4.117010693302902,3.67872633191611,-3.658687375760863,5.6385870561229865,1.9183786622474912,2.971134014029303,2.044907501774972
2013,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",7.1141907712284365,0.8434501657309994,-0.7044850590627334,7.50341706654558,7.475738836702277,6.446784415768207,8.848151223172593,8.176627049114458,4.013923552607409,6.229302858175686,5.60843692593609,10.242325697355923
2014,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",1.4890111263184025,8.952191523337575,6.211745373024073,-4.408309345321939,-3.1500091321723005,-0.4897070448019747,-3.16460813242891,-0.20569718044120577,1.0694769929822598,1.3328295221168673,-3.3989591099145002,-1.0594667580039925
2015,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",0.015316831013919341,-2.78567045394783,0.6842727029026321,4.985464314145489,2.9905236817231184,0.6676705315772296,1.5393355310368406,1.6220800074543433,1.5737649587675975,0.009736036344108356,0.9935125968460312,0.39292185377779276
2016,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",-4.236456880363519,4.620246297476967,-3.734459793916159,-2.2983335485703265,-3.9428271952106684,-1.1971271418332918,-6.564624895387496,7.034394351565922,3.5070964255194355,0.3592726967270039,4.243616361976095,1.8239688510060859
2017,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",2.153590113367315,-0.6628872512386579,4.54332106941213,-4.159381600091791,3.1322728294031634,5.007912911564063,6.0740067906680935,-0.2522626260137599,-0.9167385659292933,1.2433501062784131,-2.879473785506832,-2.390596549948654
2018,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",-1.1592284621108178,-2.0041933046625076,-1.4113851480320392,5.158560625281567,0.7770908202097644,-2.790097605525915,1.4966853993211942,-0.8242454300126951,-0.31989318324944804,-1.4498451294129353,2.313201576688101,2.313004483867104
2019,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",3.516984802892864,2.570525466716873,2.9323781617349454,-0.11616763286875198,3.2942458202826543,-0.5954781116114418,1.538737062589263,2.2275098297334495,1.4258379904722887,5.6360990337523305,2.9836038466492028,2.4517975992569774
2020,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",1.4260682713578774,6.109320270271581,-3.1856681106458495,-11.395807796872887,-11.55031882622606,-7.947389873599562,-7.444577613757929,-8.837671268248897,-6.053436382793322,-9.062383254366495,-9.408295784474092,-3.2895128509125726
2021,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",-9.074633761736479,-8.963475595813236,7.520777567750287,13.332118425260873,-0.7680539713659726,6.841476473230983,3.476578039342911,1.6361218764528331,5.980862711693931,4.227879282555563,9.083697453442312,2.595511712425008
2022,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",1.9639579567229788,1.9849473109618572,-3.846864081996671,-1.4941153875918474,9.889933711085135,-0.3452787334353218,1.7698662889954022,5.654870486935522,-2.2968969155408274,-2.1049425509505113,-4.386755173150391,-4.260833732560457
2023,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",2.9245823099444124,0.12024975845521624,2.6585048891067515,-2.8022082334391456,2.3804725144381393,2.505156644547313,1.6993440189714875,0.5708515250611725,2.95437636068408,3.610029143669877,6.43376349105165,1.555344424808311
2024,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",6.079509606153863,6.223806550664563,-8.206141428802013,9.312352698680598,2.300261746152586,-1.32649292195876,7.088666830895846,2.6738914490757253,0.4916121350831588,4.714722080819001,-2.132090214020863,2.720542604094561
2025,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",-1.2835748038814216,-1.8394415461312263,9.696104993988214,-3.2822862054591013,-2.50233955495149,2.550866268078096,-0.3010002962108018,-0.9559817547896756,3.9379397140531864,0.7830274909732111,-2.390704530990007,-3.574356016995722
