Fecha,Sexo,13 ciudades y A.M.,Armenia,Barranquilla,Barranquilla A.M.,Bogotá,Bucaramanga,Bucaramanga A.M.,Cabeceras,Cali,Cali A.M.,Cartagena,Centros poblados y rural disperso,Cúcuta,Cúcuta A.M.,Florencia,Ibagué,Manizales,Manizales A.M.,Medellín,Medellín A.M.,Montería,Nacional,Neiva,Otras cabeceras,Pasto,Pereira,Pereira A.M.,Popayán,Quibdó,Riohacha,Santa Marta,Sincelejo,Tunja,Valledupar,Villavicencio
2024,Hombre,5.6,6.0,8.6,8.0,4.1,6.9,6.9,8.2,7.5,7.6,12.0,20.7,8.0,8.1,11.9,8.6,2.8,2.8,3.7,3.2,7.0,11.2,7.8,11.7,7.0,4.9,4.6,12.3,28.3,24.7,12.4,11.3,5.7,12.7,7.5
2024,Mujer,6.2,6.2,9.8,9.1,4.3,8.5,7.6,9.1,8.1,8.2,14.2,23.1,8.7,8.6,13.6,10.0,3.4,3.3,4.5,4.1,7.7,12.1,9.1,13.1,8.6,5.3,4.8,13.5,31.0,27.0,13.7,12.6,6.4,14.0,8.1
2025,Hombre,4.3,5.1,6.3,6.5,3.3,6.3,5.3,6.4,5.5,5.5,8.4,17.8,6.9,6.4,11.4,5.1,2.5,2.4,2.7,2.4,6.6,9.2,5.3,9.1,7.5,4.4,4.0,10.6,31.0,22.1,6.9,9.9,5.1,8.5,6.3
2025,Mujer,5.0,5.1,6.8,7.0,3.9,6.7,5.9,7.3,6.4,6.4,10.1,20.4,7.4,7.0,11.9,5.9,2.6,2.4,3.5,3.1,7.6,10.1,6.2,10.3,8.3,4.6,4.2,11.9,33.7,24.4,8.2,10.8,5.5,9.9,7.5
