Fecha,COP,UVR indexado (COP),USD,% Moneda local,% Moneda extranjera
2001-06-30,68.6728744136964,25.95913642477774,5.369624212507337,94.63201083847413,5.369624212507337
2001-07-31,67.3407137035235,25.775351740251516,6.883934556224965,93.11606544377501,6.883934556224965
2001-08-31,67.1532603921551,25.333590287251774,7.513149320593129,92.48685067940687,7.513149320593129
2001-09-30,66.73355470305087,25.399219725198158,7.867225571750963,92.13277442824904,7.867225571750963
2001-10-31,65.77967973473046,25.869228385842575,8.351091879426956,91.64890812057305,8.351091879426956
2001-11-30,65.71097174218191,25.724589753817817,8.56443850400027,91.43556149599974,8.56443850400027
2001-12-31,68.5587143797353,23.626549531092326,7.814736089172358,92.18526391082763,7.814736089172358
2002-01-31,69.75660029464905,23.921847526760672,6.321552178590281,93.67844782140972,6.321552178590281
2002-02-28,68.68351894328481,25.517212107904697,5.7992689488104965,94.2007310511895,5.7992689488104965
2002-03-31,69.29548971473648,25.913455875546692,4.791054409716834,95.20894559028316,4.791054409716834
2002-04-30,69.29810669425068,25.92501914046828,4.776874165281042,95.22312583471897,4.776874165281042
2002-05-31,68.95313159249561,26.430008023082614,4.616860384421775,95.38313961557823,4.616860384421775
2002-06-30,69.46423916609594,27.019563619072628,3.5161972148314353,96.48380278516856,3.5161972148314353
2002-07-31,68.97687764857466,27.185627194958666,3.8374951564666673,96.16250484353333,3.8374951564666673
2002-08-31,68.81148138732641,27.23532126135122,3.9531973513223657,96.04680264867763,3.9531973513223657
2002-09-30,68.47019855761812,27.402361410610215,4.127440031771675,95.87255996822834,4.127440031771675
2002-10-31,68.48321704168438,27.47825210398191,4.038530854333698,95.9614691456663,4.038530854333698
2002-11-30,68.48151468202069,27.527666058469478,3.990819259509838,96.00918074049017,3.990819259509838
2002-12-31,67.94517235208278,26.71337612711056,5.341451520806661,94.65854847919334,5.341451520806661
2003-01-31,67.84610604332457,26.768745141667143,5.385148815008282,94.6148511849917,5.385148815008282
2003-02-28,67.25922767516121,28.114400408133587,4.626371916705202,95.3736280832948,4.626371916705202
2003-03-31,66.8197609986314,28.563325432639104,4.6169135687294975,95.3830864312705,4.6169135687294975
2003-04-30,67.07322668773912,28.484848081355974,4.441925230904905,95.5580747690951,4.441925230904905
2003-05-31,67.25500979110912,28.417743470788214,4.327246738102654,95.67275326189734,4.327246738102654
2003-06-30,66.72683516245787,29.02670362604478,4.246461211497351,95.75353878850265,4.246461211497351
2003-07-31,67.20269800084205,28.838877582686585,3.958424416471378,96.04157558352863,3.958424416471378
2003-08-31,67.82979583042285,28.796473544738333,3.373730624838826,96.62626937516119,3.373730624838826
2003-09-30,67.87024052585778,28.741134836516906,3.388624637625305,96.6113753623747,3.388624637625305
2003-10-31,67.89530758679003,28.73621206565538,3.3684803475545873,96.6315196524454,3.3684803475545873
2003-11-30,68.28517363163476,28.41816082154482,3.296665546820417,96.70333445317958,3.296665546820417
2003-12-31,68.54099176762355,28.2729935444402,3.1860146879362503,96.81398531206375,3.1860146879362503
2004-01-31,67.85855872963012,29.036209522463114,3.1052317479067724,96.89476825209323,3.1052317479067724
2004-02-29,68.57771827289773,28.581900292323876,2.840381434778396,97.15961856522159,2.840381434778396
2004-03-31,69.23599043145371,28.078936471996013,2.6850730965502745,97.31492690344972,2.6850730965502745
2004-04-30,69.01099531819601,28.344170413516874,2.6448342682871164,97.35516573171287,2.6448342682871164
2004-05-31,69.80427141724736,27.447055452714963,2.7486731300376674,97.25132686996233,2.7486731300376674
2004-06-30,69.66308612443818,27.825487090792063,2.511426784769755,97.48857321523023,2.511426784769755
2004-07-31,70.41741949477242,27.214238026820993,2.3683424784066003,97.63165752159341,2.3683424784066003
2004-08-31,70.65174418421854,27.078486115305843,2.269769700475605,97.7302302995244,2.269769700475605
2004-09-30,70.91660966311665,26.796045220197502,2.287345116685852,97.71265488331416,2.287345116685852
2004-10-31,70.74421449358462,27.01162431796148,2.2441611884539148,97.7558388115461,2.2441611884539148
2004-11-30,71.49109082931022,27.277551155826192,1.2313580148635819,98.76864198513641,1.2313580148635819
2004-12-31,71.96791689361935,26.866643084576154,1.1654400218045002,98.8345599781955,1.1654400218045002
2005-01-31,72.06867885585588,26.817286433119293,1.1140347110248376,98.88596528897516,1.1140347110248376
2005-02-28,72.20731179736339,26.72734938913408,1.0653388135025499,98.93466118649746,1.0653388135025499
2005-03-31,72.46072272291849,26.473839272051624,1.0654380050299035,98.93456199497011,1.0654380050299035
2005-04-30,73.26819542755008,25.72593178407493,1.0058727883749792,98.99412721162501,1.0058727883749792
2005-05-31,72.96105493168459,26.03948040840338,0.999464659912039,99.00053534008796,0.999464659912039
2005-06-30,74.2533678231903,24.766411027789808,0.9802211490198861,99.01977885098012,0.9802211490198861
2005-07-31,74.42512087178318,24.6217127644541,0.9531663637627221,99.04683363623728,0.9531663637627221
2005-08-31,74.41841846170949,24.63821901423152,0.9433625240589876,99.05663747594102,0.9433625240589876
2005-09-30,74.21357128040668,24.8479799071557,0.9384488124376202,99.06155118756239,0.9384488124376202
2005-10-31,74.96916159237217,24.123692033996953,0.9071463736308518,99.09285362636912,0.9071463736308518
2005-11-30,74.893052386028,24.219698174863886,0.8872494391081108,99.11275056089188,0.8872494391081108
