Fecha,USD,EUR,JPY,CHF,UVR (COP),COP,% Moneda local,% Moneda extranjera
2001-06-30,42.3307791446024,8.94618434278254,2.665194287788678,0.0,12.634433096702807,33.4234091281236,46.0578422248264,53.94215777517361
2001-07-31,44.20564837547397,7.850849112746007,2.6122538669402404,0.0,12.548091170702024,32.783157474137745,45.331248644839775,54.66875135516022
2001-08-31,44.52743212075654,7.86828592398108,2.6187577579051524,0.0,12.322236114482523,32.66328808287472,44.98552419735724,55.01447580264277
2001-09-30,44.800123672432356,7.8657320862193,2.6395939953003746,0.0,12.3214210064015,32.373129239646424,44.694550246047925,55.30544975395203
2001-10-31,44.31476122092485,7.641230938376744,2.520795650533171,0.0,12.849584322982269,32.67362786718299,45.52321219016525,54.47678780983476
2001-11-30,44.342713914840004,7.4042384122242355,2.4484280433282253,0.0,12.886726231269163,32.917893398338364,45.80461962960753,54.19538037039246
2001-12-31,43.50493471691816,6.935593822073654,2.130054781837351,0.0,12.155884952341353,35.273531726829475,47.429416679170835,52.570583320829165
2002-01-31,42.41864141300846,6.570818938810333,2.0730471018218513,0.0,12.489492634432334,36.44799991192702,48.93749254635935,51.06250745364065
2002-02-28,41.90370691650898,6.167529235847722,1.9300721396256426,0.0,13.540962477622283,36.45772923039536,49.99869170801764,50.00130829198235
2002-03-31,41.12441939461618,5.692688079552851,1.9295795155385556,0.0,13.949849532871452,37.30346347742095,51.2533130102924,48.74668698970759
2002-04-30,40.944290879265175,5.841155987127868,1.9805123629875843,0.0,13.948749066768748,37.28529170385062,51.23404077061936,48.76595922938062
2002-05-31,39.57058462914368,5.80195566474551,1.9611386969742632,0.0,14.593473148690347,38.0728478604462,52.66632100913655,47.33367899086346
2002-06-30,38.75631094468497,6.170460624234489,2.0726931761707026,0.0,14.84240144797726,38.15813380693259,53.000535254909856,46.99946474509016
2002-07-31,41.26785215396552,6.388781261874396,2.092196695247443,0.0,14.2062602563579,36.044909632554734,50.25116988891263,49.748830111087365
2002-08-31,41.90131752523267,6.4960249995218575,2.131132279340911,0.0,14.02829500663282,35.44323018927175,49.471525195904576,50.52847480409544
2002-09-30,43.02217140898556,6.643006003911248,2.1015712069496137,0.0,13.786061275153061,34.44719010500051,48.23325138015357,51.766748619846425
