Fecha,Departamentos,Concepto,Valor
2007,Antioquia,% población en edad de trabajar,70.680064318
2008,Antioquia,% población en edad de trabajar,71.345451561
2009,Antioquia,% población en edad de trabajar,72.019709354
2010,Antioquia,% población en edad de trabajar,72.695893388
2011,Antioquia,% población en edad de trabajar,73.365956873
2012,Antioquia,% población en edad de trabajar,74.014860119
2013,Antioquia,% población en edad de trabajar,74.630703212
2014,Antioquia,% población en edad de trabajar,75.206890843
2015,Antioquia,% población en edad de trabajar,75.735866672
2016,Antioquia,% población en edad de trabajar,76.211918065
2017,Antioquia,% población en edad de trabajar,76.629799434
2018,Antioquia,% población en edad de trabajar,76.969317847
2019,Antioquia,% población en edad de trabajar,77.303837318
2020,Antioquia,% población en edad de trabajar,77.625428511
2021,Antioquia,% población en edad de trabajar,77.96716241
2022,Antioquia,% población en edad de trabajar,78.284214198
2023,Antioquia,% población en edad de trabajar,78.576574959
2024,Antioquia,% población en edad de trabajar,78.926245102
2025,Antioquia,% población en edad de trabajar,79.225248877
2007,Antioquia,Tasa Global de Participación (TGP),77.672943859
2008,Antioquia,Tasa Global de Participación (TGP),77.878528089
2009,Antioquia,Tasa Global de Participación (TGP),80.182132696
2010,Antioquia,Tasa Global de Participación (TGP),79.100916599
2011,Antioquia,Tasa Global de Participación (TGP),79.415826937
2012,Antioquia,Tasa Global de Participación (TGP),79.623323312
2013,Antioquia,Tasa Global de Participación (TGP),79.553091696
2014,Antioquia,Tasa Global de Participación (TGP),79.161508876
2015,Antioquia,Tasa Global de Participación (TGP),77.558702876
2016,Antioquia,Tasa Global de Participación (TGP),77.015302082
2017,Antioquia,Tasa Global de Participación (TGP),77.43486134
2018,Antioquia,Tasa Global de Participación (TGP),76.314504323
2019,Antioquia,Tasa Global de Participación (TGP),76.303445559
2020,Antioquia,Tasa Global de Participación (TGP),73.7804322
2021,Antioquia,Tasa Global de Participación (TGP),75.012981961
2022,Antioquia,Tasa Global de Participación (TGP),77.124467549
2023,Antioquia,Tasa Global de Participación (TGP),77.201249796
2024,Antioquia,Tasa Global de Participación (TGP),76.932420269
2025,Antioquia,Tasa Global de Participación (TGP),77.778076975
2007,Antioquia,Tasa de Ocupación (TO),70.60945491
2008,Antioquia,Tasa de Ocupación (TO),70.258586264
2009,Antioquia,Tasa de Ocupación (TO),71.828960339
2010,Antioquia,Tasa de Ocupación (TO),71.791421256
2011,Antioquia,Tasa de Ocupación (TO),72.762201141
2012,Antioquia,Tasa de Ocupación (TO),73.087357447
2013,Antioquia,Tasa de Ocupación (TO),73.299437764
2014,Antioquia,Tasa de Ocupación (TO),72.790643016
2015,Antioquia,Tasa de Ocupación (TO),71.256012265
2016,Antioquia,Tasa de Ocupación (TO),71.144871499
2017,Antioquia,Tasa de Ocupación (TO),70.950263146
2018,Antioquia,Tasa de Ocupación (TO),69.526719381
2019,Antioquia,Tasa de Ocupación (TO),69.364892937
2020,Antioquia,Tasa de Ocupación (TO),63.579293342
2021,Antioquia,Tasa de Ocupación (TO),66.433591374
2022,Antioquia,Tasa de Ocupación (TO),71.016665227
2023,Antioquia,Tasa de Ocupación (TO),71.778970429
2024,Antioquia,Tasa de Ocupación (TO),71.15350681
2025,Antioquia,Tasa de Ocupación (TO),73.13898312
2007,Antioquia,Tasa de Desocupación (TD),9.093885977
2008,Antioquia,Tasa de Desocupación (TD),9.784393736
2009,Antioquia,Tasa de Desocupación (TD),10.417747789
2010,Antioquia,Tasa de Desocupación (TD),9.240721419
2011,Antioquia,Tasa de Desocupación (TD),8.378211313
2012,Antioquia,Tasa de Desocupación (TD),8.208607218
2013,Antioquia,Tasa de Desocupación (TD),7.860981639
2014,Antioquia,Tasa de Desocupación (TD),8.047933838
2015,Antioquia,Tasa de Desocupación (TD),8.126348659
2016,Antioquia,Tasa de Desocupación (TD),7.622421032
2017,Antioquia,Tasa de Desocupación (TD),8.374262033
2018,Antioquia,Tasa de Desocupación (TD),8.894488672
2019,Antioquia,Tasa de Desocupación (TD),9.093367373
2020,Antioquia,Tasa de Desocupación (TD),13.826347385
2021,Antioquia,Tasa de Desocupación (TD),11.437207751
2022,Antioquia,Tasa de Desocupación (TD),7.919409386
2023,Antioquia,Tasa de Desocupación (TD),7.023564232
2024,Antioquia,Tasa de Desocupación (TD),7.511675101
2025,Antioquia,Tasa de Desocupación (TD),5.964526299
2007,Antioquia,Tasa de Subocupación (TS),8.496139465
2008,Antioquia,Tasa de Subocupación (TS),9.482370859
2009,Antioquia,Tasa de Subocupación (TS),11.991323022
2010,Antioquia,Tasa de Subocupación (TS),12.264435071
2011,Antioquia,Tasa de Subocupación (TS),9.558111163
2012,Antioquia,Tasa de Subocupación (TS),11.881649887
2013,Antioquia,Tasa de Subocupación (TS),10.383316828
2014,Antioquia,Tasa de Subocupación (TS),8.26586201
2015,Antioquia,Tasa de Subocupación (TS),7.567509766
2016,Antioquia,Tasa de Subocupación (TS),8.120528483
2017,Antioquia,Tasa de Subocupación (TS),8.190260432
2018,Antioquia,Tasa de Subocupación (TS),8.967760708
2019,Antioquia,Tasa de Subocupación (TS),9.625862239
2020,Antioquia,Tasa de Subocupación (TS),0.0
2021,Antioquia,Tasa de Subocupación (TS),5.31506533
2022,Antioquia,Tasa de Subocupación (TS),5.100189534
2023,Antioquia,Tasa de Subocupación (TS),5.541501706
2024,Antioquia,Tasa de Subocupación (TS),5.185446758
2025,Antioquia,Tasa de Subocupación (TS),5.445556083
2007,Antioquia,Población total,2695.995
2008,Antioquia,Población total,2729.277
2009,Antioquia,Población total,2762.952
2010,Antioquia,Población total,2797.44
2011,Antioquia,Población total,2831.902
2012,Antioquia,Población total,2865.253
2013,Antioquia,Población total,2897.534
2014,Antioquia,Población total,2929.685
2015,Antioquia,Población total,2962.731
2016,Antioquia,Población total,2999.027
2017,Antioquia,Población total,3040.098
2018,Antioquia,Población total,3091.667
2019,Antioquia,Población total,3162.235
2020,Antioquia,Población total,3225.702
2021,Antioquia,Población total,3278.867
2022,Antioquia,Población total,3329.583
2023,Antioquia,Población total,3382.4
2024,Antioquia,Población total,3432.911
2025,Antioquia,Población total,3481.823
2007,Antioquia,Población en edad de trabajar (PET),1905.531
2008,Antioquia,Población en edad de trabajar (PET),1947.215
2009,Antioquia,Población en edad de trabajar (PET),1989.87
2010,Antioquia,Población en edad de trabajar (PET),2033.624
2011,Antioquia,Población en edad de trabajar (PET),2077.652
2012,Antioquia,Población en edad de trabajar (PET),2120.713
2013,Antioquia,Población en edad de trabajar (PET),2162.45
2014,Antioquia,Población en edad de trabajar (PET),2203.325
2015,Antioquia,Población en edad de trabajar (PET),2243.85
2016,Antioquia,Población en edad de trabajar (PET),2285.616
2017,Antioquia,Población en edad de trabajar (PET),2329.621
2018,Antioquia,Población en edad de trabajar (PET),2379.635
2019,Antioquia,Población en edad de trabajar (PET),2444.529
2020,Antioquia,Población en edad de trabajar (PET),2503.965
2021,Antioquia,Población en edad de trabajar (PET),2556.439
2022,Antioquia,Población en edad de trabajar (PET),2606.538
2023,Antioquia,Población en edad de trabajar (PET),2657.774
2024,Antioquia,Población en edad de trabajar (PET),2709.468
2025,Antioquia,Población en edad de trabajar (PET),2758.483
2007,Antioquia,Fuerza de trabajo,1480.082024
2008,Antioquia,Fuerza de trabajo,1516.462381
2009,Antioquia,Fuerza de trabajo,1595.520204
2010,Antioquia,Fuerza de trabajo,1608.615224
2011,Antioquia,Fuerza de trabajo,1649.984517
2012,Antioquia,Fuerza de trabajo,1688.582169
2013,Antioquia,Fuerza de trabajo,1720.295831
2014,Antioquia,Fuerza de trabajo,1744.185315
2015,Antioquia,Fuerza de trabajo,1740.3009539999998
2016,Antioquia,Fuerza de trabajo,1760.274067
2017,Antioquia,Fuerza de trabajo,1803.938791
2018,Antioquia,Fuerza de trabajo,1816.0066550000001
2019,Antioquia,Fuerza de trabajo,1865.259855
2020,Antioquia,Fuerza de trabajo,1847.436199
2021,Antioquia,Fuerza de trabajo,1917.661
2022,Antioquia,Fuerza de trabajo,2010.279
2023,Antioquia,Fuerza de trabajo,2051.835
2024,Antioquia,Fuerza de trabajo,2084.459
2025,Antioquia,Fuerza de trabajo,2145.495
2007,Antioquia,Población ocupada,1345.485052
2008,Antioquia,Población ocupada,1368.085731
2009,Antioquia,Población ocupada,1429.302933
