Fecha,Departamentos,Concepto,Valor
2007,Antioquia,% población en edad de trabajar,72.239816448
2008,Antioquia,% población en edad de trabajar,72.886044547
2009,Antioquia,% población en edad de trabajar,73.537516774
2010,Antioquia,% población en edad de trabajar,74.188704266
2011,Antioquia,% población en edad de trabajar,74.828237008
2012,Antioquia,% población en edad de trabajar,75.445233739
2013,Antioquia,% población en edad de trabajar,76.029057587
2014,Antioquia,% población en edad de trabajar,76.575060371
2015,Antioquia,% población en edad de trabajar,77.076224613
2016,Antioquia,% población en edad de trabajar,77.524167886
2017,Antioquia,% población en edad de trabajar,77.916138248
2018,Antioquia,% población en edad de trabajar,78.227283953
2019,Antioquia,% población en edad de trabajar,78.543755943
2020,Antioquia,% población en edad de trabajar,78.849443408
2021,Antioquia,% población en edad de trabajar,79.173562126
2022,Antioquia,% población en edad de trabajar,79.476130629
2023,Antioquia,% población en edad de trabajar,79.752457294
2024,Antioquia,% población en edad de trabajar,80.083109535
2025,Antioquia,% población en edad de trabajar,80.365573115
2007,Antioquia,Tasa Global de Participación (TGP),61.603418718
2008,Antioquia,Tasa Global de Participación (TGP),61.841460819
2009,Antioquia,Tasa Global de Participación (TGP),65.216160488
2010,Antioquia,Tasa Global de Participación (TGP),65.20874672
2011,Antioquia,Tasa Global de Participación (TGP),64.79888233
2012,Antioquia,Tasa Global de Participación (TGP),65.859422686
2013,Antioquia,Tasa Global de Participación (TGP),65.816642537
2014,Antioquia,Tasa Global de Participación (TGP),64.930392338
2015,Antioquia,Tasa Global de Participación (TGP),62.940825248
2016,Antioquia,Tasa Global de Participación (TGP),62.234005309
2017,Antioquia,Tasa Global de Participación (TGP),62.741133444
2018,Antioquia,Tasa Global de Participación (TGP),61.387034231
2019,Antioquia,Tasa Global de Participación (TGP),60.94063202
2020,Antioquia,Tasa Global de Participación (TGP),58.754651465
2021,Antioquia,Tasa Global de Participación (TGP),58.915364539
2022,Antioquia,Tasa Global de Participación (TGP),63.026778536
2023,Antioquia,Tasa Global de Participación (TGP),63.923499748
2024,Antioquia,Tasa Global de Participación (TGP),63.773992348
2025,Antioquia,Tasa Global de Participación (TGP),64.306662557
2007,Antioquia,Tasa de Ocupación (TO),54.555216386
2008,Antioquia,Tasa de Ocupación (TO),54.215035504
2009,Antioquia,Tasa de Ocupación (TO),56.740567917
2010,Antioquia,Tasa de Ocupación (TO),57.388462434
2011,Antioquia,Tasa de Ocupación (TO),57.820325388
2012,Antioquia,Tasa de Ocupación (TO),58.538041525
2013,Antioquia,Tasa de Ocupación (TO),59.090106412
2014,Antioquia,Tasa de Ocupación (TO),58.451577104
2015,Antioquia,Tasa de Ocupación (TO),56.617626359
2016,Antioquia,Tasa de Ocupación (TO),55.747499459
2017,Antioquia,Tasa de Ocupación (TO),55.726808129
2018,Antioquia,Tasa de Ocupación (TO),54.295227984
2019,Antioquia,Tasa de Ocupación (TO),53.516377983
2020,Antioquia,Tasa de Ocupación (TO),48.401039188
2021,Antioquia,Tasa de Ocupación (TO),50.849049018
2022,Antioquia,Tasa de Ocupación (TO),56.687961446
2023,Antioquia,Tasa de Ocupación (TO),58.179224619
2024,Antioquia,Tasa de Ocupación (TO),57.774682581
2025,Antioquia,Tasa de Ocupación (TO),59.477928922
2007,Antioquia,Tasa de Desocupación (TD),11.441251928
2008,Antioquia,Tasa de Desocupación (TD),12.332220511
2009,Antioquia,Tasa de Desocupación (TD),12.99615388
