Fecha,Nacionalidad,Femenino,Masculino,Total
2012-10,Samoa Americana,0,1,1
2014-01,Samoa Americana,0,1,1
2016-04,Samoa Americana,0,1,1
2016-05,Samoa Americana,0,1,1
2016-07,Samoa Americana,0,1,1
2016-08,Samoa Americana,0,1,1
2016-09,Samoa Americana,0,1,1
2018-02,Samoa Americana,1,0,1
