Fecha,Perspectiva,Grupo,Concepto,Periodo,Valor
2021,Total nacional,Población ocupada,Microempresa,Dic - Feb,13557.160121666668
2022,Total nacional,Población ocupada,Microempresa,Ene - Mar,13596.631480333335
2022,Total nacional,Población ocupada,Microempresa,Feb - Abr,13896.474703
2022,Total nacional,Población ocupada,Microempresa,Mar - May,13864.827880000003
2022,Total nacional,Población ocupada,Microempresa,Abr - Jun,13907.862854333333
2022,Total nacional,Población ocupada,Microempresa,May - Jul,14003.29297
2022,Total nacional,Población ocupada,Microempresa,Jun - Ago,14046.157145
2022,Total nacional,Población ocupada,Microempresa,Jul - Sep,14177.954348333333
2022,Total nacional,Población ocupada,Microempresa,Ago - Oct,14327.924349333334
2022,Total nacional,Población ocupada,Microempresa,Sep - Nov,14396.847471000001
2022,Total nacional,Población ocupada,Microempresa,Oct - Dic,14321.732295666667
2022,Total nacional,Población ocupada,Microempresa,Nov - Ene,13969.419361333334
2022,Total nacional,Población ocupada,Microempresa,Dic - Feb,14029.133783
2023,Total nacional,Población ocupada,Microempresa,Ene - Mar,14203.932292
2023,Total nacional,Población ocupada,Microempresa,Feb - Abr,14451.590596
2023,Total nacional,Población ocupada,Microempresa,Mar - May,14295.442485333333
2023,Total nacional,Población ocupada,Microempresa,Abr - Jun,14163.306989333332
2023,Total nacional,Población ocupada,Microempresa,May - Jul,14258.036710999999
2023,Total nacional,Población ocupada,Microempresa,Jun - Ago,14471.544447666665
2023,Total nacional,Población ocupada,Microempresa,Jul - Sep,14478.382424333331
2023,Total nacional,Población ocupada,Microempresa,Ago - Oct,14367.661324333332
2023,Total nacional,Población ocupada,Microempresa,Sep - Nov,14298.128935333332
2023,Total nacional,Población ocupada,Microempresa,Oct - Dic,14334.689215999999
2023,Total nacional,Población ocupada,Microempresa,Nov - Ene,14177.383804
2023,Total nacional,Población ocupada,Microempresa,Dic - Feb,14127.763187333332
2024,Total nacional,Población ocupada,Microempresa,Ene - Mar,14041.366925666667
2024,Total nacional,Población ocupada,Microempresa,Feb - Abr,14162.295077666668
2024,Total nacional,Población ocupada,Microempresa,Mar - May,14160.172721
2024,Total nacional,Población ocupada,Microempresa,Abr - Jun,14159.704808333334
2024,Total nacional,Población ocupada,Microempresa,May - Jul,14297.832582000001
2024,Total nacional,Población ocupada,Microempresa,Jun - Ago,14444.073294
2024,Total nacional,Población ocupada,Microempresa,Jul - Sep,14511.337726666667
2024,Total nacional,Población ocupada,Microempresa,Ago - Oct,14489.423988333334
2024,Total nacional,Población ocupada,Microempresa,Sep - Nov,14496.696355666667
2024,Total nacional,Población ocupada,Microempresa,Oct - Dic,14702.470877666667
2024,Total nacional,Población ocupada,Microempresa,Nov - Ene,14658.378616
2024,Total nacional,Población ocupada,Microempresa,Dic - Feb,14754.871176
2025,Total nacional,Población ocupada,Microempresa,Ene - Mar,14801.384478
2025,Total nacional,Población ocupada,Microempresa,Feb - Abr,14904.122714
2025,Total nacional,Población ocupada,Microempresa,Mar - May,14786.251332
2025,Total nacional,Población ocupada,Microempresa,Abr - Jun,14636.766407
2025,Total nacional,Población ocupada,Microempresa,May - Jul,14656.775707
2025,Total nacional,Población ocupada,Microempresa,Jun - Ago,14705.822196
2025,Total nacional,Población ocupada,Microempresa,Jul - Sep,14690.606274
2025,Total nacional,Población ocupada,Microempresa,Ago - Oct,14862.954573
2025,Total nacional,Población ocupada,Microempresa,Sep - Nov,15043.869906
2025,Total nacional,Población ocupada,Microempresa,Oct - Dic,15187.2068
2025,Total nacional,Población ocupada,Microempresa,Nov - Ene,14945.184952
2025,Total nacional,Población ocupada,Microempresa,Dic - Feb,14838.221966
2026,Total nacional,Población ocupada,Microempresa,Ene - Mar,14890.118115
2026,Total nacional,Población ocupada,Microempresa,Feb - Abr,14939.114548
2021,Total nacional,Población ocupada,Empresa pequeña,Ene - Mar,2376.930778333333
2021,Total nacional,Población ocupada,Empresa pequeña,Feb - Abr,2365.616847
2021,Total nacional,Población ocupada,Empresa pequeña,Mar - May,2339.0177129999997
2021,Total nacional,Población ocupada,Empresa pequeña,Abr - Jun,2320.74834
2021,Total nacional,Población ocupada,Empresa pequeña,May - Jul,2260.982453
2021,Total nacional,Población ocupada,Empresa pequeña,Jun - Ago,2176.212099
2021,Total nacional,Población ocupada,Empresa pequeña,Jul - Sep,2128.697023333333
2021,Total nacional,Población ocupada,Empresa pequeña,Ago - Oct,2184.000781
2021,Total nacional,Población ocupada,Empresa pequeña,Sep - Nov,2221.8416273333332
2021,Total nacional,Población ocupada,Empresa pequeña,Oct - Dic,2256.025308
2021,Total nacional,Población ocupada,Empresa pequeña,Nov - Ene,2252.2993106666668
2021,Total nacional,Población ocupada,Empresa pequeña,Dic - Feb,2258.6933809999996
2022,Total nacional,Población ocupada,Empresa pequeña,Ene - Mar,2245.349809
2022,Total nacional,Población ocupada,Empresa pequeña,Feb - Abr,2195.7303356666666
2022,Total nacional,Población ocupada,Empresa pequeña,Mar - May,2210.491147
2022,Total nacional,Población ocupada,Empresa pequeña,Abr - Jun,2173.84639
2022,Total nacional,Población ocupada,Empresa pequeña,May - Jul,2205.5926933333335
2022,Total nacional,Población ocupada,Empresa pequeña,Jun - Ago,2228.8124286666666
2022,Total nacional,Población ocupada,Empresa pequeña,Jul - Sep,2294.560328
2022,Total nacional,Población ocupada,Empresa pequeña,Ago - Oct,2237.077655333333
2022,Total nacional,Población ocupada,Empresa pequeña,Sep - Nov,2224.3739923333337
2022,Total nacional,Población ocupada,Empresa pequeña,Oct - Dic,2212.223178333333
2022,Total nacional,Población ocupada,Empresa pequeña,Nov - Ene,2227.60964
2022,Total nacional,Población ocupada,Empresa pequeña,Dic - Feb,2172.9833593333333
2023,Total nacional,Población ocupada,Empresa pequeña,Ene - Mar,2129.1660753333335
2023,Total nacional,Población ocupada,Empresa pequeña,Feb - Abr,2161.3761686666667
2023,Total nacional,Población ocupada,Empresa pequeña,Mar - May,2148.129998666667
2023,Total nacional,Población ocupada,Empresa pequeña,Abr - Jun,2188.4680059999996
2023,Total nacional,Población ocupada,Empresa pequeña,May - Jul,2203.372849
2023,Total nacional,Población ocupada,Empresa pequeña,Jun - Ago,2264.0894999999996
2023,Total nacional,Población ocupada,Empresa pequeña,Jul - Sep,2275.961013
2023,Total nacional,Población ocupada,Empresa pequeña,Ago - Oct,2302.166401666667
2023,Total nacional,Población ocupada,Empresa pequeña,Sep - Nov,2378.6875426666666
2023,Total nacional,Población ocupada,Empresa pequeña,Oct - Dic,2365.5722220000002
2023,Total nacional,Población ocupada,Empresa pequeña,Nov - Ene,2307.210646
2023,Total nacional,Población ocupada,Empresa pequeña,Dic - Feb,2268.9874130000003
2024,Total nacional,Población ocupada,Empresa pequeña,Ene - Mar,2239.040644333333
2024,Total nacional,Población ocupada,Empresa pequeña,Feb - Abr,2291.612348
2024,Total nacional,Población ocupada,Empresa pequeña,Mar - May,2288.8983656666665
2024,Total nacional,Población ocupada,Empresa pequeña,Abr - Jun,2360.6926566666666
2024,Total nacional,Población ocupada,Empresa pequeña,May - Jul,2356.2749136666666
2024,Total nacional,Población ocupada,Empresa pequeña,Jun - Ago,2372.269326
2024,Total nacional,Población ocupada,Empresa pequeña,Jul - Sep,2383.297588
2024,Total nacional,Población ocupada,Empresa pequeña,Ago - Oct,2404.3821726666665
2024,Total nacional,Población ocupada,Empresa pequeña,Sep - Nov,2348.5132863333333
2024,Total nacional,Población ocupada,Empresa pequeña,Oct - Dic,2302.1054946666663
2024,Total nacional,Población ocupada,Empresa pequeña,Nov - Ene,2279.72506
2024,Total nacional,Población ocupada,Empresa pequeña,Dic - Feb,2264.386815
2025,Total nacional,Población ocupada,Empresa pequeña,Ene - Mar,2170.687885
2025,Total nacional,Población ocupada,Empresa pequeña,Feb - Abr,2174.335542
2025,Total nacional,Población ocupada,Empresa pequeña,Mar - May,2237.845154
2025,Total nacional,Población ocupada,Empresa pequeña,Abr - Jun,2350.454473
2025,Total nacional,Población ocupada,Empresa pequeña,May - Jul,2379.538213
2025,Total nacional,Población ocupada,Empresa pequeña,Jun - Ago,2385.003734
2025,Total nacional,Población ocupada,Empresa pequeña,Jul - Sep,2398.600033
2025,Total nacional,Población ocupada,Empresa pequeña,Ago - Oct,2422.270624
2025,Total nacional,Población ocupada,Empresa pequeña,Sep - Nov,2463.75468
2025,Total nacional,Población ocupada,Empresa pequeña,Oct - Dic,2493.558542
2025,Total nacional,Población ocupada,Empresa pequeña,Nov - Ene,2471.611406
2025,Total nacional,Población ocupada,Empresa pequeña,Dic - Feb,2406.99771
2026,Total nacional,Población ocupada,Empresa pequeña,Ene - Mar,2347.826394
2026,Total nacional,Población ocupada,Empresa pequeña,Feb - Abr,2398.528095
2021,Total nacional,Población ocupada,Empresa mediana,Ene - Mar,1492.4112723333335
2021,Total nacional,Población ocupada,Empresa mediana,Feb - Abr,1509.7818963333332
2021,Total nacional,Población ocupada,Empresa mediana,Mar - May,1580.287975
