Fecha,Perspectiva,Concepto,Valor
2022,Total nacional,Población de 5 a 17 años que trabaja,369.383
2023,Total nacional,Población de 5 a 17 años que trabaja,310.379
2024,Total nacional,Población de 5 a 17 años que trabaja,310.579
2025,Total nacional,Población de 5 a 17 años que trabaja,301.52
2022,Total nacional,"Agricultura, ganadería, caza, silvicultura y pesca",133.245
2023,Total nacional,"Agricultura, ganadería, caza, silvicultura y pesca",123.833
2024,Total nacional,"Agricultura, ganadería, caza, silvicultura y pesca",117.834
2025,Total nacional,"Agricultura, ganadería, caza, silvicultura y pesca",117.35
2022,Total nacional,Industrias manufactureras,49.226
2023,Total nacional,Industrias manufactureras,35.693
2024,Total nacional,Industrias manufactureras,45.403
2025,Total nacional,Industrias manufactureras,27.513
2022,Total nacional,Construcción,14.347
2023,Total nacional,Construcción,5.219
2024,Total nacional,Construcción,14.484
2025,Total nacional,Construcción,12.207
2022,Total nacional,Comercio y reparación de vehículos,78.455
2023,Total nacional,Comercio y reparación de vehículos,65.058
2024,Total nacional,Comercio y reparación de vehículos,56.128
2025,Total nacional,Comercio y reparación de vehículos,51.019
2022,Total nacional,Alojamiento y servicios de comida,44.682
2023,Total nacional,Alojamiento y servicios de comida,31.938
2024,Total nacional,Alojamiento y servicios de comida,34.338
2025,Total nacional,Alojamiento y servicios de comida,42.806
2022,Total nacional,Transporte y almacenamiento,13.147
2023,Total nacional,Transporte y almacenamiento,10.314
2024,Total nacional,Transporte y almacenamiento,10.9
2025,Total nacional,Transporte y almacenamiento,15.181
2022,Total nacional,Otras ramas*,36.28
2023,Total nacional,Otras ramas*,38.326
2024,Total nacional,Otras ramas*,31.491
2025,Total nacional,Otras ramas*,35.444
2022,Total nacional,No informa,0.0
2023,Total nacional,No informa,0.0
2024,Total nacional,No informa,0.0
2025,Total nacional,No informa,0.0
2022,Total cabeceras,Población de 5 a 17 años que trabaja,163.844
2023,Total cabeceras,Población de 5 a 17 años que trabaja,132.527
2024,Total cabeceras,Población de 5 a 17 años que trabaja,136.75
2025,Total cabeceras,Población de 5 a 17 años que trabaja,145.863
2022,Total cabeceras,"Agricultura, ganadería, caza, silvicultura y pesca",10.696
2023,Total cabeceras,"Agricultura, ganadería, caza, silvicultura y pesca",10.506
2024,Total cabeceras,"Agricultura, ganadería, caza, silvicultura y pesca",14.119
2025,Total cabeceras,"Agricultura, ganadería, caza, silvicultura y pesca",9.651
2022,Total cabeceras,Industrias manufactureras,20.096
2023,Total cabeceras,Industrias manufactureras,21.98
2024,Total cabeceras,Industrias manufactureras,21.479
2025,Total cabeceras,Industrias manufactureras,17.001
2022,Total cabeceras,Construcción,9.222
2023,Total cabeceras,Construcción,3.239
2024,Total cabeceras,Construcción,10.504
2025,Total cabeceras,Construcción,9.377
2022,Total cabeceras,Comercio y reparación de vehículos,54.661
2023,Total cabeceras,Comercio y reparación de vehículos,39.72
2024,Total cabeceras,Comercio y reparación de vehículos,39.345
2025,Total cabeceras,Comercio y reparación de vehículos,38.313
2022,Total cabeceras,Alojamiento y servicios de comida,36.701
2023,Total cabeceras,Alojamiento y servicios de comida,30.862
2024,Total cabeceras,Alojamiento y servicios de comida,26.434
2025,Total cabeceras,Alojamiento y servicios de comida,33.164
2022,Total cabeceras,Transporte y almacenamiento,9.238
2023,Total cabeceras,Transporte y almacenamiento,5.538
2024,Total cabeceras,Transporte y almacenamiento,6.719
2025,Total cabeceras,Transporte y almacenamiento,10.013
2022,Total cabeceras,Otras ramas*,23.23
2023,Total cabeceras,Otras ramas*,20.681
2024,Total cabeceras,Otras ramas*,18.15
