Fecha,Perspectiva,Sexo,Concepto,Valor
2025,Total nacional,Mujeres,"Lavar, colgar, planchar la ropa, reparar ropa",1451.044
2022,Total nacional,Mujeres,"Limpiar o arreglar la casa, tender las camas, barrer trapear, sacar la basura",2846.612
2023,Total nacional,Mujeres,"Limpiar o arreglar la casa, tender las camas, barrer trapear, sacar la basura",2734.731
2024,Total nacional,Mujeres,"Limpiar o arreglar la casa, tender las camas, barrer trapear, sacar la basura",2734.535
2025,Total nacional,Mujeres,"Limpiar o arreglar la casa, tender las camas, barrer trapear, sacar la basura",2760.061
2022,Total nacional,Mujeres,Cuidar niños o niñas menores de 5 años que no estén enfermos ni en condición de discapacidad,272.332
2023,Total nacional,Mujeres,Cuidar niños o niñas menores de 5 años que no estén enfermos ni en condición de discapacidad,230.573
2024,Total nacional,Mujeres,Cuidar niños o niñas menores de 5 años que no estén enfermos ni en condición de discapacidad,232.486
2025,Total nacional,Mujeres,Cuidar niños o niñas menores de 5 años que no estén enfermos ni en condición de discapacidad,220.437
2022,Total nacional,Mujeres,"Cuidar personas enfermas, en condición de discapacidad o adultos mayores",28.048
2023,Total nacional,Mujeres,"Cuidar personas enfermas, en condición de discapacidad o adultos mayores",30.243
2024,Total nacional,Mujeres,"Cuidar personas enfermas, en condición de discapacidad o adultos mayores",31.621
2025,Total nacional,Mujeres,"Cuidar personas enfermas, en condición de discapacidad o adultos mayores",27.211
2022,Total nacional,Mujeres,Ayudar a personas con tareas o trabajos escolares,114.806
2023,Total nacional,Mujeres,Ayudar a personas con tareas o trabajos escolares,103.341
2024,Total nacional,Mujeres,Ayudar a personas con tareas o trabajos escolares,79.745
2025,Total nacional,Mujeres,Ayudar a personas con tareas o trabajos escolares,106.058
