Fecha,Perspectiva,Concepto,Valor
2022,Total nacional,Población de 5 a 17 años que trabaja,369.383
2023,Total nacional,Población de 5 a 17 años que trabaja,310.379
2024,Total nacional,Población de 5 a 17 años que trabaja,310.579
2025,Total nacional,Población de 5 a 17 años que trabaja,301.52
2022,Total nacional,Asalariados,107.544
2023,Total nacional,Asalariados,108.188
2024,Total nacional,Asalariados,106.717
2025,Total nacional,Asalariados,119.698
2022,Total nacional,Independientes,110.365
2023,Total nacional,Independientes,103.944
2024,Total nacional,Independientes,107.906
2025,Total nacional,Independientes,111.841
2022,Total nacional,Trabajador familiar sin remuneración,151.474
2023,Total nacional,Trabajador familiar sin remuneración,98.248
2024,Total nacional,Trabajador familiar sin remuneración,95.956
2025,Total nacional,Trabajador familiar sin remuneración,69.982
2022,Total cabeceras,Población de 5 a 17 años que trabaja,163.844
2023,Total cabeceras,Población de 5 a 17 años que trabaja,132.527
2024,Total cabeceras,Población de 5 a 17 años que trabaja,136.75
2025,Total cabeceras,Población de 5 a 17 años que trabaja,145.863
2022,Total cabeceras,Asalariados,65.273
2023,Total cabeceras,Asalariados,69.654
2024,Total cabeceras,Asalariados,61.383
2025,Total cabeceras,Asalariados,69.904
2022,Total cabeceras,Independientes,51.344
2023,Total cabeceras,Independientes,37.307
2024,Total cabeceras,Independientes,43.684
2025,Total cabeceras,Independientes,48.33
2022,Total cabeceras,Trabajador familiar sin remuneración,47.228
2023,Total cabeceras,Trabajador familiar sin remuneración,25.566
2024,Total cabeceras,Trabajador familiar sin remuneración,31.683
2025,Total cabeceras,Trabajador familiar sin remuneración,27.629
2022,Total centros poblados y rural disperso,Población de 5 a 17 años que trabaja,205.538
2023,Total centros poblados y rural disperso,Población de 5 a 17 años que trabaja,177.852
2024,Total centros poblados y rural disperso,Población de 5 a 17 años que trabaja,173.829
2025,Total centros poblados y rural disperso,Población de 5 a 17 años que trabaja,155.657
2022,Total centros poblados y rural disperso,Asalariados,42.272
2023,Total centros poblados y rural disperso,Asalariados,38.533
2024,Total centros poblados y rural disperso,Asalariados,45.335
2025,Total centros poblados y rural disperso,Asalariados,49.794
2022,Total centros poblados y rural disperso,Independientes,59.021
2023,Total centros poblados y rural disperso,Independientes,66.637
2024,Total centros poblados y rural disperso,Independientes,64.221
2025,Total centros poblados y rural disperso,Independientes,63.511
2022,Total centros poblados y rural disperso,Trabajador familiar sin remuneración,104.246
2023,Total centros poblados y rural disperso,Trabajador familiar sin remuneración,72.682
2024,Total centros poblados y rural disperso,Trabajador familiar sin remuneración,64.273
2025,Total centros poblados y rural disperso,Trabajador familiar sin remuneración,42.353
