Fecha,Perspectiva,Grupo,Concepto,Valor
2022,Total nacional,5 a 14 años,Tasa de Trabajo Infantil (TTI),1.3422512663
2023,Total nacional,5 a 14 años,Tasa de Trabajo Infantil (TTI),0.87286263147
2024,Total nacional,5 a 14 años,Tasa de Trabajo Infantil (TTI),1.0628610222
2025,Total nacional,5 a 14 años,Tasa de Trabajo Infantil (TTI),0.70782451424
2022,Total nacional,5 a 14 años,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),5.7918914278
2023,Total nacional,5 a 14 años,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),4.8329667521
2024,Total nacional,5 a 14 años,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),5.010740481
2025,Total nacional,5 a 14 años,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),4.3180294304
2022,Total nacional,5 a 14 años,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),7.1407876722
2023,Total nacional,5 a 14 años,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),6.2870384196
2024,Total nacional,5 a 14 años,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),6.1161351643
2025,Total nacional,5 a 14 años,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),5.3993239528
2022,Total nacional,15 a 17 años,Tasa de Trabajo Infantil (TTI),10.336620884
2023,Total nacional,15 a 17 años,Tasa de Trabajo Infantil (TTI),9.5776886058
2024,Total nacional,15 a 17 años,Tasa de Trabajo Infantil (TTI),8.7062864394
2025,Total nacional,15 a 17 años,Tasa de Trabajo Infantil (TTI),9.6414789058
2022,Total nacional,15 a 17 años,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),28.098324655
2023,Total nacional,15 a 17 años,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),26.935803115
2024,Total nacional,15 a 17 años,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),23.288003953
2025,Total nacional,15 a 17 años,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico no remunerado (TTIAD),26.394308866
2022,Total nacional,15 a 17 años,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),30.647785957
2023,Total nacional,15 a 17 años,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),29.139738112
2024,Total nacional,15 a 17 años,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),25.600300355
2025,Total nacional,15 a 17 años,Tasa de Trabajo Infantil Ampliada por Trabajo Doméstico y de Cuidado no remunerado (TTIADC),28.942489691
2022,Total nacional,5 a 14 años,Población de 5 a 14 años,8224.455
2023,Total nacional,5 a 14 años,Población de 5 a 14 años,8165.646
2024,Total nacional,5 a 14 años,Población de 5 a 14 años,8273.241
2025,Total nacional,5 a 14 años,Población de 5 a 14 años,8402.579
2022,Total nacional,5 a 14 años,Población de 5 a 14 años que trabaja,110.393
2023,Total nacional,5 a 14 años,Población de 5 a 14 años que trabaja,71.275
2024,Total nacional,5 a 14 años,Población de 5 a 14 años que trabaja,87.933
2025,Total nacional,5 a 14 años,Población de 5 a 14 años que trabaja,59.476
