año,actividad económica,producción (%),energía (pp),materiales (pp),servicios (pp),consumo intermedio total (pp)
2005,"Agricultura, ganadería, caza, silvicultura y pesca",2.503260688008169,-0.2529506458399249,3.93115322391939,-0.8310041167507211,2.8471984613287438
2005,Minería y extracción,3.664598198313129,-0.9168117156961578,0.1717259914105249,-1.524035425109195,-2.269121149394828
2005,Industrias manufactureras,4.123621676996692,-1.297645298400336,4.402210721348513,-1.083605661595526,2.0209597613526507
2005,"Electricidad, gas y agua",2.459442228354014,-3.118990026788728,0.8305771994957472,1.638214216655476,-0.6501986106375048
2005,Construcción,8.419444403530196,-0.2925366269889049,3.250591593523791,-2.224484601090003,0.7335703654448831
2005,"Comercio, hoteles y restaurantes",5.250468211289938,-0.07313088093399563,3.61121579724708,-0.8256747568199868,2.7124101594930976
2005,"Transporte, almacenamiento y comunicaciones",8.709013223948503,-0.5678795833621351,1.388090580170803,1.174087405041498,1.994298401850166
2005,"Intermediación financiera, actividades inmobiliarias, empresariales y de alquiler",4.925332801038085,0.01449560364560355,0.07710095542772102,3.240892529808632,3.3324890888819567
2005,"Actividades de servicios sociales, comunales y personales ",6.478775798151926,0.0587103943922651,1.543434518224639,4.769664922987815,6.371809835604719
2005,Total de la economía,5.266710463048241,-0.5833046023300249,2.540919681285875,0.6566594867669355,2.6142745657227855
2006,"Agricultura, ganadería, caza, silvicultura y pesca",2.211937060917002,-0.07417352024318817,0.8436584839361352,0.08782790623596626,0.8573128699289133
2006,Minería y extracción,1.941622547332322,0.374650035514222,-0.01479641070876733,-0.05104776315045715,0.3088058616549975
2006,Industrias manufactureras,6.485864690916454,0.6604761492818959,3.340757361850859,0.2007583577545313,4.201991868887286
2006,"Electricidad, gas y agua",3.820747142860714,2.064961548226143,-0.07207997494313047,0.0129313876288937,2.005812960911906
2006,Construcción,11.77404519622725,0.1366257663952629,5.99747909503234,1.907744072133098,8.0418489335607
2006,"Comercio, hoteles y restaurantes",7.985004192117273,0.1061992112496001,1.058006590220297,2.697322033853606,3.8615278353235034
