Fecha,Concepto,Rama,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2005,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",,0.471902576096241,0.36058303408130143,0.10942839951044903,-1.0693743192674958,3.5632122843377374,-4.64498239599574,2.9986265302076447,-0.32011089249607494,-1.4892254068357005,-0.1318585911938186,3.487895014655223
2006,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",-1.0969703724456963,0.45933111725689457,-0.4650245094196066,-1.105779398343472,2.9403702077015055,-2.7165487413542024,2.9765230610199893,0.06456808115842705,0.4194722910005879,0.2812161747306874,-0.11058775451685676,-2.2333684193504695
2007,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",-1.7545154946640338,5.347984941865207,-2.738548426468512,1.3942102635933225,-1.1099378412030774,1.610822979534916,-0.5550858452944141,2.184031491437736,3.353041173316143,-3.511444160954099,4.072589046382632,-1.691243541469845
2008,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",4.265037181764924,-4.346833256992511,-0.20902541681321907,-0.021904935427443206,-0.23726445422435916,0.3279762834759765,1.85567066925843,3.3046042206001545,-1.5418938038023242,0.08885177187198678,-6.04185937474125,4.505222215609919
2009,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",-0.9683252509792339,5.63978961123199,-1.3626307129936492,2.153178618339922,-2.393740484029678,-1.11104692886353,7.033648236428135,-3.3104937194549393,3.1568367819885026,-1.855377210209312,2.149333239931366,5.414543309787462
2010,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",-6.770723486301051,2.6182197264733986,1.8565229293826064,0.20999632027265136,1.2224886042348828,-1.7854478769612143,-0.3603967255263427,0.9195707918162555,0.921188315520638,0.765485192861064,-2.7144338277581,6.191774885666916
2011,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",-0.4164853833329829,2.3491709989753105,-0.3149169784293804,0.5006630565925718,0.7241160381075815,1.083152003666271,-0.2289614188366187,4.183980362547018,-4.013296875402332,2.5830870284840017,0.12019244213740876,-0.542286383766097
2012,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",2.6132656273691452,-1.0805093467251936,1.5041934640047145,0.3678559362119813,-0.9099734440423504,-0.6396815105706679,0.26976134800915474,-3.3519311518094668,5.367125696930543,-1.2177169634012301,0.9238363540923018,-1.7105476627222345
2013,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",7.215242073990694,-4.261124162901851,0.667713522392674,2.730253721071165,1.9395643542329424,-2.0073301174438427,3.3160884028371242,-4.426276225265227,1.1626320031082429,0.8788796723318484,0.5551029457016199,2.0935214685076744
2014,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",-1.081545347091108,2.4613911238165826,-4.378058199642453,-0.9035518399144706,-0.29350601630846995,0.6432401054001389,0.6465080530253715,-1.9958603880044166,2.31494448018114,1.291780535726602,-3.8545380757936414,3.7591510855567805
2015,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",0.9316716254013357,-1.3840366295144264,-0.2743528889013902,4.17142545215161,-2.5901520393156545,-1.6835402065971294,1.5445359493235316,-2.7055725813169005,2.2611477695660938,-0.09632367569652445,-2.292140805547291,2.454052355064931
2016,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",-2.7311579124045835,4.24779677692004,-2.4707427674128297,-0.1087447697507713,-1.5747365919107637,1.308134256228513,-4.206474435741114,10.390231096548547,-0.8968863381512335,-3.1066502313593105,2.0056169922085587,-0.33539207814295935
2017,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",-1.6963899156149296,2.3945609127897143,-2.4045395123320077,-1.863831268140018,2.376137980587913,3.285610751990916,-3.563827963786906,2.9751960628373837,-1.357314372626206,-0.6603795610105863,-1.8947114038520851,0.12542285492888539
2018,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",0.23396061324170603,0.6089586709871782,1.377697300711418,-1.1123549533134849,0.9929780612206542,-0.04743860443457493,0.4506190224523152,0.023618741346268735,-0.48888423273447756,-1.638062481920727,1.7997769247281497,0.13120556042758835
2019,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",2.0699113183960236,-1.10968279195383,-1.6573749924060195,2.647498605973823,1.1143380559827847,-3.529406045311106,2.2760986203323768,0.44885364319284804,-0.8817474644276189,2.563006268659791,-0.8770340012920599,-0.31339072465708284
2020,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",1.3817293215921893,0.938994497515111,-8.552117638472396,-5.890666338861365,0.806576227288275,0.9692950087268457,2.36786007306722,-1.0388055434548704,2.391216902245759,-0.7457046223542392,-1.672355789924623,6.7949583995650045
