Fecha,Concepto,Rama,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2005,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",66.11590986713148,66.47793958207498,66.78294047635563,66.80265791445972,66.1656073052675,68.55060587003912,65.28139153792283,67.28227299760826,67.03597388973184,66.05286149846748,66.03565246087535,68.23079950228063
2006,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",67.41759124679396,67.77099423474083,67.52845272455565,66.71664588859038,68.7717015892027,66.90963854956891,68.81301750747699,68.90901987855948,69.17092773117395,69.38434618219628,69.36868379052376,67.72442745879984
2007,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",66.48767785581299,70.07491847907343,68.22127730763513,69.11392532676952,68.43908237138989,69.53473150803593,69.05226633839017,70.61565734766384,72.9652383330647,70.43355852039272,73.33593885922018,72.0177351467299
2008,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",75.05582598685811,71.88280317828539,71.71007030141487,71.66301703686156,71.55833264151175,71.78846167192914,73.01315032740929,75.48072213655651,74.31298161149915,74.41117860827353,69.92779626764253,73.02465418482359
2009,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",72.3276439303953,76.4161405928168,75.43471160526259,76.97741276342784,75.18950735721897,74.36593705862037,79.48894995338514,76.90038008339776,79.31977779611987,77.89127569970078,79.57031685201085,83.83671686878647
2010,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",78.22088596239013,80.26722778038605,81.82178372761079,81.87120337835904,82.89591161228404,81.44560440897234,81.0504722749279,81.82810713917328,82.55124785294487,83.23065438551949,80.98570265005651,85.94104624411246
2011,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",85.68665309096598,87.67999879241974,87.47215439739115,87.74788741010262,88.38909298720135,89.40618868778812,89.0946097217947,92.89043146602755,89.17184939500771,91.67700504307476,91.77345377610003,90.96605951009697
2012,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",93.04144991229342,91.9728641677841,93.51070461780094,94.21428108621139,93.59487034646679,93.1765263749681,93.20780328055122,90.04114097782916,94.76463832742292,93.72623374936644,94.65276443637764,92.89861513136238
2013,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",99.72125526318891,95.37713919842895,96.05160494113333,98.59528044290569,100.39503313503451,98.46967978333304,101.62770778647192,97.14326114337904,98.16989358135127,99.14185324485499,99.76780394722839,101.71613320740835
2014,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",100.78836599843959,103.18248971741293,98.75966073661398,97.85410909832417,97.4687686241276,98.17391321025787,98.71512579502222,96.78232406644548,98.94582086055495,100.33311372447437,96.54992551975576,100.02666901633701
2015,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",101.07943689762034,99.55320688186548,99.38610018103682,103.54937267056503,100.79030211569484,99.15501001578433,100.56780005865413,97.892923765825,100.03777143798177,100.10599713292227,97.81606793508062,100.0660109069691
2016,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",97.4193803972099,101.52588899312367,99.02102962307612,98.98923243048871,97.36103564315958,98.7077318611584,94.42617168386231,104.28970451632684,103.28883691300473,100.29287902635586,102.23234930109635,101.7314067584248
2017,Actividades primarias,"Agricultura, ganadería, caza, silvicultura y pesca; Explotación de minas y canteras",100.09932419479163,102.36528112783496,100.0645752315412,98.19949768219922,100.51605721627848,103.91334879362122,100.05591670102918,103.07859804133356,101.61585941514228,101.23773299070315,99.16999169158669,99.03306653012979
