Fecha,Armenia,Barranquilla A.M.,Bogotá,Bucaramanga A.M.,Cali A.M.,Cartagena,Cúcuta A.M.,Florencia,Ibagué,Manizales A.M.,Medellín A.M.,Montería,Neiva,Pasto,Pereira A.M.,Popayán,Quibdó,Riohacha,Santa Marta,Sincelejo,Tunja,Valledupar,Villavicencio,Nacional,Cabeceras,Centros poblados y rural disperso,13 ciudades y A.M.,Otras cabeceras
2012,112411,108090,128834,132219,100772,110237,101158,98918,107901,99033,106581,105124,111936,112734,107715,123275,121051,95706,117591,94863,131323,102936,124765,102755,109896,80685,115823.0,101207.0
2013,110063,107153,130327,133051,100991,108457,97476,97865,107303,97630,106060,103856,111226,110864,107129,121810,120297,98147,116628,94043,130582,101051,125157,102395,109642,79889,115921.0,100496.0
2014,114767,112370,134722,138702,106306,113193,100022,101941,111603,101291,110495,108668,116994,117790,111528,128820,125765,102387,120902,97898,135563,104649,130086,106764,114183,83627,120520.0,105016.0
2015,124875,123311,144950,149865,115876,124295,108684,111164,120408,110023,118028,120085,127040,130400,119829,140144,136310,111877,130679,109059,144826,114965,139934,115724,123516,91323,130194.0,113930.0
2016,143175,137179,160486,166447,130645,135241,123919,126502,135590,126046,132485,132871,142513,145792,136468,156614,154276,125425,144117,120379,164230,126902,155553,129863,138316,103283,145120.0,128625.0
2017,144541,137056,162121,167043,131915,132303,119517,127315,132657,126201,134006,128397,140593,144949,138636,157812,153321,120347,143834,115438,163025,123339,152944,129618,138214,102479,145627.0,127742.0
2018,144871,138845,163173,170087,134076,135144,121746,127249,131995,125844,134293,129149,140730,145360,138520,157380,153745,120746,144704,117965,162223,123698,153840,130297,139005,102638,146798.0,128083.0
2019,151421,144826,170382,178758,143901,141812,130940,133889,138318,130798,141366,138720,148788,153261,144552,166465,160851,129344,152977,125458,169025,130778,160699,136638,145852,106922,154225.0,134187.0
2020,160014,152408,178603,184634,152429,147672,139395,143048,146454,137889,149341,145949,158235,162098,154132,178432,171695,137665,159177,130228,177166,136619,168282,144290,154041,112394,162136.0,142834.0
2021,185355,168276,197922,210141,169868,161456,156097,166557,165804,156070,164083,160210,181199,182243,175457,208933,192327,151262,178741,140263,194631,153480,192130,160302,171783,122365,180166.0,160266.0
2022,228493,210265,246192,262273,210484,200447,202053,204532,208519,193519,204731,200041,226054,224363,218483,252421,238374,190895,221740,174781,248277,191919,237808,198698,213624,149024,224581.0,198672.0
2023,247775,231486,273519,288120,229469,221105,217426,218957,224416,211015,224464,220097,243448,249831,237819,274916,260692,208018,242946,195284,272386,211040,257456,218846,234425,166677,247143.0,217163.0
2024,259229,239773,286314,300883,238265,228830,223602,223360,231853,217228,232233,225367,254357,251155,246319,282409,267290,209475,248619,200418,283507,213341,268089,227220,242389,176154,256921.61436848846,222730.47265273728
2025,271559,251022,298554,314068,247372,238308,233727,233493,241954,227129,240728,231745,261286,258788,255785,294767,277355,219709,257393,207525,290224,223455,281651,236580,252052,184259,267548.0,231148.0
