Fecha,Nacional,Cabeceras,Centros poblados y rural disperso,13 ciudades y A.M.,Otras cabeceras,Armenia,Barranquilla,Bogotá,Bucaramanga,Cali,Cartagena,Cúcuta,Florencia,Ibagué,Manizales,Medellín,Montería,Neiva,Pasto,Pereira,Popayán,Quibdó,Riohacha,Santa Marta,Sincelejo,Tunja,Valledupar,Villavicencio,Barranquilla A.M.,Bucaramanga A.M.,Cali A.M.,Cúcuta A.M.,Manizales A.M.,Medellín A.M.,Pereira A.M.
2012,5.0,3.1,10.9,1.9,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,4.4,2.9,9.2,1.9,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,4.2,2.6,9.0,1.8,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,4.2,2.6,9.3,2.0,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,4.6,3.0,9.6,2.1,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,3.9,2.6,8.0,2.0,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,4.0,2.7,8.4,2.2,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4.7,3.1,10.1,2.5,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,8.1,7.6,9.7,7.9,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,5.5,4.6,8.4,4.1,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,5.3,4.2,9.1,3.4,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,4.9,3.8,8.5,3.0,5.0,2.9,2.6,2.6,3.5,3.0,5.8,3.0,7.3,8.7,1.6,2.9,3.0,5.9,2.7,2.3,5.0,12.0,8.9,4.3,3.5,2.7,7.4,3.6,2.6,3.3,3.0,3.0,1.5,2.6,2.4
2024,4.5,3.4,8.4,2.5,4.5,2.2,3.1,2.1,3.1,3.5,5.2,3.0,5.4,5.4,1.6,2.0,2.2,3.0,2.5,2.4,4.4,11.8,11.0,5.0,3.5,2.2,4.8,2.9,2.9,3.0,3.5,2.9,1.6,1.7,2.2
2025,3.7,2.5,7.6,1.8,3.4,1.8,2.2,1.4,2.7,2.7,3.4,2.3,5.2,2.7,1.1,1.4,2.2,2.1,2.8,1.8,4.0,13.7,9.6,2.3,3.1,1.9,3.2,2.5,2.4,2.2,2.7,2.1,1.0,1.2,1.8
