Fecha,Duración - Deuda interna,Duración - Deuda externa,Duración - Deuda total,Vida media - Deuda interna,Vida media - Deuda externa,Vida media - Deuda total,Cupón promedio (%) - Deuda interna (COP),Cupón promedio (%) - Deuda externa (USD),Cupón promedio (%) - Deuda Total
2001-06-30,,3.6,,5.04,5.7,5.378767340291953,14.860000000000001,9.42,12.067735861836026
2001-07-31,,3.71,,5.06,5.63,5.357428804676884,14.56,8.690000000000001,11.49700511674859
2001-08-31,,3.71,,5.06,6.03,5.574791361422235,14.93037805529922,8.650385758460216,11.597506112813761
2001-09-30,,3.716378656279911,,4.903275153999561,5.995895916692787,5.56278996045403,14.622267850414458,8.729148027333006,11.48167974323044
2001-10-31,,3.101265215944742,,4.873699155405153,5.913371876966496,5.396952828638094,15.706815434887556,8.106900340920815,11.881877637919565
2001-11-30,,3.7888928268773006,,4.870663655634798,6.104509985750989,5.486415002708403,15.179298254518855,8.404045416017745,11.798106480273791
2001-12-31,,3.787212087002569,,4.410641599016643,6.313612327643255,5.334531856564886,13.131749433731876,10.071754654341177,11.646125234526306
2002-01-31,,3.760038521434012,,4.3588932448250235,6.23,5.25257225084205,12.100726928999563,10.913947688730167,11.533896795511849
2002-02-28,,3.7904425730810867,,4.50025603457851,6.177486463672088,5.287277436020476,12.723146691436812,10.167401571803863,11.523892211616158
2002-03-31,,3.8141187033790187,,4.549943350407354,6.150733921232841,5.288989053859614,10.017681428919435,12.418265359657527,11.125972089873068
2002-04-30,,3.8161431849814664,,4.5515760951876,6.075895881879061,5.255747820006285,9.485457594262718,12.920125651079688,11.07212999126546
2002-05-31,,3.827836719077489,,4.622672584003076,6.109904462588215,5.288721265554999,10.901997636016484,11.084512254125364,10.983735811822006
2002-06-30,,3.843356197632428,,4.7,6.12845324751578,5.343774529228481,12.988896019327054,8.278769544156253,10.866138792632317
2002-07-31,,3.713210678786507,,4.641624907661223,6.13755579513352,5.355834506875112,13.258304595872,8.911105330575223,11.182799991366652
2002-08-31,2.668,3.7,3.168440254186052,4.4,6.2,5.272860908464044,12.6,8.799999999999999,10.757293637687019
2002-09-30,2.5,3.6,3.046592679534669,4.4,6.1,5.244734141099034,12.6,8.9,10.761460987019747
2002-10-31,2.4559869386957,3.687167604221504,3.057906828847096,4.455738297792824,6.143025657103326,5.280647143755147,13.182573919787199,8.674885913320145,10.978781133185361
2002-11-30,2.420570634901692,3.7164235265891103,3.051764127696985,4.365981063727466,6.054628195444977,5.188499644350916,13.612568222366999,8.659298017684215,11.199893187022985
2002-12-31,2.2711277865428054,3.926077492794476,3.0842252595970634,3.971287613043079,6.321544037891783,5.125997966388047,14.0277455869863,8.74934551565043,11.434401666285945
2003-01-31,2.2992898352536177,4.184737696384624,3.252613066768988,4.122501798188701,7.044863156867946,5.600110928382607,14.3703236997013,8.785941960459036,11.546739470500517
2003-02-28,2.384189323434281,4.099279685852152,3.2603862953328897,4.186866422937967,7.086503517524736,5.66821883302328,14.056651263206298,8.747635023848964,11.344407025458045
2003-03-31,2.53645576867271,4.124774415974846,3.330678574358889,4.3264358858722325,7.000585160130583,5.6636174035939195,14.6529626598872,8.703018446183366,11.677752745232594
2003-04-30,2.4745731051683135,4.124774415974846,3.3054453592392754,4.225342991440942,7.000585160130583,5.622670518204908,14.513981597281699,8.703018446183366,11.588176109152121
2003-05-31,2.4745731051683135,4.1129205016195565,3.289223670170781,4.1588029288305775,6.849413655406766,5.496680080742799,14.2403034293397,8.592035397014325,11.43176309547274
2003-06-30,2.6076986324505675,4.030273029528308,3.295067979993129,4.1910170797113295,7.075723934877399,5.584869712628283,13.745943150172902,8.615807058046624,11.267128470467485
2003-07-31,2.552882854068959,4.0183317990862495,3.2643657533603316,4.099405811727346,7.2963865198623274,5.651556168746863,13.3144313910269,8.613017066744314,11.031870879052807
2003-08-31,2.432924889754469,3.9574892482726067,3.1718253586338996,4.068060519810269,7.227133103743606,5.599147220381805,13.273108858058,8.854590206641836,11.131614807615083
2003-09-30,2.392431286934047,3.840289266268214,3.1061314735956644,4.004216638328711,7.180300863885726,5.569820404020904,12.9955935647661,8.570790128295492,10.81445212435886
2003-10-31,2.4045995903607857,3.849230262424617,3.1172523046872316,4.024184716311258,7.1473890512964395,5.564896878779429,12.8429338094833,8.585968810600688,10.74292463764957
2003-11-30,2.394562973138739,4.108323978277696,3.2321713024856087,3.984621354044637,7.1648645334413645,5.538979382044744,12.652602815456401,8.986154871359444,10.860610041736294
2003-12-31,2.3322475692128,4.240993924565673,3.2530776504501793,3.9155259295475378,7.234847274268634,5.516854956288457,12.359831300735399,9.104882426819856,10.789557268470356
2004-01-31,2.396496650688312,4.293374596145472,3.309023363279657,3.918565720026945,7.620567738238138,5.699479320596338,12.2009943857583,8.943929633314768,10.63412573278963
2004-02-29,2.4193303494122067,4.3989813300062215,3.348514749796184,3.8681925889077133,7.578594589792831,5.609735766049699,12.2052801422087,8.915874167812088,10.661338938480927
2004-03-31,2.412517229041507,4.170935076875721,3.2177971421205074,3.8294223426591074,7.545096220063791,5.531041523055677,12.1540690806377,8.958828732755968,10.69078612273445
2004-04-30,2.4330944163831183,4.366156228457629,3.3106785581934703,3.834859507419177,7.464941615017497,5.482868107660973,11.8324924226749,8.61112402940861,10.370034368203427
2004-05-31,2.481957175093097,4.354397870425897,3.3511075581587297,3.834859507419177,7.376622717327543,5.478876782995691,11.7786732447844,8.595448860080896,10.301082685977853
2004-06-30,2.594761238746347,4.291158963072706,3.3873606527862314,3.9029828562597126,7.289992211123409,5.485478276712253,12.127637837367,8.595117962060113,10.477156265090478
