Fecha,Inflación
31/01/1991,22
28/02/1991,22
31/03/1991,22
30/04/1991,22
31/05/1991,22
30/06/1991,22
31/07/1991,22
31/08/1991,22
30/09/1991,22
31/10/1991,22
30/11/1991,22
31/12/1991,22
31/01/1992,22
29/02/1992,22
31/03/1992,22
30/04/1992,22
31/05/1992,22
30/06/1992,22
31/07/1992,22
31/08/1992,22
30/09/1992,22
31/10/1992,22
30/11/1992,22
31/12/1992,22
31/01/1993,22
27/02/1993,22
30/03/1993,22
30/04/1993,22
31/05/1993,22
30/06/1993,22
31/07/1993,22
31/08/1993,22
30/09/1993,22
31/10/1993,22
30/11/1993,22
31/12/1993,22
31/01/1994,19
28/02/1994,19
31/03/1994,19
30/04/1994,19
31/05/1994,19
30/06/1994,19
31/07/1994,19
31/08/1994,19
30/09/1994,19
31/10/1994,19
30/11/1994,19
31/12/1994,19
31/01/1995,18
28/02/1995,18
31/03/1995,18
30/04/1995,18
31/05/1995,18
30/06/1995,18
31/07/1995,18
31/08/1995,18
30/09/1995,18
31/10/1995,18
30/11/1995,18
31/12/1995,18
31/01/1996,17
29/02/1996,17
31/03/1996,17
30/04/1996,17
31/05/1996,17
30/06/1996,17
31/07/1996,17
31/08/1996,17
30/09/1996,17
31/10/1996,17
30/11/1996,17
31/12/1996,17
31/01/1997,18
28/02/1997,18
31/03/1997,18
30/04/1997,18
31/05/1997,18
30/06/1997,18
31/07/1997,18
31/08/1997,18
30/09/1997,18
31/10/1997,18
30/11/1997,18
31/12/1997,18
31/01/1998,16
28/02/1998,16
31/03/1998,16
30/04/1998,16
31/05/1998,16
30/06/1998,16
31/07/1998,16
31/08/1998,16
30/09/1998,16
31/10/1998,16
30/11/1998,16
31/12/1998,16
31/01/1999,15
28/02/1999,15
31/03/1999,15
30/04/1999,15
31/05/1999,15
30/06/1999,15
31/07/1999,15
31/08/1999,15
30/09/1999,15
31/10/1999,15
30/11/1999,15
31/12/1999,15
31/01/2000,10
29/02/2000,10
31/03/2000,10
30/04/2000,10
31/05/2000,10
30/06/2000,10
31/07/2000,10
31/08/2000,10
30/09/2000,10
31/10/2000,10
30/11/2000,10
31/12/2000,10
31/01/2001,8
28/02/2001,8
31/03/2001,8
30/04/2001,8
31/05/2001,8
30/06/2001,8
31/07/2001,8
31/08/2001,8
30/09/2001,8
31/10/2001,8
30/11/2001,8
31/12/2001,8
31/01/2002,6
28/02/2002,6
31/03/2002,6
30/04/2002,6
31/05/2002,6
30/06/2002,6
31/07/2002,6
31/08/2002,6
30/09/2002,6
31/10/2002,6
30/11/2002,6
31/12/2002,6
31/01/2003,5.5
28/02/2003,5.5
31/03/2003,5.5
30/04/2003,5.5
31/05/2003,5.5
30/06/2003,5.5
31/07/2003,5.5
31/08/2003,5.5
30/09/2003,5.5
31/10/2003,5.5
30/11/2003,5.5
31/12/2003,5.5
31/01/2004,5.5
29/02/2004,5.5
31/03/2004,5.5
30/04/2004,5.5
31/05/2004,5.5
30/06/2004,5.5
31/07/2004,5.5
31/08/2004,5.5
30/09/2004,5.5
31/10/2004,5.5
30/11/2004,5.5
31/12/2004,5.5
31/01/2005,5
28/02/2005,5
31/03/2005,5
