Concepto,Grupo,2004-01-01,2004-02-01,2004-03-01,2004-04-01,2004-05-01,2004-06-01,2004-07-01,2004-08-01,2004-09-01,2004-10-01,2004-11-01,2004-12-01,2005-01-01,2005-02-01,2005-03-01,2005-04-01,2005-05-01,2005-06-01,2005-07-01,2005-08-01,2005-09-01,2005-10-01,2005-11-01,2005-12-01,2006-01-01,2006-02-01,2006-03-01,2006-04-01,2006-05-01,2006-06-01,2006-07-01,2006-08-01,2006-09-01,2006-10-01,2006-11-01,2006-12-01,2007-01-01,2007-02-01,2007-03-01,2007-04-01,2007-05-01,2007-06-01,2007-07-01,2007-08-01,2007-09-01,2007-10-01,2007-11-01,2007-12-01,2008-01-01,2008-02-01,2008-03-01,2008-04-01,2008-05-01,2008-06-01,2008-07-01,2008-08-01,2008-09-01,2008-10-01,2008-11-01,2008-12-01,2009-01-01,2009-02-01,2009-03-01,2009-04-01,2009-05-01,2009-06-01,2009-07-01,2009-08-01,2009-09-01,2009-10-01,2009-11-01,2009-12-01,2010-01-01,2010-02-01,2010-03-01,2010-04-01,2010-05-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-11-01,2010-12-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01,2025-08-01,2025-09-01,2025-10-01,2025-11-01,2025-12-01,2026-01-01,2026-02-01,2026-03-01,2026-04-01
INGRESOS TOTALES,,2907.9489260652626,2836.2042578256255,3183.417424282862,3641.192510914612,3690.743560984806,3914.686834249356,2983.777731306484,3436.9093417083377,4110.436358831933,3284.359786998468,3115.107717776919,2847.0157356834025,3548.5832860769046,3211.5538311423375,3221.0372557808946,4269.252734461358,4086.5924909643995,4701.035345679035,3304.7653660564897,4695.433223848302,4217.827420366928,4037.3913406931656,3317.5070574618494,3265.1857092127366,4533.049306976126,3684.4030739175246,3886.6903460703534,2403.3807272881845,7393.508854621553,5335.028349167317,5981.144530824802,5584.936143499803,4984.233900817891,4237.5918911652225,4178.72055930137,4144.121058049928,5856.403631607376,4271.059150848813,4659.772123373053,3599.344554533097,10101.632368412482,5731.281306768806,5184.808098767874,6515.822816438368,5091.876381810636,4108.216809375467,5351.076826804999,4233.960492347399,9933.187765392104,4826.152580280918,5132.508529026795,7233.9338529907245,6248.256939451157,6322.973838699811,6509.307308454853,4889.460670896028,6694.194661615762,5650.100725232035,5559.072746139293,6059.489543256879,7450.247742254309,4694.403119148747,5193.119470755761,10289.265925840506,6039.915587330736,6660.466104750657,5450.400371495653,8724.581927795352,6460.3000142623,4030.1215126356346,5474.490609649102,6688.1989055955555,8131.389642695319,5699.0067792234795,5690.530298663799,7468.217499782836,6504.247256094441,5639.188977767957,6078.180636918522,6580.9461679579,7009.612704809157,4542.164588758296,5975.099149414087,5638.436447625377,8802.27639422587,5352.509257871041,6426.811360053984,11244.933907681441,9251.85159022991,9500.97988347186,8729.915676486931,5175.790293102097,10231.664219626167,6572.920334913744,7692.487865716012,5265.090877075409,8779.393286906829,6562.646935616622,6746.677891288916,17680.228588964594,9424.309256831271,13981.262697841574,10894.798864468856,5500.594815654206,9263.262252676666,5052.547473023802,7739.529077317671,5440.749875362877,13423.773391360812,7915.88498500139,6824.921081777821,13878.697439250504,9969.085524474449,14287.935807233433,8257.58243119313,6442.046661533646,12492.068629206431,7246.9946163644845,9974.474650795137,9030.898729858243,13247.969382424053,8875.698596199454,8013.786210433573,12519.15180260513,11789.186907239771,11213.669004096962,10126.87290501931,7503.46936668315,13967.965171555184,7568.044425414668,10830.483733393095,10247.259980175502,12820.058950701017,7162.096230272803,8649.524963721875,13668.279277854659,12694.218197427414,12303.993211569115,12875.12450445489,6974.912633870447,13808.948138269467,8623.372122048966,11177.714756503821,8562.825483499877,13827.405845130057,7100.152543847988,9744.193646743302,13743.1546723344,13042.84280302079,13449.580788485051,9727.028761833775,6633.43206474663,13088.850497808828,7038.088252987405,10193.190905571884,10779.1648610957,13570.34703245448,6944.105154863462,10040.819984152111,14533.572418481643,14294.900921883213,13558.123862191087,11387.437100248926,11697.5523747279,18430.259203053043,7512.196929914886,11796.182607508694,10296.947671433378,15455.59673386659,7717.8463138360885,11385.147934979497,14320.800221141539,13862.04456036665,12959.718685683434,12397.717519749718,8272.090734391248,15989.888215994846,8379.035116919034,13070.58864122694,15481.751923826689,16338.143591656715,9991.234062918376,14499.200868188707,16612.257006648855,15577.016029590823,17255.852069009285,14291.538816838578,9182.484073786192,19915.745472552393,9178.714763807302,14076.051192604724,14943.007376641828,18976.740911271187,11100.838415271008,18539.92120160185,11352.533685183967,12687.278995806013,10587.174966514447,10549.735365458953,7953.720545172402,14196.929062055788,9785.78392137351,14914.981340436592,11922.56725149204,17424.056948004963,9996.065347534228,20169.75793448212,14692.713757800851,15928.795382002147,13873.467518827776,14976.359976296195,24433.22314281429,17288.777285772383,11346.039835727981,18569.54836767519,13359.597354266227,22029.39443500139,13233.87530702684,17409.71680651985,22863.86762120423,21616.76797161826,24389.420813762168,23464.221900971716,16211.229043448726,24302.21896966184,15768.857115418048,21644.78515088189,15328.520993567157,26667.76000350275,15371.470515544344,22105.421241481876,32171.363382474425,24988.501743978894,35579.07096689265,25654.031979913056,23205.499138013718,33966.8335909057,16009.013727090965,21280.652847431797,19365.696700865745,29720.997212940045,18077.64209549491,30113.962262185287,22857.113719835677,28417.64968700288,22306.342073180796,28230.1716250252,14613.897625077572,28804.57307088331,14640.15543714594,21411.2615167187,22266.458481124446,29549.46623460461,17277.316162240742,30891.654292868647,25305.90714933368,31647.80158647991,24181.43860703448,31330.07622041114,17440.16722830121,29945.73300093848,17119.190716318135,21168.708327349836,26907.624288895848,32527.800793765375,18811.594909594056,37156.9273347995,24662.990415890337
Ingresos corrientes de la Nación,INGRESOS TOTALES,2792.9696700718487,2726.6518383640005,3064.868476418,3524.2665928039996,3595.302306081999,3789.7449166260008,2873.451763714,3333.007861867,2932.938148230534,2725.400435733,3009.242487,2569.2955738100923,3401.3354436310005,3124.32221919,3121.1178810250003,4144.949974307999,3983.6931310630002,4558.815884085666,2942.643264049,4155.718897412001,3359.205118451,3434.1346919810003,3168.2919721030003,3123.6470946570007,4285.005172826001,3531.415634491,3785.379975897,2183.0795612589995,7152.979819338,5090.451317020001,4372.522311782,4691.713211341001,4295.858059208,4043.869948612001,4039.3225850109993,4002.845564392999,5726.225175020999,4158.490269282001,4383.325896028999,3393.334234925,7993.747489817001,5100.71049592,5013.4519336719995,4885.854674619001,4979.867473111999,3949.458665569001,5196.267466918,3468.296230364209,7487.81811109,4444.398299599,4847.519026665,5980.923764444002,6087.248220026,6061.395501081001,5252.616074029001,4740.283094412,6296.6682722840005,4377.030051464001,5397.558745857,4024.384612969,6387.817575755,4358.888167591,4993.390409588001,7371.866469296998,5792.409378088,6524.628002313,5228.232247877001,5922.624808591,6310.9279136939995,3824.057601111,5215.847909083,3728.309487126,6813.061553126002,5197.1777676520005,5301.665064134999,5753.471954657,6418.524243722001,5477.794188670001,5870.403348266,5353.911726765999,6865.672362230999,4347.9048955709995,5777.482272617001,4231.217995641,7978.680268938,5028.940417216,6255.309811374999,9239.803256582001,8749.512933526996,9488.562764892,6725.823551836,4831.684936329899,9129.712426181,4574.609738058,7402.968506181999,4971.975141344102,8573.207524131001,6029.681966362001,6575.774784812999,13822.886087860003,9088.153790913,13414.681657576002,7235.281867407999,5184.476643574001,9076.259463804,4718.280764523,7500.3255593819995,5126.941111550999,9321.59095892,7405.22347905,6628.752656124,12124.299414092,9797.709379213,12598.681954246002,8057.912437353,6275.974345687999,10733.255103756,5312.3572451049995,8145.2818134089985,5362.233118303001,11399.459560754998,8315.625431466,7860.572904761,12146.855520368,11324.684611015,11014.009177207996,8709.247763989999,5599.600508612,11930.500329008002,5657.77701791,8870.574427671998,6129.197064953004,12536.257678893999,6336.489279325,8563.489241529003,13297.786380844002,12663.182360239,11711.663408370998,9347.557994710998,6501.415114375001,13527.200338153,6646.3277382549995,9360.647730146002,6591.825503415999,13458.243963223997,6524.593338218,8742.065243912,13447.076127901999,12530.47035849,12946.294777049003,8729.082925257,6240.119375628,12646.910773123,6285.004469065999,9666.950086863,6764.728426716999,13214.581654825,6238.18208688,9958.341204963233,13605.958624018002,13995.475327856002,12656.399647526618,10682.377549769999,11391.18807143451,14986.011177182403,6834.519639527151,11550.929139118016,7294.538040728446,15301.671832784,7088.938811829999,10367.137368394973,12535.34031882988,13034.634996661998,12304.885752219001,11699.274432637534,8129.251177355831,14096.220953454998,8079.457905147661,12388.69272407239,10988.1431115308,16285.43771939329,8640.371261226166,11612.414247359568,13087.137180406198,15295.806960382819,13686.469175012873,13450.06261265056,9085.194949623949,16285.249060965252,9126.768010031965,13849.513601575822,9490.558851107633,18753.160647573095,9925.949238223617,12065.91277695884,10022.48452537563,11545.969529097785,10101.710420268197,9386.518530436004,6602.095761803532,12976.105235167513,8176.2938700735585,13513.835279410174,9350.921605145066,17562.77665086589,8964.61234535287,12857.928438582247,13766.712433593664,15670.848863945828,13254.311858670468,13941.638931399972,10330.326512244505,17454.323984182138,10384.76238473124,16877.61847151101,12613.574700697758,21861.49384174073,11917.823903110735,16702.0615416375,20756.70715991387,19639.755617430503,16754.156849910003,21464.021689247,13892.574366442474,22535.52616920883,13575.551703301531,20298.241296065506,13904.773859974659,27538.769856969768,13722.883398371501,19361.560892109337,31194.339626535377,25018.52584597416,26159.61569977504,24651.590290127602,22120.16880384315,25719.375998536285,14100.668213143117,20763.915533300806,14035.814799687903,28859.972083541994,14257.565842718099,20682.4094288644,18271.093315969232,28058.655709463477,16970.846439302022,27916.15853575578,13716.19076237595,25798.44099475666,14252.742371765655,19519.56446591502,18631.58870624827,28947.054080459457,15061.125639663238,20519.041508695664,20365.046587598597,30391.701982022194,20508.348529339215,30985.811208582978,16088.245918131843,29743.345157628934,16393.89758526587,20761.533632967956,22931.104599534952,31511.942992969016,17778.727648319742,23577.8522622398,19997.924488262335
Tributarios,INGRESOS TOTALES > Ingresos corrientes de la Nación,2778.469309928,2710.0341040440003,3048.766281237,3515.5434952499995,3579.9390290359993,3764.417322893001,2851.828132943,3319.305839222,2916.428711384,2706.773981287,2990.402318766,2553.5793363840003,3385.8716570790007,3112.023147647,3110.995984813,4125.448624521999,3923.281190225,4541.918287885999,2926.409529429,4138.105075312001,3342.934692659,3420.821023026,3150.3047266340004,3110.3101540520006,4266.801960603001,3519.3653692710004,3767.738386945,2158.5056597229996,7126.880729154001,5074.548788242001,4330.545413123,4660.001598231001,4278.03461067,4023.544990985001,4025.7538580959995,3989.1504298609993,5706.384695298999,4144.135378821001,4368.445697078999,3361.349181139,7973.641557900001,5083.380235367,4991.139768726,4863.207871786001,4965.428996311999,3933.1911401840007,5168.859385123,3306.872565727,7426.515227018999,4415.411051047,4798.128608194999,5940.576693999002,6044.505454751,6015.167043239001,5198.930096800001,4710.861544232,6266.5332994380005,4335.110645971001,5365.915175588,3830.938222374,6354.954907253999,4328.521009724,4960.411274531,7307.360085500998,5769.217082332,6488.6329433,5188.895283707001,5898.232046637,6274.408740960999,3772.3872541180003,5176.1594306219995,3676.805733346,6780.940696592002,5110.341771208001,5217.032488950998,5712.914915673,6398.122271767002,5462.732613639001,5826.660668150999,5295.178999006999,6829.192419857999,4297.0960640329995,5745.413172543002,4105.781472743,7934.092851389,4987.930814817,6233.504252700999,9215.412430105001,8701.233041418996,9455.60296934,6682.038006684,4783.778770967899,9053.772415638,4530.021569507,7336.3512879909995,4894.1347493641015,8443.646551781001,5943.710517527001,6545.741070032,13786.524363832003,8933.985375936,13341.143444811003,7191.368853996999,5058.387068987001,8968.717790703,4663.357367248,7405.121574184,4857.549963072,9278.219087452,7353.502356982,6559.175106683,12073.232900074,9667.836463027,12406.902928020001,8026.30547123,6131.674010155999,10686.236202609001,5273.646187558,8088.620956253999,5234.587449375001,11363.032180239998,8221.89524976,7823.782962491,12107.639849035,11295.14253819,10983.946295217997,8679.020133574999,5560.336189097,11896.105881732003,5627.398217475999,8851.293135709999,5932.890366052004,12449.689635759,6247.180384874,8539.166820541002,13250.860546308002,12621.782484771,11664.566860080999,9305.100173245999,6474.983615684001,13463.974873686999,6607.363350615,9331.513279857001,6446.969436496,13402.407339472997,6496.045064626,8677.581125883,13377.751183085998,12484.703922998,12845.922557858003,8698.306842983,6168.667763579,12618.722593278,6246.445549172999,9634.173120392,6677.8498435229985,13164.216612474,6186.662483923999,9722.601539361001,13538.158737898002,13944.828989004001,12616.147325226999,10629.270748427,7057.207958581,14643.385720954,6778.131905105,11432.415513240998,7244.842209581,15243.919822180002,7058.263931144999,10305.632009818,12404.035363877,12933.266604446999,12214.615521786001,11648.562994930002,8084.251001030002,14068.184342280998,8009.395604063661,12350.072634984997,10866.97294392,16194.475905644,8483.638914079,11567.238376461,13036.822377746,15215.869326532,13571.844993048999,13264.445594356002,9010.183895054,16235.28791149495,8895.397577641997,13645.409979480999,9297.410324356015,18660.362180604,9777.639763314,11941.844813147032,9922.484782638001,11504.369116884996,10070.038685964968,9177.686522786998,6578.959399601999,12700.282561757,8059.254864872999,13315.643108154994,9054.377830592199,17487.834472118,8893.010744572,12691.153440234,13703.895484276,15499.830123266003,13017.655318565994,13830.250714616996,10275.897274726003,17330.483835120005,10246.031481692991,16796.859128167005,12455.206870588005,21741.435050038002,11847.752711809999,16602.964108445998,20536.662499544003,19536.652770003995,16699.687073585003,21292.680703762002,13794.751987710999,22439.942403566005,13504.070329977001,20228.886370832,13773.08581104162,27479.73584556105,13610.709142858781,19282.726491952,31138.85477518938,24918.02337857725,26106.828953045002,24579.888414790003,22038.209698329,25558.874312190004,13960.638388777998,20698.692682736997,13816.756152478003,28592.127272796995,14166.969162294099,20535.6613016864,17929.063558864233,27995.440354179886,16925.384877984023,27757.875468160633,13670.20180971895,25745.96147259366,14161.241493037585,19448.95402321002,18121.20170986118,28912.441676423026,15001.703256483488,20484.617737347413,20304.727577883838,30254.710312315336,20468.405744410084,30858.83648704158,15944.164416546322,29699.105388035532,16236.13883901038,20699.570447871414,23057.435954273053,31459.318162997915,17727.565227182542,23517.269228488592,19936.870860421175
No tributarios,INGRESOS TOTALES > Ingresos corrientes de la Nación,14.500360143848997,16.617734319999997,16.102195181000003,8.723097553999997,15.363277046000004,25.327593733000008,21.623630771,13.702022645,16.50943684653385,18.626454445999997,18.840168234,15.716237426092103,15.463786551999998,12.299071542999998,10.121896212000001,19.501349786000002,60.411940837999985,16.897596199666626,16.23373462,17.613822099999997,16.270425792,13.313668955,17.987245469,13.336940605,18.203212222999998,12.050265220000002,17.641588952,24.573901536000008,26.099090183999998,15.902528778000002,41.976898659,31.711613110000002,17.823448538,20.324957627000003,13.568726914999997,13.695134532000003,19.840479721999998,14.354890461000002,14.88019895,31.985053786,20.105931917,17.330260553,22.312164945999996,22.646802833000006,14.438476799999998,16.267525385,27.408081794999994,161.42366463720853,61.30288407100001,28.987248552,49.39041847000001,40.34707044499999,42.742765275,46.22845784199999,53.68597722900001,29.42155017999999,30.134972846,41.919405493,31.643570269000005,193.446390595,32.862668501,30.367157867,32.979135057,64.506383796,23.192295756,35.995059013,39.33696417000001,24.392761953999997,36.519172733,51.67034699300001,39.68847846100001,51.50375378,32.120856534000005,86.83599644400003,84.632575184,40.557038984,20.401971955,15.061575031,43.742680115,58.732727759,36.47994237299999,50.80883153800001,32.069100074,125.43652289800002,44.58741754900001,41.009602398999995,21.805558674,24.390826477000005,48.279892107999984,32.95979555200001,43.785545152000005,47.906165361999996,75.94001054299999,44.58816855100001,66.61721819100002,77.84039198,129.56097235,85.97144883500003,30.033714781,36.361724028000005,154.168414977,73.53821276499998,43.913013411,126.089574587,107.54167310099997,54.923397274999985,95.20398519800001,269.39114847900004,43.37187146799999,51.72112206800001,69.577549441,51.06651401799999,129.872916186,191.77902622599998,31.606966122999996,144.300335532,47.018901146999994,38.711057547,56.660857155,127.64566892800002,36.427380515,93.730181706,36.78994227,39.215671333,29.542072824999995,30.06288199,30.227630415,39.264319515000004,34.394447276,30.378800434,19.281291962,196.306698901,86.56804313500002,89.308894451,24.322420987999994,46.925834536,41.399875468000005,47.096548289999994,42.45782146500001,26.431498690999998,63.225464466000005,38.96438764,29.134450288999997,144.85606692,55.836623751,28.548273592,64.48411802900002,69.32494481599998,45.76643549200001,100.37221919100003,30.776082274,71.45161204899999,28.188179844999993,38.558919893,32.776966470999994,86.878583194,50.365042351,51.51960295600001,235.73966560223192,67.79988612,50.646338852,40.2523222996185,53.106801343,4333.980112853511,342.6254562284034,56.38773442215119,118.51362587701747,49.69583114744573,57.75201060399999,30.674880685,61.505358576973094,131.30495495288,101.36839221499999,90.27023043300001,50.71143770753149,45.0001763258291,28.036611174,70.062301084,38.6200890873925,121.1701676108,90.9618137492901,156.732347147167,45.17587089856798,50.3148026601975,79.93763385081884,114.62418196387497,185.61701829455797,75.01105456994748,49.96114947030244,231.37043238996654,204.10362209482332,193.14852675161856,92.79846696909524,148.309474909616,124.06796381180762,99.999742737629,41.60041221278948,31.671734303229474,208.83200764900545,23.136362201532634,275.82267341051363,117.03900520055953,198.19217125517844,296.54377455286664,74.94217874788843,71.601600780871,166.77499834824545,62.816949317664005,171.01874067982502,236.656540104474,111.388216782976,54.429237518501736,123.84014906213409,138.73090303825,80.759343344004,158.36783010975273,120.058791702725,70.071191300737,99.09743319150364,220.04466036986682,103.10284742650856,54.469776325000005,171.340985485,97.82237873147452,95.5837656428268,71.48137332453051,69.354925233507,131.68804893304002,59.03401140872,112.17425551272,78.83440015734,55.484851346,100.50246739690999,52.78674673004,71.70187533759999,81.95910551415,160.50168634628,140.02982436512,65.22285056381,219.0586472099,267.844810745,90.596680424,146.748127178,342.029757105,63.215355283590476,45.461561318,158.28306759514726,45.988952657000006,52.479522163,91.50087872806954,70.610442705,510.3869963870876,34.61240403643,59.42238317974999,34.42377134825,60.31900971476001,136.99166970685997,39.94278492912999,126.97472154140004,144.08150158552,44.2397695934,157.75874625549,61.963185096540066,-126.33135473810009,52.6248299711,51.1624211372,60.58303375121001,61.05362784115998
Fondos especiales,INGRESOS TOTALES,36.497318617000005,13.938072774500004,14.645030066499997,31.044290191,22.393241832,29.109488628499996,23.738725604499997,25.642669875499998,49.37080263350002,33.884291395000005,48.4961934585,52.1724020405,30.250138192999998,16.294711534499996,23.6338758285,34.20000000499999,31.652514058499996,55.212769133,43.381602932,37.7085223665,37.196377505499996,42.5743711875,67.6170763225,52.145829043,60.06933847249999,20.146356318500004,27.955547253,39.945165681,28.178431986499987,29.140387611,45.872827654000005,39.501152621500005,79.92073744499999,82.0319224125,64.6088900185,59.59030102,46.202510302,40.126495992,57.077714747,47.819011121,35.60095986300001,46.215968557000004,51.545672574,51.100231596,39.268774828000005,63.920521932,88.003332446,70.24004864800001,75.933056767,31.40445012700002,124.84576070799999,48.33911197700001,56.865698932000015,78.34198187,71.09397454400002,58.58797467500001,72.164919296,86.11408447800001,59.690095669,130.993321264,89.83784995300002,66.182787875,59.266549144,66.90764848599999,122.72948869000003,81.97874153999999,91.95413536100001,68.35379772300001,90.287804126,103.936062335,106.740718126,113.320236935,77.31033982299999,48.74051054600001,66.28104215000002,76.57876665700002,90.133836562,77.39999008100003,68.832701554,83.19254398,95.752271884,73.569471836,74.447452953,177.99241665200003,116.43265984799999,95.295347433,88.796362426,95.83530979099999,94.02601170399997,114.359594754,121.378932693,175.32355302000005,134.21752462400002,80.403508296,79.64437538800001,109.46524337100001,93.94511282200001,186.39269939799996,117.457069658,102.95975388199999,113.50506183499999,101.99237893000002,158.14970601000002,178.46361126699998,85.794196707,77.45285498099999,73.39781303999999,203.72053851200002,103.63194004499998,61.652986959,99.33784124500002,66.33573936399999,106.15531420900003,61.698746867000004,126.510952101,104.406391943,119.56515737899998,112.98671213700001,81.380161186,224.76890948000002,133.512687515,60.61937271199999,114.01701686299998,108.34044950500001,189.489495012,112.00585674999999,133.145349208,174.669929626,218.336697617,96.66341729700001,127.54997679899999,100.28810176500001,190.67167105,72.70469791699998,100.221943335,81.36279911000001,121.41116708599998,103.797194565,121.61813116399998,315.8173580866053,94.12161002508098,122.03893344500003,107.41395635,126.16097384800001,177.658813218,94.36328468400002,150.02237584899999,143.602801813,120.655795937,84.58579193600002,126.557614136,160.96175455600002,236.0346117673748,184.765485248,101.76121353000002,125.702604192879,170.05874233699998,99.568726196,130.247251345,100.09986879600001,95.17666071400001,96.17872209899998,88.165572572,129.93693255699998,100.46560697599999,194.85675382200003,111.30972601399999,216.22727525000002,105.527197572,89.17853573099998,144.847693478,92.76838852899999,103.73331750000001,227.08980565599992,108.39108462200001,95.448102495,108.792972773,115.12263686499999,228.41603385699997,127.310035098,110.05246948400001,87.895692472,102.21348599699999,97.15925953100002,112.003952161,102.82912298400001,97.547804923,110.147739798,152.998363648,115.71274854299999,160.666855668,231.90938567900002,121.77110053999999,111.452668688,108.544776624,49.178868619,71.526654254,114.21712872799999,80.580016188,91.34181094200002,109.456694084,149.613169761,140.37650968000003,265.711963696,131.465909175,99.18211587799999,344.90154150200004,144.71531991,99.341077578,193.675338641,161.485864611,246.64572876600002,114.26681544899999,813.845160406,209.58819170700002,282.856574837,143.38705674300002,210.797866503,279.584000507,220.002648062,255.10443151299998,243.624485781,207.911476451,314.36080147,421.48453704499997,302.167889462,767.283618897,264.01736739499995,350.839010932,238.711990399,354.907854896,274.35997184,238.694043853,953.5856298939999,257.769518403,329.63834790299995,297.199477528,328.044381475,299.864298214,480.91657245500005,580.20632213952,253.68909233401007,241.2380425744799,376.12190819508,327.8619300833601,311.99500691937993,283.7868080468401,301.04082983567,309.62770572203004,340.44472603477004,1376.8353622921704,479.88934768048966,332.68066554100005,314.426509112,276.330195597,279.674512113,387.704428994,330.597004289,310.396129536,318.70863763,386.468023715,655.618580652,371.631390235,1402.7632169190001,440.56636708199994,307.016417609,287.190038758,431.21472642199996
